job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_B7cPOACuYSZC7XIqZiCCLZWSQ-kDljn0w0-FzNUGFOLAQ7VS1ZcJwkkfYbgQea5X54Pejs7kvLj6DFOVi3KUhGGN2oauxvKp6N9UZi7QP5Hv6dE9kDOED5xD8j0cv6GQp_UWvHSsAtgqc7RU69FIZxMWYfV_UjauP1rLXzmGT9kcHjmC32TJ7b_ySHtWSBMXl9XSwh1mT8sMM3x5QmXCCE1-Fe8zTUfuePr2UP_oWYL9BQWim9ZFEqH_a0KdjHxTrlfhNIVJNj41z6KxQHpboQ==&p=0&fvj=1&vjs=3
Supply Chain Data Analyst,,Cargill,"Wichita, KS",,3.8,"Use substantial knowledge of supply chain practices and procedures to navigate through data and technology challenges, upgrades and changes.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9565fb640d3bd861&fccid=d7d9a8241ba2f3ec&vjs=3
Data Analyst,,Credit union of america,"Wichita, KS",,3.7,"Ability to identify appropriate data available or to be acquired for a particular data analysis task.
Strong analytical skills with ability to collect, organize…",26 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63a32c6d907578d0&fccid=cf7a7e1c07de31e2&vjs=3
Analyst-Strategy,,Ascension,"Wichita, KS",,3.7,"Gather internal data required to fulfill data requests to support the master facility planning process.
Experience with data analysis and mathematical modeling…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e2404bb9e98b92c6&fccid=ae24f29d22570194&vjs=3
Customer Operations Analyst,"$55,814 - $68,437 a year",Camp Systems International,"Wichita, KS",Temporarily remote,3.4,"3-5 years experience in Customer Service and/or Operations (ideally within the aviation industry).
Provide regular comprehensive, data-driven reporting for all…",30+ days ago,2021-01-15,https://www.indeed.com/company/Camp-Systems-International/jobs/Customer-Operation-Analyst-4e668a9b3ecb9495?fccid=9833baece22c6c88&vjs=3
2021 Summer Intern: Maintenance Analyst,,Spirit AeroSystems,"Wichita, KS",,3.6,"Analyzes data and activities using statistics and other tools.
Analyzes and improves facilities methods, conditions, and processes.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b248c80f29b92bed&fccid=ec3e741b23003504&vjs=3
MANAGER BUSINESS ANALYST AND REPORTING,,Nationwide Hotel Management Company,"Wichita, KS",,3.1,"5-10+ years of experience in business analysis.
NHMC offers a competitive benefits plan including medical, dental, vision, and other voluntary products as well…",14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=237ad1faff26ce4b&fccid=11c2c7c0740b7ce2&vjs=3
Financial Analyst,,Newton Medical Center,"Newton, KS",,3.8,At NMC Health we’re proud to set a 5-Star standard for healthcare and we are in need of a Financial Analyst for our Accounting Department.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=108a033bdfe39f47&fccid=8f310033132d2160&vjs=3
Senior Business Analyst,,"Envision, Inc.","Wichita, KS",,,"Understand and enforce security and compliance protocol when working with sensitive and proprietary data sets.
VISION REQUIREMENTS INCLUDE (check one).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d0e64f61b1ad2d2a&fccid=6ff74ddc33b20498&vjs=3
"SR. ASSOCIATE, BUSINESS ANALYST (LEAP)",,GRANT THORNTON,"Wichita, KS",,3.7,"O Coordinate with the vendor testing team for test cases and test data as needed.
At least 3 years of experience with testing web applications and at least 1…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6a625cdcd6c6ba75&fccid=7ac82fceed64aa81&vjs=3
