job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,"Tecolote Research, Inc.","Albuquerque, NM",,4.3,"Formulate analytical solutions to complex data problems; create data analytic models to improve data metrics; deliver insights, designing and crafting reports,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=78b53fa949c1f9af&fccid=ef6981cd4278fdbc&vjs=3
Intern - Cyber Security Data Science Program - R&D Graduate - Summer,,Sandia National Laboratories,"Albuquerque, NM",,4.2,"Apply data science concepts to machine generated data.
You will work with a team on seasoned cyber security professionals focused on digital forensics and…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=f93a79249f64f2d3&fccid=6153cf878ee73d92&vjs=3
Human Training Data/Factors Engineer,,Alaka`ina Foundation Family of Companies,"Albuquerque, NM",,3.4,"Act as subject matter expert with focus on machine learning, artificial intelligence, deep learning, data analytics, big data, and data virtualization.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a33b9f93eeacc52b&fccid=3710756e09c5756b&vjs=3
LEAD DATA SCIENTIST,,Presbyterian Healthcare Services,"Albuquerque, NM",,3.4,"Collaborate with AO leaders, staff & business stakeholders from clinical, operational, financial and technical areas to gather, define and analyze requirement…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqy6yjUoJnVWMdwCtv4xKWw_iAl9PLMfmqWK1fh3aXAl6KD1pEnzjbnFOAyKFSniroh7Y3BEA9FLZEMfwMhfED7YKX5KPEvEvo1sdbP4QVrYMfWoPK2UTc4nW1Bzp3HK1ee_wSMYax3VU2NnnS_3Kra3ghdO8QQreji4TmbFTFaK2nHkeq2cSkYv7mngnnCMkkAIy7ixiC-nXRXckom2RTt_N1PZwwJ4soIvw33Xeayo2gu1HzImSWAiTymr1XSIyI4n0h8YAG9isj7nvZhuiav6YRzIXMdlvIh_P1H2i-3x5KseKI51WfbHYhcuryGOmUr3hQNU-w3B1Kk6CCsMHndyd2M7SODdh-HpoZ6IDIRBLJXAr6suFx5AW3utbU5PVDeB2CB5-eFVXUaoPbdsVv8Qy2okQI8R7EoXAXZAukAYiBTBPQTflTfU_dm1EH0A_oSiXCbWlakARadQK1pPn94WJCpgWXXhk59IrOnfBvUHhHoqhuHysz2KL1WnLcwxfkQUvMHg5lErmj_wT8Q1L82kJqzp7-ko36SwxdmJ7JrtMtcmS2TkbCSIaNLVYoPNCs6qgxBt_GutoNN5TYhf5qgKznWezpTW3_mfn5n27WCpkw6DcgiJk7YAQN7k_mMPmlVDb83lPa-AslNGOOtiUOoJXSgrzk1yVCCbtfEJ65C6aKMUi7SPohxKAi6COrLa5GX8ZKUrtjF6hUSN2nfkrEK32h3C9oDbj4vlGzmKVPHicM7r_9xDr-lDBi-5FASByo1pdUCPifBBusGPGDoXmzkndepJoE1wz69hxqVLDlFDNk1fY0cOduwvFP9Cu7ffT9Z750XY1wGMWrbfr7_9AqyOkx7lFZcBnoiaKz_Ct98g==&p=3&fvj=0&vjs=3
Statistician,$17.10 - $22.47 an hour,University of New Mexico,"Albuquerque, NM",,4.1,"We provide excellent, innovative education to residents, medical students, and health professionals; the highest quality mental health care to the citizens of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1e56817010d2d1d8&fccid=2f87a7abe4cc3c5b&vjs=3
Statistical Analyst DBHS,"$40,581 - $54,288 a year",Bernalillo County Government,"Albuquerque, NM",,3.6,"Equipment typically used to perform administrative duties includes the telephone, computer, telefax machine, typewriter, photocopy machine, and pager.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d0edc0797f5fb237&fccid=f9662f970cffb543&vjs=3
Machine Learning Scientist I,,"Intelligence, Communications and Engineering (ICE)","Albuquerque, NM",,,"Bases work in literature reviews and good science that can be explained showing deep understanding of the work being performed.
Must be a U.S. Citizen.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a36e023e5060713e&fccid=310b33c136470a15&vjs=3
Machine Learning Scientist,,ASRC Federal Holding Company,"Albuquerque, NM",,3.6,Bases work in literature reviews and good science that can be explained showing deep understanding of the work being performed.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a95da2ad9a96a95d&fccid=adbb342bd2008a4b&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrOx8tjgaGd6mUvyETARC7aGNz7QlIlZyYcHJ2k0JPIZIfmn4_TMp0nePY5bLYXyKNainhtaDJ1a5w_D2IbgYJ-hJ8d8798ABCqjE90PatKjpccg3OJZTOJPSVCNMsO0rZaXEUPuXP0IMOJqhyZumPB5aTHh2v_5dImIhahLdvtqfRsU5sxR6mencXcoG7bQHlDWAsHh9EuAKI4xEMBJgP39ZPraSHqoJ2ioRmHLOYthKuZi_zoYDEQtggK_5X1i4RWOvRc7jfqH-9ZYvlYxwh6gyD_HZpKx4j&p=8&fvj=1&vjs=3
Machine Learning Engineer,,ASRC Federal Holding Company,"Albuquerque, NM",,3.6,"Level I - Reads, understands and implements algorithms from recent machine learning and deep learning literature.
Estimates implementation costs and schedule.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=10002af794d2b552&fccid=adbb342bd2008a4b&vjs=3
Predictive Modeling Analyst IV,,Perspecta,"Kirtland AFB, NM",,3.3,"May estimate time frames, quality and quantity of resources required to successfully implement project; develops project plan incorporating all project…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXELgAtUQhYXJPuOCgdO1_GLSHWM59IvmfGFTB-XV5Eaok2F7KN95EUl6f_mu5NJRzRyaeQLOWKTBaaLhUSc-FOsRrS-XMFxZQk1SRxcVfjhdgkoFxz7vgB0VjMNuI2_-jkqWLnpk6LZUCiFiSegbbQR3Oyx6OYTFy4Vnh0BS6pH1Z5P3GHpj5d7U-u2UKYl9ph-cppOBmPVxcwH5mG6GalV2CqP8hX9Zuuqx8dGdIf1_cbQY2D0nz_N0nHZbfqwYsMMvTLs_Uk5qv7eG0avnLOtl-Oei26KRz0bQk1PnVoQ6FivN4FgLm1_qfQoOELc1iPO0Il9QjwlEA7Wr8oIQFl9Wei1z9GUq2_OYUaBGRLol4i9q6Q4knvuzwuVvYvGDHoT7y87xEA_Pb9W6BaV4efRTWeRRQ8dlIt4-s6Bc8LJFcIwf8Crb5EXu1cRonYOqJ6lGgN4uceYPD3nrpliA3-wu1gsiXch0Mc67yqDgardMbWepCeNlBzXhbk-c27MiScMfPN-AlqmkHsuoM9oBcwsRlbx6g5nVvW3JlGliMsts-be4u4kwfIcMbW6IaAJJKn3rDeVaWR4nlN_KBeg_QqPDgOLMRAujWqq6y6nHOmIP0t42Id1D2GWIjaZvh813BhupKakbYuoEEAls8Yoi84sdOmNH7fSkRi_tPB6mRkQ==&p=10&fvj=0&vjs=3
SENIOR DATA ANALYST,,Presbyterian Healthcare Services,"Albuquerque, NM",,3.4,"Act as a data steward maintaining and ensuring data integrity; manage research concerning data anomalies, work with other departments to identify solution or…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6f70fc7f8b68da2d&fccid=2faa77e8dc712650&vjs=3
Machine Learning Engineer II,,"Intelligence, Communications and Engineering (ICE)","Albuquerque, NM",,,"Bases work in literature reviews and good science that can be explained showing deep understanding of the work being performed.
Must be a U.S. Citizen.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1426597f37ad071c&fccid=310b33c136470a15&vjs=3
