job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist - Remote,,SemanticBits LLC,"Atlanta, GA",Remote,4.2,"Three or more years working in a data scientist or data analyst role.
Bachelor's degree in Computer Science strongly preferred and a minimum of 5 years of…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxmNod1rWr7hmeuQGmVuAIvmx_E0Ms9JF_1bsaXh8lwuk0DrdrZQT7RU4SGxsGXg2LEm39xWZrW2OgbMyNoZWyMKUxAfHP_JQyo1XxQYaXqrIePY8Fj3ys3Gqq1SzeqeWGW1XX_j2E8rAOREnKpDupwoR6B-Ts5OQLjYGJQCeNEpBU66Mh2fmjQEkC84I_y-wD1BQf_gYkPjlUCTjN3crxJHBTAjgTkMPZx_qfDAW3t0fQWxITDlySI1QD6MSSKrC9Zz6vih9mO5g67LkY3HsYf883LYSZli6L2imu92twG84DVcrwnEzXxQ8vThn-KXu_kMWLO7vNAOKghcQmH74bETEdVZH_UDNE1I6v1LvhYBzF2odYersLEMP7pWjwJJg7zVAWIc3y7LDk5AWOWvwrGL0wcdYp84-O9lSjn8MyqhFDg2UdtMF8Z8OZU4E5veWAL33CKUz7aDBvmouLGMLiWM7TjsJines5A8OX6zWNRRdaNNbFVioXkzahvNKyilRknosdOXSc-UffHpqZG3gDFnIsVaAntPtmUmUDDrNUyRXrBT6Ofq6TXzP1SNAydc9Xgt1-UwW4Wk2Mn5I_hbsh&p=0&fvj=0&vjs=3
Data Scientist,,The Intersect Group,"Atlanta, GA",,3.6,"Utilize various methodologies and techniques including data mining, data modeling, visualizations, statistical analysis, machine learning.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3PcU9heefYh9TtgByvMoljOix8d9QGO4-sOduKDD9bZ0fDaa3zG6tvFWRldrHtrk2wZNT4HRBw3qeYDNqVwyK9jifbTBNqSHm-sLQjWIGmEyNgiWt936YIZ1Tm5IPx2b2qntQSpbmIK4BYvFR4tzPcLUUE_51Wrs-2Iz5MO147Z0gPpSU-xACMEnir9XOGubn7bTvhfy5ZrJyLjQe-mmgu6W-Vy_kamJBLhXIZLHt9Gw0il5yIiJ8EitbqD7LqTmZnzLg_i5ZuOkd5dAFzjBUFSUMyqS46G1FRASNWLkt2vHKNgHQvZ1IV7u4dk-i-TI1DzwvR0ylaqTp40EP8eUE7CB1vkG-i0b1nI8KBUHNvgBoHygB9QEOrIgudcGduGwXFv0Ijh_rZ35RNFpNddj0iaDdeI5_ZCiJMuSgxGFuWZbAoKPQJfJi5fHYeUhz8kxjDd1uprGdzAUJRwFn15CEy_7zHq4jhwjGIkh55qqgLGKPmhOG8P6bnyhJr2H3enERNDETYKGKxgh1y7CHBFoB17i3srfh-OPMw8GP8plE6nqSIrAQKXI0mmyOQ-pimv3gUTF83h10G6jjOCJttmNhWJLl3k41UV9gVG-u_wklEY3zIy3fmtUJ&p=1&fvj=0&vjs=3
Software Engineer/Data Scientist,,General Electric,"Atlanta, GA",,4.0,"Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).
Data engineering, algorithm selection, user experience.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b760e6d752445813&fccid=c5c99ec01e2125aa&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Atlanta, GA",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9cd76edc8c7160aa&fccid=9e215d88a6b33622&vjs=3
Data Scientist,"$120,000 - $160,000 a year",Synergy Systems,"Atlanta, GA",Remote,4.2,"Participate on projects and manage project phases or smaller projects in their entirety (includes project management).
7+ years related work experience.",2 days ago,2021-01-15,https://www.indeed.com/company/Synergy-Systems/jobs/Data-Scientist-47e40b1bf8c5181d?fccid=e143f1b08f6269c3&vjs=3
Robotic Researcher/Scientist - Machine Learning / Deep Learning,"$70,000 - $140,000 a year",Dorabot Inc.,"Peachtree Corners, GA",,,"Research on novel machine learning and deep learning topics that have high value and impact on academia and industry problems.
Job Types: Full-time, Internship.",Today,2021-01-15,https://www.indeed.com/company/Dorabot-Inc./jobs/Robotic-Researcher-Scientist-782bd3f0dcbc9632?fccid=a7a8cf8af8b74072&vjs=3
Data Scientist,,Booz Allen Hamilton,"Atlanta, GA",,3.9,"Provide your customer with a deep understanding of their data, what it all means, and how they can use it.
Work closely with your customer to understand their…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=72b01fd91a6fd027&fccid=4e041af1d0af1bc8&vjs=3
Data Scientist,,General Electric,"Atlanta, GA",,4.0,"Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0a2bb9880e193e52&fccid=c5c99ec01e2125aa&vjs=3
Data Scientist,,McKesson,"Atlanta, GA",,3.6,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d63fa60454183cf0&fccid=a7c5036618407010&vjs=3
Data Scientist,,Aaron's,"Atlanta, GA",,3.2,"Supports data manipulation, feature engineering and development of machine learning and AI models.
Develops statistical, machine learning and AI models using R…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c221f4fa64ee1c71&fccid=9b16649713f63006&vjs=3
Associate Data Scientist,,The Home Depot,"Atlanta, GA",,3.8,"Implementing the data science development lifecycle from data exploration, cleansing, and transformation, model development, validation, testing, to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=82043ed2f1032c47&fccid=82e58e9861d48566&vjs=3
Data Scientist,,Cypress.io,"Atlanta, GA",,,"As a Data Scientist at Cypress, you will be part of a high-impact team focused on using statistical methods and machine learning models to analyze data and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=94bb5e4b8a02353b&fccid=c3ad0b9431cbc81b&vjs=3
Data Scientist - Machine Learning scientist,$60 - $80 an hour,AptoNet Inc,"Atlanta, GA",Temporarily remote,3.0,"Daily Test Report: Feature tester is responsible to send a daily feature test report to the lead phase.
To fulfill this role the Feature Tester must apply…",30+ days ago,2021-01-15,https://www.indeed.com/company/Aptonet-Inc./jobs/Data-Scientist-6876a5515da7cd5b?fccid=6fc7836bc22ff415&vjs=3
Data Scientist,,TCS,"Atlanta, GA",,3.8,"Experience with data wrangling, data exploration and building data pipelines.
Sound knowledge in building statistical and machine learning models.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e24a4642b4ffe024&fccid=c78fdfc4443d4537&vjs=3
Supply Chain Data Scientist,,STORD,"Atlanta, GA",,,"Deliver business insights to assist with data-driven business decisions.
With a single integration between your enterprise systems to the Stord Supply Chain…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=275e77720046e0bc&fccid=1087d714ccdd0339&vjs=3
Data Scientist,,TCS,"Atlanta, GA",,3.8,"Experience with data wrangling, data exploration and building data pipelines.
Sound knowledge in building statistical and machine learning models.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e24a4642b4ffe024&fccid=c78fdfc4443d4537&vjs=3
Supply Chain Data Scientist,,STORD,"Atlanta, GA",,,"Deliver business insights to assist with data-driven business decisions.
With a single integration between your enterprise systems to the Stord Supply Chain…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=275e77720046e0bc&fccid=1087d714ccdd0339&vjs=3
Associate Data Review Scientist,,Eurofins Central Laboratory,"Tucker, GA",Remote,3.0,"Strong computer, scientific, and organizational skills.
Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=24c9a141ef1fff52&fccid=da33f48dbeb2e889&vjs=3
Federal - Data Scientist,,Accenture,"Atlanta, GA",,4.0,"Experience with analytics, or statistical modeling, or optimization, or machine learning, and/or artificial intelligence.
U.S. Citizenship; no Dual Citizenship.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a8a88d2b197fdf64&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,,Codoxo,"Atlanta, GA",,,"We are seeking a talented Data Scientist with experience in statistical data analytics, working with advanced machine learning algorithms, and solving complex…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=742f4972573ef40f&fccid=88df7112804301b7&vjs=3
Sr. Data Scientist,,"U.S. Xpress Enterprises, Inc.","Atlanta, GA",,3.0,"Expertise with applied statistical modeling and machine learning techniques.
Experience in manipulating and analyzing complex data from multiple sources.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffe0945f2522c53d&fccid=d921f5450b899369&vjs=3
Senior Data Scientist,,Microsoft,"Atlanta, GA",,4.2,"In addition, you will mentor junior data scientists within the team, as well as establish thought-leadership across Microsoft by participating in conferences …",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44ddb2027299d1b3&fccid=734cb5a01ee60f80&vjs=3
Health Statistician,,Booz Allen Hamilton,"Atlanta, GA",,3.9,Provide consulting services focused on supporting the analytical planning and execution of health and healthcare data for government agencies.,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=46740da99e7b8d01&fccid=4e041af1d0af1bc8&vjs=3
Data Scientist,,Boehringer Ingelheim,"Duluth, GA",,4.1,Executing data mining and analytics projects with high potential return and inventing/iterating novel solutions to challenging data-related problems will be the…,24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=652e8f9311ce94c2&fccid=6902b1131240791f&vjs=3
Sr Data Scientist,,RELX Group,"Alpharetta, GA",,4.1,Requires in-depth conceptual and practical knowledge in own job discipline and basic knowledge of related job disciplines Demonstrates mastery of concepts and…,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e4cad0ebd4343618&fccid=06206ab329e0eb22&vjs=3
NLP Data / Reporting Analyst,$23 - $51 an hour,WITS SOLUTIONS,"Atlanta, GA",Temporarily remote,2.8,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",2 days ago,2021-01-15,https://www.indeed.com/company/WITS-SOLUTIONS/jobs/Nlp-Data-b8572b8424d68ee5?fccid=d012f8a6668a818c&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Atlanta, GA",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2e6228c80a1e7313&fccid=fe2d21eef233e94a&vjs=3
Data Scientist (Machine Learning),,Global Payments,"Alpharetta, GA",,3.4,"They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5343f53800c53154&fccid=8a20e0e3ceb4f553&vjs=3
Associate Data Review Scientist,,Eurofins USA BioPharma Services,"Tucker, GA",,,"Strong computer, scientific, and organizational skills.
Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=34763bf36b093bd2&fccid=544c08d5449ce28b&vjs=3
Data Science Accelerator Internship,,Truist Financial,"Atlanta, GA",,3.6,"Work alongside experts to complete data & analytics projects that serve business objectives and drive value.
You will be required to create an account (or sign…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d636058f1abe84a0&fccid=035229327af06091&vjs=3
Data Science Accelerator Internship,,Truist Financial,"Atlanta, GA",,3.6,"Work alongside experts to complete data & analytics projects that serve business objectives and drive value.
You will be required to create an account (or sign…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d636058f1abe84a0&fccid=035229327af06091&vjs=3
Data Scientist,,Purchasing Power,"Atlanta, GA",,3.2,"3 years of experience working on strategy or full-life cycle data science as well as experience working with data mining tools such as SAS, Python, SPSS, and R.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c80f43513ae74803&fccid=7578b5dd39935643&vjs=3
R&D Intern - Data Science,,Alcon,"Johns Creek, GA",,3.8,"Present & communicate results to both scientific and non-scientific audiences.
Organize both bench and clinical data sources enabling a comprehensive…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=009ef6d3950aa81f&fccid=a59cf55b5265bc75&vjs=3
"Senior Associate, Data Scientist Optimization",,KPMG,"Atlanta, GA",,4.0,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f1d5993e95d4d9b8&fccid=2dd390c3a48a7ed0&vjs=3
