job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Data Scientist, SBG",,Facebook,"Austin, TX",,4.2,"Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqaCHCddbS5gJ0zcAoo5CDp0mAedw7aVtPewan3aDZkSwKm95w2XPbIqAZa0BoYQceeLNxgLOoc5qYUkKk_iUCTySbNinR4Rz39dj2atKWUYDvFUBr90ywKy81QbVXQX4uUldwkvyj1zk8CdwOI0ZADkRp7r3iu1LX0ls7OBK4BYGBdWk2Zn2e5ioh3Sm635fyy85dG7XpjHH2zDGLPbVgFJwLyvuf4uBXxdoN9yOvFkAZoBh5FyOzGRW5Kc74VEZjXAU8uLOnL9A4E7jjz5EOYw95SlHUAmI-WWVFNPoIjc6wcsACWmiR70kQ3vWddTuTvEaa2b_8H6DyaQQwtSyNWhw6KHkA9z1s8ovntxOoFsHybsrpAdW-COeGGeqdauGfm8mirWgRCiU9Kscz_QTdE1bgjtLQtjelb5LAaiFKKJpC3Jvj7WrZ5_Zih9IdgQcCpvc1aIK2tFW1AhJHQZ0mRg3kdM81qmX8ORAAZyartU8BkqDF4nKyh2sOBeIJGf2ZM8SwEKdqDTLxfOfua3b5TyViqC0p2GQGxX5aN2ZtiYLkZwFBAu_hwe1o_A_KMPh1ZMZk9KoMnH91jeODlhDyPA1MJzV0hyg8S4mSLmCA2w1lKFyT0PdXallxjSrQqDUM98ui5azo9OtXJWk_x4Ieh0wyl6JbTwoJPy2wxRXeYRz679r4IyFjOpxrgeDTSh_yHdQsdSaCO7TvLd8DWe3dXuYqZbmfRJmHzMWBrd93z2BL1sC8CP6HAEJ7Kf3TrOpCWfsh7JcGk9wvUmbkrR_KmAyYS1IAySdLjHCmRhA_3YKC_RnOzniX6oDz8rsxVrhPDgkhXFa54JIsSc06cEvcHt9AhI5Glg-_2eweZILbkTr3QfH8BKit4g6HfnSaujQCXhBrQ1k2fAxtNDHfBGA5GE5dcThY6xeW1BJUGv32qGAjADXwJ6waH1VY3RP5QPt7ow-ZbS3rBT56girvqXMM5Q3fIPHrV4Nw9hlMFgumS1VWCNJ3IYlYagPLjM_jPBEKSsriZEE-EMnqkDSabQd44A==&p=0&fvj=0&vjs=3
Data Scientist,,Apple,"Austin, TX",,4.2,"Research new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d031f5622fdc5ebc&fccid=c1099851e9794854&vjs=3
Data Scientist,,YETI Coolers,"Austin, TX",,3.6,"Gather business requirements, translate them into information solutions, identify required data structures and apply strong expertise in advanced analytics…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bad1025f6b37ee88&fccid=873988f60c379d52&vjs=3
"Data Scientist - Job Seeker, Invitation Quality","$106,000 - $128,000 a year",Indeed,"Austin, TX",,4.3,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7ff4928ad38952c2&fccid=d6ef41e202aa2c0b&vjs=3
Data Scientist Intern - Strategic Data Solutions,,Apple,"Austin, TX",,4.2,"Our team of data scientists develops, deploys, and operationally supports machine-learning models that take real-time and forensic action against a variety of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=16aa9cc6841e03ad&fccid=c1099851e9794854&vjs=3
Data Scientist,,Cloudflare,"Austin, TX",,3.7,Proven track record of applying data insights and machine learning in order to address business needs and drive revenue.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93bff818164fface&fccid=c57da989524f65e7&vjs=3
Senior Data Scientist,,Whole Foods Market,"Austin, TX",,3.8,"Develop, and implement data-driven applications and advanced analytical solutions that leverage predictive analytics, data mining techniques, machine learning,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b5a0917b34299bfe&fccid=ea10be8bb95dc939&vjs=3
Data Scientist,,eBay Inc.,"Austin, TX",,3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=57651e1e991b6f22&fccid=0da3ed18c20a248d&vjs=3
Manufacturing I/T Simulation and Optimization Data Scientist,,General Motors,"Austin, TX",,4.1,Architect and build a high-performance data analytics platform to support data staging and computational analysis by the team.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6dbb0c5d455296c6&fccid=116680a29a847a70&vjs=3
"Data Scientist, Analytics",,Facebook,"Austin, TX",,4.2,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09977e6c88ef4421&fccid=1639254ea84748b5&vjs=3
