job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrEBDSwq9LEW1SkBOt5IMDyZEF902qrxtJNd6A2OJboQMqfkxsdhRo9L4oYvklcAVwRlA-_NyiF2TBLcS1hvMfmhvwImy58QhHn53QQmtjo_IwTgYPMH6kP_IVTsSgCYZaNr5AVwWA0WAYmvE5r65x0-DV8aGvaYbJbkCDV6YUi-YPUih4UnC17Exa7O0LP3rbv5ywt2JivKRxaqs5ECjIdGXyLjXPuh5wm5vVYM9TCfQr75YB-M7x73qsyLwepKtHWK_EgVoxzELRCq6yTOiEIjglA7wSShJg&p=0&fvj=1&vjs=3
BI Architect/Data Scientist,"$115,000 - $175,000 a year",Doozer Software,"Birmingham, AL",,4.8,"Expertise with data modeling and integration.
Previous experience with end-to-end data management solutions.
The position will lead the company's BI efforts and…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bg38Of9YQ3kJV2XUPt6TrE35Uahq87aC81g7ntBBDzDhh9sNp912SJuAIBkeK0tIPlvb2lGmk4LLU1_3LImWqMu2BpkEfirYkRlOQ4el7Aky5UyWJWjnU2F6PBftWt7XQmjZDJfhkAzc-T1pV54hKsCOQ14J-zCjjavpzak7riWDT2BEBWo9h2vqEabUvLV5cnWm_LhrOniFwfRrLNGnuAMxOiXlLMB9wzm_q837KWWyLuUTV3M5U2k8jI87Y4W2TixNM7wFTVygOCbjpc1a_oh6xQtKgexcllFFv1JKhLlq7CzjX1E-5333MpmI8CbrDrg9kOCJZ1ddBj6rQBY9Bvv02k-FcZBscV7LlLUzpaLazOuOo4j4ftspHY3riwJGKVgwJvd8lyxvcYOW6CFAtC-XZmm6Pi3zf0qxe8fPbxlR7ryGiMTw8SIymCYXmPg9GxcSaUf_UtkBMBrtNhXOvu&p=1&fvj=1&vjs=3
Data Scientist,,"Altec Industries, Inc.","Birmingham, AL",,3.5,"Experience with advanced data analytics and data mining preferred.
Continuously learn new algorithms and technologies that can help Altec better utilize data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3a2e17cd85ebc2aa&fccid=249844db817cfb55&vjs=3
Data Scientist,,Surgical Care Affiliates SCA,"Birmingham, AL",,3.0,Developing strong relationships with stakeholders throughout the organization to help identify opportunities to leverage data to solve business problems through…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=56dcc2fb405a5e63&fccid=067f864b3842bdc5&vjs=3
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,"$91,231 - $144,676 a year",US Department of the Treasury,"Birmingham, AL",Remote,4.0,"Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff6d88fe8a9a7879&fccid=77d686781c96824e&vjs=3
DATA SCIENCE CONSULTANT BIRMINGHAM,,managementsolutions,"Birmingham, AL",,3.8,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dd09a936fd1c85f7&fccid=f3eca80b6759548b&vjs=3
STATISTICIAN I,,University of Alabama at Birmingham,"Birmingham, AL",,4.1,"Performs statistical analyses for a broad spectrum of data and studies.
Evaluates research studies and recommends statistical procedures.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a99b49e94976ac5d&fccid=61b32dc36af3abe6&vjs=3
MANAGER - RC DATA SCIENCE - ENT,,University of Alabama at Birmingham,"Birmingham, AL",,4.1,"To interpret, organize, execute and coordinate various research assignments that require data science expertise.
Doctoral degree in a related field is ideal.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=379e8aa5e60db57e&fccid=61b32dc36af3abe6&vjs=3
Marketing Data Analyst (Remote),,Daxko,"Birmingham, AL",Remote,3.1,"Create and manage data processes to efficiently analyze large datasets and apply treatments, filters and conditions to data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=82a84623be51e868&fccid=9d754cac252b392f&vjs=3
IBKC - Quantitative Analyst - International Park,,First Horizon,"Birmingham, AL",,3.7,"Ability to use advanced statistical and mathematical software to perform descriptive, predictive, and prescriptive analysis leveraging a variety of statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7672d4a75bd70685&fccid=e4ad7be5c01907fb&vjs=3
