job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,PowerAdvocate,"Boston, MA",,4.1,"At PowerAdvocate, data scientists participate in all aspects of the data pipeline development process—from outlining the problem all the way to implementation…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBwz-UKFx0ELTvKWWBGb4vDUty7gomkDz1TJPOHtdaHDFigBFT5s_3mou40qvNB7CHfO6a8ZBQYRZFiPGhUVEBhk_MFaL8s3zCxLNn1h8YVhboKCZO5wSb3VkcVWdasY6nQcdTyPMmqLquyZe0w5n9IPQo0ai6TZnloj8b98827F53bQQdqyP_snQLubheXNM0EJP71Rmh3ioPlIBF2mcM2Mpcac9TOhbWe9NGklXiEB1XIoG0Ur3ILZWbx7xtmZWIAmznC_sl3iZgGcpoHxt9B6k1R8_ddJIP-29PKvUh1QOGTaJZ1-vWKqN9AnT1NZHk72Ul4zB2UU15Z9IZdTWjAFKkmPng3uU1_KUz-fLG5nK3wTtKneREBKG9sPaDyVCsmdNKw0MTpl8aqcNDICaV6qr79GQktezSLgwlFmgzDchvCkuwjfs_LKRWc68l3yJcCKHBU5wJsDO83sIEzFU1thJ9LSKHQEw=&p=0&fvj=0&vjs=3
Data Scientist,,VA Boston Healthcare System,"Boston, MA",,,"Use advanced data analysis methods (from machine learning, artificial intelligence, applied statistics, etc) to assist in building predictive models of…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al2NfJ8yyqIYYnTh93X-NBwjrShfZHouU-86CQVQRn0t35BzgfZ2OxuJFRiAFSF3HCy7W_Jumqq5Cz8_X-aR0TxkpBLZ2VBkpoohMUbFBrrGaFWXCLkCdDj020f4cjptSD4EToLtJvvB3DAKGvfDhGycLJFlMsQ3bSiSeT8Ix-D-eCIRV5srLAEkIhxCWbPo_QnRA2a5ObiAuif8vF4IqbV1enKjYH5er-wc9u6uVAvHTIwQsZnMhLvGDZ2o5hk-BavZa6VSoqGylsU5AxeySD0yeLaPyKjCIVPB8426vF3aX6i8xFjb9OWOkk0fvpm46TaTqPE9X2H3WYpPJgatnP7_53Tx8iQQbhjO1SSFd18zYMWzff5biErUNRFHjBFJ5Zq3Gu1-qB20msqslqDGqu4ACwbdm1FbSTLVW5MWggB175l8RVJtEAl9JMbtmAFjg=&p=1&fvj=1&vjs=3
"Analyst I, Data Science","$134,300 a year",Liberty Mutual Insurance,"Boston, MA",Remote,3.6,Mines large data sets using sophisticated analytical techniques to generate insights and inform business decisions.,2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt1gcnJgB2R3fXjF8kQmuiM9coAw5uD0bGk0oiY9xYtnSTl9M_9mi8YPr0EkSIYaSVrtjxOTXMa6no7c2OUADf6LVPv9jKMzdXu5O6RAfSTETc75e_uRRUAIsiXeymYQgufd2lzeFgplU1TerZrnG-4ArtYsuo-q7WXFy_f8-a2o88GpnHOvGCH8d2Ny9zeq8wVGm32B3wBoKAELnqxQeW4mNPhp1ijLifg8CtllLD9t8UifeHm681S6KvGfXqGBycPiITSMtyw69t72y1f2roq6iaRdKIYXIqOXAkXhqh0lWT4hv1BxVz_VcHYYfpV-aBlViLFoJEqh7iCz331jVsKEF8aCISkezCr3bK2tg_e-79c5i3nU6VAKdmkmBLuStZFBl0HPbaf6u5BkFg7Hleb2ctVewg7c523ehatOqW6NuyuPA9hXqFZd9KR5t-IVfFIi2yqu-bAFUuAJA6pwUgbwKNTPwjKLHRmDkTz0pkSBip908KpcvWH_v10e4bl44hIU9vd_HuJPSwOa6V1yck73dUQel8aYxpO5TLA7T7bYkK1FTBvQIm6f8DrRyc1BgFOdLRMnCnA2jH6Kp_plbrlNNuD3XJAF3375P6H6v02ucBG-5bHglyHZE0nD6AyFe4BJM3ll8_oDv0JMvClCURsLhxqY7WCQ9BcvaEBz4pAMoAff_rHoGZGFmVe7H0pkQN90_L8Sfv81a8SsdMbVIGGy_4RP2tfiX-bkdKXbuAsEfqQRjLkXvwX27Z_IbMk0grIaNV3b8NO-uvcPZw-X9VjaRgVVDSrhZ9pqgsN8xpBmYS9trKMXzR4LRNxt1humSrfTxB7oLL721uej1VagrzlkEgLnP1NzPvq-oc7yaO7O9&p=2&fvj=0&vjs=3
Data Scientist,,Perceptive Automata,"Boston, MA",Temporarily remote,,"2+ years experience in machine learning and/or data science.
Excellent data visualization and communication skills.
Experience with human annotator data.",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=be10d00e081815b1&fccid=a2b1f7c3f77a78d6&vjs=3
"Data Scientist, 40Hrs, Cardiovascular Medicine-One Brave Idea",,Brigham & Women's Hospital(BWH),"Brookline, MA",,4.1,"The Data Scientist I position described here involves scalable database queries and statistical and machine learning analyses of clinical trial, cohort and…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63f04cee9ef212b9&fccid=053c0caee91baa24&vjs=3
Junior Data Scientist,,PIÑATA SCIENCES,"Boston, MA",,,"Experience with machine learning techniques.
As an energetic data scientist you will be responsible for taking in person findings and developing practical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7ee6e4997258f140&fccid=f8b1d4b5fc1e6f9f&vjs=3
Full Time Opportunities for Students & Recent Graduates - MAIDAP Data Scientist,,Microsoft,"Cambridge, MA",,4.2,"Patent and publish relevant IP and scientific research.
Select and apply appropriate statistical and machine learning techniques to large-scale, high…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bd2d32a1e6455d95&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,,Recorded Future,"Somerville, MA",,,"You will take our data to new heights by discovering and structuring relationships between pieces of data.
Curiosity: You want to understand how the data you…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dddbb854942bbf27&fccid=b276df3fa16c132a&vjs=3
Data Scientist,$40 per class,Harvard University,"Boston, MA",,4.3,"Furthermore, they will develop new data analysis methods, again based on probabilistic machine learning, that are suitable for the large neural datasets…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=349a3652ec146687&fccid=5507a64404691526&vjs=3
"Data Scientist - Machine Learning, Targeting & Personalization",,Uber,"Boston, MA",,3.7,"We leverage advanced statistical modeling, machine learning, or data mining techniques in a scalable manner including large scale data processing such as Spark,…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3f4452eacffb3219&fccid=f766f8bfbc3effb7&vjs=3
