job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Data Scientist,"$78,061 - $102,749 a year",Medical University of South Carolina,"Charleston, SC",,3.9,"Experience with claims data and electronic health record data preferred.
Five years of progressive advanced analytics and data science work experience,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ca4612f2a31b54d3&fccid=a0cb52b0fb3555b4&vjs=3
Data Science Intern,,ENGAGE Talent,"Charleston, SC",,5.0,"This opening is in our Charleston, SC office…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8eab7f5ba2dc431c&fccid=8cb053aba911003b&vjs=3
Sr. Data Analyst,"$67,898 - $89,360 a year",Medical University of South Carolina,"Charleston, SC",,3.9,"Serves as the subject matter expert in all areas of Health System Finance supporting decision making, strategy, performance improvement, and other key…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=834a7ba1f03f774e&fccid=a0cb52b0fb3555b4&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Charleston, SC",,4.0,"4+ years of relevant work experience in consulting or data analytics.
As the AI/ML developer you will help build a cutting edge, comprehensive solution for data…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=715a09b1513ab1a7&fccid=9e215d88a6b33622&vjs=3
UNIV - Statistical and Research Analyst - Department of Orthopaedics,"$22,625 - $32,245 a year",Medical University of South Carolina,"Charleston, SC",,3.9,"30% - Completing data analysis and manuscript preparation for scientific publication.
Gathering patient images, X-rays, as well as operative and clinical notes…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=61a075d68467ab13&fccid=a0cb52b0fb3555b4&vjs=3
Cyber Security Data Scientist,,Core4ce,"North Charleston, SC",,,"The Cyber Security Data Scientist has strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and…",13 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=83bf5b90578be08c&fccid=3caa265fb8ba3caf&vjs=3
Jr Data Science Developer,,"Mission Solutions Group, Inc.","North Charleston, SC",Remote,,"Experience with geospatial data is a plus.
Experience: Junior to Mid Level Experience.
Duration: 10 months initial with possibility for extension.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=364ce1d6c652aa13&fccid=c8b6d4e0c1929028&vjs=3
Data Science Engineer,,Sekon,"Charleston, SC",Temporarily remote,4.3,"Ability developing data set processes for data discovery, modeling, mining, and production.
Knowledge of statistical modeling techniques and advanced data…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6ca94bcb1bf567fb&fccid=feea025c8fa35a2e&vjs=3
UNIV - Statistical and Research Analyst III - Department of Medicine: Infectious Diseases,"$33,494 - $47,734 a year",Medical University of South Carolina,"Charleston, SC",,3.9,"35% - Provide training on the collection of data within the Ryan White Grant data system (Provide).
Provide training to new hire on R data platform.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1761a2d2dd9b6b3d&fccid=a0cb52b0fb3555b4&vjs=3
Senior Data Scientist/AI Engineer,,"Mission Solutions Group, Inc.","North Charleston, SC",,,"M.S. or Ph.D. in data science, computer science, electrical engineering, math or physics with domain expertise in Machine Learning, Artificial Intelligence, and…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15121389604772a1&fccid=c8b6d4e0c1929028&vjs=3
Cyber Security Data Scientist,,Adapt Forward,"Charleston, SC",,3.7,"The Cyber Security Data Scientist has strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=19bd68c342b40606&fccid=31996e315138cf7b&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr0cXoGkbF2mQeIV_gkZBxTKkPrCGW3AVNkGPEGWnu-UnY5BNlPWeBbSc-5RxWQAs_AFXwNBsyke6fPtKwzFzTv42I3LjYjJQvK_wJP5pAqHAdnoHfkCIywnApV-VmZjsfruCCzJfUNEqy94b-RwCM1YaAT_4Y_Mu3I3HbvsnIzUEtvidHgj6VA8hedOsv1sOmHhZqp8h7QmbUgvxYMBwhR0m2y7sgv9JPCOqQManNoG6DtevzcZARZRLUHV_K6aLZspuYnuPQwQZnQffC-4CY_hv2Soe44ihh&p=11&fvj=1&vjs=3
Associate Manager Statistical Programming,,MMS Holdings Inc.,"Charleston, SC",,,"Basic understanding of CROs and scientific & clinical data/terminology, & the drug development process.
Bachelor’s or Master’s degree in computer science,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=48ecf32936e51baf&fccid=d652aee539183dab&vjs=3
Senior Statistical Programmer,,MMS Holdings Inc.,"Charleston, SC",,,"Demonstrates strong understanding of ICH guidelines, as applicable to clinical programming.
Develops programs, verifies, validates, and maintains clinical trial…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=62c704948a87ddc7&fccid=d652aee539183dab&vjs=3
East Coast Artificial Intelligence Business Development Lead,,Booz Allen Hamilton,"North Charleston, SC",,3.9,"3 years of experience with designing novel machine learning methods and workflows, including full data pipelines from raw data through predictions.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c44e3027bddddb6d&fccid=4e041af1d0af1bc8&vjs=3
Senior Data Analyst,,Snagajob,"Charleston, SC",Remote,3.3,Dig deep into our client usage and web events data to build new insights and recommendations to improve client and user experience.,24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffaf87001737a921&fccid=dae40dde876a8942&vjs=3
