job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist I,,ReaderLink,"Oak Brook, IL",,3.3,"Deploy standard data mining protocol to be sure all subsequent analytics, modeling, A.I., and machine learning algorithms operate on unbiased and relevant data.",24 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpnWAuaBEjzSXKR9xVKYfGYLTK2AW8FY35eyYzsezENH_ZfwMCOJYB9BQ_VOFUP9jOnOiYCHiTyQclNFXX2ogsbnxzsiQ6a63b2U7g0xCJsQw6rIJuS7YgVF6GIXnHEK9d7km5pKurBuhWg_G4qpZZUIh-lpUGxoHD3SiILPvKIHp0TmkRhdHy2yCzuQyEnawg84PZnj46irTP258Pb1z8z58VB7s04dBzbHjad286CUX2ZjxL9kAWaGBjTIFJU4SrQSy2-B_fCZl4bbaozQ4fB92-Lgjg7CJiSRHaYdrwPQwOFWPYboT-Xj4oRgpMVF8YAy9h16fkloqONMFCuZ-Pfp0WQVW2SkUZXgepItEnsyzgVW4pXy1VP0cJyCdjICsyhcdenWu_Hyx1uM45LWOMXQn9eZklTkyxNB0jZrqWNbC39wnFJfmkY2taiyf0iSIhcbPfg5d0KPigx0bFoovPKCQt3YdDn4382ePVVUrhi2QE4IVGDz2swTKEhW1Y4q4FQvnMcmsH3YdoNgqBuhAVsZUqkGSAIckcD038F7pa2A==&p=0&fvj=0&vjs=3
"Data Scientist, Climate Change Solutions","$75,000 - $80,000 a year",Environmental Law & Policy Center,"Chicago, IL",Temporarily remote,,"Projects may include geospatial analysis of air pollution trends and flood risks throughout the Midwest, generating and analyzing data on agricultural impacts…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGinElso71GRsbB5UHNgiaaIzp37xy9LJ3YvrBD4apYl9er-TXWwj7zqW9dpgNXM47HqdcTA3tNc8-3S94kD0r24dh0Z3gt5Ea6c0_4N-JesfZg_w21M6m34aVhcir1nqZdJNbue0rApeZpdgJ4PuyJ-dWtnRyPiUyUlALkV5-53GBcayRW4-y9bxGoDxcC8hoOeOawtfCls_uIGu0pqVeN5sBNUbsyBDQe3awiFwOdbp3da1UBpQHxrU5km8-nrsxhtbkJ47BYaFTWJ1-YcqOVKw3zrSPbk2hz_9Lh49tPiTCWM-mMktCoE-AreMUmQk-4FS_jcCtOVcbvR7XSkkUrBWIVdL5UpVkvNPxwCVlAkpAUUqAvFuhl1WJz77-dX0cSNrPhCv2HM7X7IqJQQTYRW-Mva9FL3OUe0qLUHkM26lA8rJD86Hpl4BMSX7v1w0_E_KZ80Ci8UW3k-ZEaiXfIX-UYQAnbcMDK6s3heqeqA==&p=1&fvj=1&vjs=3
"Scientist, Decision Sciences (Data Visualization Team)",,Epsilon,"Chicago, IL",,3.4,"In this role, you will be a key member of a highly talented and multi-disciplinary R&D team creating a full-stack visual analytics system that connects to big…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3zZ_ASCFyv4hXru9Ra-w9vKx6N-cVz9iFs_U0KKU9Ly96rTwWsyIpW4s0-YZBQaRFWEWhINMLUqXjdHECaWjzS7VR8112DIS4xNjlvzGejfrTpJovM9Py2Mw9ErGDPXY-x6f260eiFZPswoc-DWKoQZBLXBOdp1F5bKAEAKmUSveYYK3-3s9lrLFSN0S13U3ZYIU0kqIzt-0PLW_s74Kvs0oyVUSRL8n2ViEeqLvqhsJRBuSpgpSZQslSRx-VClLnB8stX_kwfa72FsBbiA29RntplGk9xTtOyfWLGAElTCU-8i1TlCzoTa6kVT4aIgV7agFps1pdt5R_eDQncFrfseINQPkuP0pD5F9BNUbWQXu4m3uNmtOPov443aZCK2hoEBuN2JUyv4BncG19hH0Q8Z9ebrkWu3Plst__PSjqVOuiK4X4gUBDqUaHR5Z1lqeT6Q-ydU2rIHJIMN4r30mGzHZ9J8fRPh57hJMEJxB45wFM9JQFcAnU&p=2&fvj=0&vjs=3
Data Scientist (Decision Science Identity Team),,Epsilon,"Chicago, IL",,3.4,"Research experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, or graph algorithms.",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3zZ_ASCFyv4hXru9Ra-w9vKx6N-cVz9iFs_U0KKU9Ly96rTwWsyIpW4s0-YZBQaQr5FawZULccVpqpNBF0tGOTqhTm2uEXT2NMsfHkvQLh4_8_Gv4C2WL86LTXvDzMmpiYtnFraha1PA9y34g477fKGo3yxN7dsSixs0snMgwh4EQJtOmoxSoEfSoE_Ig5U3c2x3UXH6epJePf3gFxgNuE3RMNd93fRmUpEXbggHlDQYw0_aczLeCpnjvI7Egi-KGfRGb1VcpmQ3dZ-QD3Uov5wF47dgtv8Ec81tjN6GtpRAZ_Yx1FRErhsPIoTM-sa62wIuFvOPPbgSQVLrJ9Wb-detIvl3kDnfRMyAYhREqzRsl9UAi3KepswmyfGS5ET-17_PcPdUM7HV3e-FyRUKQw-VmhfXu9rAJEtUGAa-_sDOkMiOYqsxJ6cCaDRoNXTvmEoVKqZxGR__SNpoGiHBIe0JAsK49biIL7T7UUJt8fgIzAV2LU41UuaCka3IhzDk=&p=3&fvj=0&vjs=3
Data Scientist Summer Intern,,#TeamGoHealth,"Chicago, IL",,2.9,"Strong desire to enhance data science programming skills; experience in data and analytics programming languages such as Python, R or MATLAB preferred.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04dd33f25e21117f&fccid=2a4fe3a1dadb70c2&vjs=3
Sr. Data Scientist,,Kar Global,"Chicago, IL",,3.2,Own the development of predictive modeling and machine learning for data products helping to optimize the value and efficiency of our business.,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=ab2ba3b25ecb61ff&fccid=bf43832ebb455ed2&vjs=3
Data Scientist - First Team,,Chicago Fire FC,"Chicago, IL",,,"Proven track record of establishing and delivering a robust performance analysis system around data collection, data management and data dissemination.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e449cbe4913ebf1&fccid=425a85f5eb0064c9&vjs=3
Data Scientist,,Change Healthcare,"Lombard, IL",Remote,3.0,"Understand drivers for health & wellness for both individuals and the health ecosystem at large.
Healthcare billing and/or clinical data experience highly…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cfd08ea7f4b27d21&fccid=b1bd9b34a39d5dcd&vjs=3
Data Scientist,"$79,645 - $160,861 a year","Vertical Trail, LLC","Chicago, IL",Remote,,"Experience analyzing large scale enterprise-level data, financial analytics experience is highly preferred.
Deploying, developing, and maintaining data models…",8 days ago,2021-01-15,https://www.indeed.com/company/Vertical-Trail/jobs/Data-Scientist-e5d7dea5a57d6ffd?fccid=20945f2f86a6c53a&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Chicago, IL",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22bf1cec002f0943&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Aspen Dental,"Chicago, IL",,2.6,"Develop, and implement data-driven applications and advanced analytical solutions that leverage predictive analytics, data mining techniques, machine learning,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7bec2dafd6a8eccc&fccid=8fbd2fb43ca6132e&vjs=3
Data Scientist,,IRI,"Chicago, IL",,3.6,"Experience with supervised and unsupervised machine-learning techniques including bagging, K-means clustering, random forests.
Data Integration and Data Fusion.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=32c0543f14f0604f&fccid=62d5a343c489baf2&vjs=3
DATA SCIENCE INTERN (M/F/D),,Kinexon GmbH,"Chicago, IL",,,The intern will also work continuously on a summer internship project that will utilize statistical modelling to discover key insights regarding performance…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=83e7a65417f929fb&fccid=d98339883f3eac3b&vjs=3
Data Scientist,,Avant,"Chicago, IL",,3.0,"Develop machine learning models, select features, build and optimize classifiers using various machine learning techniques.
As part of our data science.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=531ea3458e83448d&fccid=7b93726661f04aa4&vjs=3
Data Scientist,,Alliant Credit Union,"Rolling Meadows, IL",,3.7,"Is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a672016126e4f4f&fccid=90522bc4da128705&vjs=3
Data Scientist,,IRI,"Chicago, IL",,3.6,"Experience with supervised and unsupervised machine-learning techniques including bagging, K-means clustering, random forests.
Data Integration and Data Fusion.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=32c0543f14f0604f&fccid=62d5a343c489baf2&vjs=3
DATA SCIENCE INTERN (M/F/D),,Kinexon GmbH,"Chicago, IL",,,The intern will also work continuously on a summer internship project that will utilize statistical modelling to discover key insights regarding performance…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=83e7a65417f929fb&fccid=d98339883f3eac3b&vjs=3
Data Scientist,,Avant,"Chicago, IL",,3.0,"Develop machine learning models, select features, build and optimize classifiers using various machine learning techniques.
As part of our data science.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=531ea3458e83448d&fccid=7b93726661f04aa4&vjs=3
Data Scientist,,Alliant Credit Union,"Rolling Meadows, IL",,3.7,"Is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a672016126e4f4f&fccid=90522bc4da128705&vjs=3
Data Scientist,,CNA Insurance,"Chicago, IL",,3.6,"A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=daca504c9ffb396d&fccid=811f2cdeeb2808d9&vjs=3
Research Data Scientist,,The University of Chicago,"Chicago, IL",,4.1,"Communicates with various agencies and partners to apply for and manage data access.
Develops, maintains and supports text analysis pipelines that include data…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c86f5d374d244211&fccid=5cb727313a823dd6&vjs=3
"Data Scientist, CLM",,DocuSign,"Chicago, IL",,3.8,"5 years of relevant experience with machine learning, data science, or data analysis, solving real business problems.
Joining data from disparate data systems.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=adc370edc83c5179&fccid=9dd30dd046d9ac7a&vjs=3
Data Scientist,,Concurrency,"Chicago, IL",,4.2,"You’ll be responsible for the development of Data Science solutions using Azure, machine learning, advanced data science concepts/algorithms, data architectures…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a4cad641567898f1&fccid=ff0ae5c2f51f41ae&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Chicago, IL",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e609f44ddccb45c&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,"Darwill, Inc.","Oakbrook Terrace, IL",,,"Experience with large data and deploying machine learning at scale.
Work with a cross-functional team of Data Engineers and developers to develop data pipelines…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44d6c7b24b0ea5e0&fccid=feb4c3b140b1b8c4&vjs=3
Summer 2021 Data Science Intern (Remote available),,American Family Insurance,"Chicago, IL",Remote,3.7,"Be paired with one or more data scientists as a mentor.
Come work with our diverse mixture of computer scientists, data engineers, and software engineers as…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=96988a0aed7716f2&fccid=e5c4515812210aed&vjs=3
Data Scientist,,McDonald's Corporate,"Chicago, IL",,3.5,McDonald’s is looking to hire a Data Scientist who has a deep understanding of Advanced Analytics and Big Data.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3c40adf2bac81bfd&fccid=f753bb1a40104d82&vjs=3
