job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr79sg_9mi9pRjCnokdEtNfIpj-B1y6RDIFxLQvMdLH8lbqWCz70seeVxyAm3WRti2pfBO-LPbV5SWJ8tLTBXnuDGD7tm7xiM1a7F-8JkOafUP2sA0xVCHIeet9aVrw1rV0OURZY4qNU4bkvkqioWpHQW-Kt-y21QA9QH8Jm7StBGSPDhom3qOochi8zHEdaOHKdrvemSLxoMKh_9xkUtt4LC1fMq-duJGsuakaFMI_yyRIwxFh3VJjvfcAbeuGWK6nCrXKgz4XvWAlkPt80jd66W-haJWMOgY&p=0&fvj=1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Cleveland, OH",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2b00dd1720bb47fa&fccid=9e215d88a6b33622&vjs=3
Data Scientist I or II,,Federal Reserve Bank of Cleveland,"Cleveland, OH",,3.9,"Experience in data mining, artificial intelligence, machine learning, and/or other emerging fields is preferred.
Experience working with large data sets.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f5f4e2aaeddd9d13&fccid=76541fea22596adb&vjs=3
Data Scientist- Big Data,,"Quadax, Inc.","Middleburg Heights, OH",Remote,3.2,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8ceae250e6d06de6&fccid=cb8cbba304f4462a&vjs=3
Data Scientist or Data Scientist Senior,,Progressive,"Mayfield Village, OH",,3.7,"Instead of a degree, a minimum of three years of relevant experience in statistical/quantitative modeling and/or machine learning tools and in using various…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=343fc361938af85d&fccid=082e59b71e3e4fe2&vjs=3
Data Scientist,,University Hospitals,"Mayfield Heights, OH",,3.9,"Leadership in the field of processes and systems to extract knowledge or insights from data, either structured or unstructured, using statistics, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7eebedaa79ab3945&fccid=2e622ab2e5161bd7&vjs=3
Data Analyst Senior - Remote,,Progressive,"Mayfield Village, OH",Remote,3.7,"Proven ability find meaning in the data through advanced analytics, with demonstrated ability to prioritize and multi-task.",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ebb177d8d0325f64&fccid=082e59b71e3e4fe2&vjs=3
Data Scientist/ Statistician Intern (PT/Remote Work),,Lubrizol Corporation,"Wickliffe, OH",Remote,3.9,"Exploring cloud migration of data analytics activity.
This is a remote position available to candidates currently enrolled in a relevant degree program and are…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e226432d776973e&fccid=a6ecb44bea23e5cd&vjs=3
Research Data Scientist II / Computational Biologist,,Cleveland Clinic,"Cleveland, OH",,3.9,"Must possess a minimum of 4 years of experience conducting data analytics, math or statistical modeling or machine learning.
Conducts in-depth data analysis.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d4784f2149cf11f&fccid=e2a2a5c0f4f84192&vjs=3
Senior Data Scientist,"$81,000 - $189,000 a year",KeyBank,"Cleveland, OH",,3.5,Our senior data scientists work directly with each line of business and other analytics teams to solve complex and unique business problems by building state-of…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f809fc62cc51a839&fccid=23db8b01ff3384c2&vjs=3
