job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$70 - $85 an hour,O'Neil Digital Solutions,"Plano, TX",Remote,3.2,"Develop innovative data science solutions that utilize statistical modeling, machine learning, deep learning, and optimization for multiple business domains…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPRp5ljO1pdajOFmr7nwJ4KTDI_QQma5YWAOGfYtS-fYitk3sKhLoIh_WgnHZZDQeyvy88kcDp_LGpngtb6oXSfPnAaMNGtUZkV7hxXWjVQ7ViQsr5nm0L1214Kit791V_higq94Jm5eBY2RlkIikjqwO2at-LwzyPjGFIqC-rKkzKZ24H7EUghYbU7nz7E_O5R2cJpcbRTbJqJesjjTX-UrhMoUfBHJ5-WsXKyOHm9BTjmnY18iMYcl-9kCeB3_bB-T6ESF_xwLmkm65U0tmM8tD_OGZaGvySxF9RZ10dRZvcav93t4xCIcJCqHyjTFIAs5tbTf63DjG5ubwD_9T0NQvqM1aBUXr6BTls5XDEAbXVXGgOVKg_a4PhdEHrD_T6aHWG1DYsCPIpcMkISLShzCPsJRdKX9-vXK3D_2783K6rlI9QM73_Qf63XByX2wjjnlMv0dJcow==&p=0&fvj=1&vjs=3
Data Scientist,,Okaya Corp,"Irving, TX",Temporarily remote,,"Develop and implement ML solution/projects using TensorFlow (preferred) or any other deep learning.
Responsible for interacting with business users and collect…",8 days ago,2021-01-15,https://www.indeed.com/company/Okaya-Corp/jobs/Data-Scientist-959f435d9aef7681?fccid=260eac8588af7088&vjs=3
Data Scientist/Chemometrician,,Honeywell,"Richardson, TX",,3.7,At least 2+ years practical experience in machine learning algorithm development within novel sensors/instruments that produce multi-dimensional data – key…,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=113a3af7b7ca513a&fccid=50208b5bf45ee3b8&vjs=3
Data Scientist - Sam's Club Technology,"$65,000 - $132,500 a year",Sam's Club (a division of Walmart),"Dallas, TX",,,"Proficiency in machine learning algorithms such as multi-class classifications, decision trees, support vector machines, deep learning, and anomaly detection.",2 days ago,2021-01-15,https://www.indeed.com/company/Sam's-Club-(a-division-of-Walmart)/jobs/Data-Scientist-978184776c2e9b0d?fccid=29ae36648404a4af&vjs=3
Staff Data Scientist - Fraud Modeling,"From $140,000 a year",Walmart,"Dallas, TX",Remote,3.5,"The position will be leading a team of 4-6 data scientist by proposing cutting edge ML/AI solutions, understanding and engineering features to detect and…",25 days ago,2021-01-15,https://www.indeed.com/company/Walmart/jobs/Staff-Data-Scientist-8cd5e203af0e583e?fccid=822bc5d9a49270ea&vjs=3
Data Scientist,,Wunderman Thompson,"Dallas, TX",,4.1,Build data science solutions | Contribute the the development and delivery of various machine learning project across Wunderman Thompson Data by understanding…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=48b0cdb8eb455ed3&fccid=fb09a4b702935704&vjs=3
Data Scientist,"$100,000 - $130,000 a year",Game Circus,"Addison, TX",Temporarily remote,,"At Game Circus, you will use various programming, statistical, and reporting tools to analyze and share results related to split testing, user acquisition, data…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=85f499f9f0bf5d29&fccid=f79ee1a8bdca5db3&vjs=3
Pricing Data Scientist,,Sonder,"Dallas, TX",,3.5,"Experience working with Product and Engineering teams at high growth companies to solve problems, identify trends and opportunities, productionize…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=46c7e04de2cd30f5&fccid=399da73be70a82ee&vjs=3
Senior-Data Scientist,,AT&T,"Plano, TX",,3.8,"Perform data studies and data discovery around new data sources or new uses for existing data sources.
Design and build large and complex data sets, from…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a84a2f41c4cae503&fccid=25b5166547bbf543&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Dallas, TX",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=21475b3869b72d01&fccid=9e215d88a6b33622&vjs=3
