job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Strategic Analytics – Data Scientist,,Deloitte,"Des Moines, IA",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6b5aa47ec39009a2&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,"Growers Edge Financial, Inc.","Johnston, IA",Temporarily remote,,"Experience with geospatial data analysis, data aggregation, and geo visualization (e.g. QGIS or ArcGIS).
Analyze business intelligence and support the business…",30+ days ago,2021-01-15,"https://www.indeed.com/company/Growers-Edge-Financial,-Inc./jobs/Data-Scientist-7bf0e668ddf848bf?fccid=4e619dc84a0e45f3&vjs=3"
PhD Fellowship- Data & Ops Research Scientist (Jan-May 2021) Remote,,Principal Financial Group,"Des Moines, IA",Remote,3.9,Serve as “power user” subject matter expert for the ongoing development and optimization of at least one critical quantitative science objective used by…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=370b0c94876b7f1c&fccid=591be181c58fd89d&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Des Moines, IA",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5651f3ff8dbc0db5&fccid=fe2d21eef233e94a&vjs=3
Machine Learning - STEM Spring Intern (Undergraduate Student),,Kum & Go,"Des Moines, IA",,3.5,The internship will consist of a focused project in our solutions delivery group aimed at creating a working proof of concept (POC) that uses machine learning…,29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ary0qFmdCB0fJzP6yo20VSBnMHiEDzxnbj6p900ThwXbFG10Fys7JX6oTMBjonedUJbrAF3JSOndFWLW2WFeSsDIiSyWJuGokB1q4BYgQOd1LkjgqmTBbKhuGhb0I79LprEXXo2RDxLOfmw23oh7GCCcPIL-OMjztGoIn9adO8ZoPB2RmOaebHt-LN1B1rKdcb6zrpOzSW_i16mxI6KVVb7CZSve09gPsQ5VHlOB_uPE7gMkVRcBFaQvjwKJQnTmeUeNRCweJnI_71sJtjPDFtcji_8aVB7lX_tSgfv7d7F2kni9XDOe2vLz0RSpM2jTyqUrhS7Fu6P5KtBv3ERFoGcn7JBrQqvFDJtEN31tFtlh4R3rhVkENeR3duJTM4F8Fy4QYvixDHwmqfW7PZGXAGBYuFc9ZMBvVzWngX4QcxDuICTZxlrcfYgsTnBpbtzkZkYf4anlyHcs4ZEMp4WR2nNNKvcA6zglB_3mCBVF2XYvAmrFbtVvzt&p=4&fvj=0&vjs=3
Analytics Consultant- Data Scientist,,Principal Financial Group,"Des Moines, IA",,3.9,"Knowledge of a wide range of machine learning and statistical approaches, and experience in applying these approaches to solve and deliver measurable results.",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4e05eea5ed78c1d7&fccid=591be181c58fd89d&vjs=3
Senior Data Analyst,,Cognizant Technology Solutions,"Des Moines, IA",,3.9,"4-6 years in a similar data analytics role or have equivalent technical competence and experience in education.
Employee Status : Full Time Employee.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cf6d5d885d7fa008&fccid=2df6a1e69a70a1e7&vjs=3
Discovery Breeding Data Scientist,,Syngenta,"Slater, IA",,4.1,"Demonstrated experience developing and executing machine learning, data mining algorithms, statistical methodologies, and/or predictive and simulation models.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e9da69871d0652b9&fccid=212d266bb52619f8&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr3xRltYX8FYyFmxc8BKwGiiupPCzVeNmkyMZ5CzBLuf0Z8edi9SOrTJclKAU4Th_n7CBFJRq5ivWVjm-VHmSVdAb0oVzphiWi8-Nb1OVN15KnVoyx3r0aD0TrFL2bW2_G2s09vchNGlfBnRyqGMexalISdNu3mvtHPfo8_HrSvyqxZ3CaROKsd73CQu43wuKEL00rnYlH74NUZ-g3cAWvUO2XgFzUh2F1jAhRSollfBQdVErBnqhrF1JvXVCUCpay5UcxlSp7g3oQcHMzDDyg2josfRv23w_q&p=8&fvj=1&vjs=3
Data Scientist (Customer Analytics),,Principal Financial Group,"Des Moines, IA",Remote,3.9,"You’ll investigate trends in data, applying models, algorithms, and statistical tests to provide recommendations and change business processes.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=79539ae73e7cdc07&fccid=591be181c58fd89d&vjs=3
