job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Strategic Analytics – Data Scientist,,Deloitte,"Detroit, MI",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=df869ecc66e33537&fccid=9e215d88a6b33622&vjs=3
Data Scientist,Up to $65 an hour,X-IS Tech Inc,"Farmington Hills, MI",Temporarily remote,,"Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment…",Today,2021-01-15,https://www.indeed.com/company/X--IS-Tech-Inc/jobs/Data-Scientist-767d3df8ee959752?fccid=3611df9725d68089&vjs=3
Data Scientist,,Slalom Consulting,"Detroit, MI",,3.7,"Strong interest in applying data science to solve real-world business problems.
Familiarity with core quantitative analysis techniques (e.g., predictive…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff662006782e6be9&fccid=a321096b9f1b3c50&vjs=3
Data Scientist,"$89,819 - $157,483 a year",INTOLON,"Detroit, MI",Temporarily remote,,"Provides “data stories” by using data visualization and data communication techniques.
Analyze source data and data flows, working with both structured and…",18 days ago,2021-01-15,https://www.indeed.com/company/INTOLON/jobs/Data-Scientist-5910df65329c8c90?fccid=a7d19fe94642d6fb&vjs=3
Data Scientist Analyst,$45 - $50 an hour,Talent Hire consulting,"Dearborn, MI",,,"Build a scalable and robust end to end data monitoring solution from data in table to insights on dashboards.
Perform data analysis to derive KPI insights using…",8 days ago,2021-01-15,https://www.indeed.com/company/Talent-Hire-Consulting/jobs/Data-Scientist-Analyst-94a0e2e2f06b5116?fccid=0f36448dbdc13f69&vjs=3
Data Scientist,,umlaut North America,"Detroit, MI",,3.5,"Experience in machine learning – deep learning implementation by using existing Python based libraries in any industry, like Keras, PyTorch, TensorFlow, OpenCV…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c84f5c67584a9162&fccid=fb6df03175754b0e&vjs=3
"Vice President, Data Science & AI",,Quicken Loans,"Detroit, MI",,3.8,"Lead and foster the growth of a large multifunctional team, including data scientists, data analysts, machine learning engineers, data engineers, architects and…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=51fd3dd4a2b84211&fccid=ac6e043a4dae762c&vjs=3
Data Scientist/ Predictive Analytics Actuary,,General Motors,"Warren, MI",Remote,4.1,"Proficient with generalized linear modeling and solid understanding of multiple other statistical modeling, machine learning, deep learning, or data mining…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6a5d4885108930d6&fccid=116680a29a847a70&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Detroit, MI",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6f6b859027f1cee&fccid=fe2d21eef233e94a&vjs=3
Marketing Data Scientist,,Little Caesars,"Detroit, MI",,3.4,"Strong experience with data mining, quantitative analytics, insights creation and delivering/presenting results and recommendations.
Proficient in Python and R.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=46eeff910020b193&fccid=9dea9f44f7471a29&vjs=3
Data Scientist,,Amrock,"Detroit, MI",,3.4,"They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=58d6bbb854f0249a&fccid=7fa3894508ada0ed&vjs=3
Intern – Data Scientist,,Soothsayer Analytics,"Livonia, MI",,3.5,"Collaborate with other engineers, data scientists.
During the course of the internship, the intern will learn such techniques as data pre-processing, data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a3e7bd673fe275ce&fccid=7eea1f754f48fabf&vjs=3
Senior Data Scientist,,Quicken Loans,"Detroit, MI",,3.8,"Mentor and train other data scientists.
The Senior Data Scientist is responsible for performing data mining, predictive modeling and forecasting to provide…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cffaf69339707f89&fccid=ac6e043a4dae762c&vjs=3
Data Scientist Decision Science Support,$50 - $57 an hour,Talent Hire consulting,"Dearborn, MI",,,"\* 1+ years of experience in mathematical programming, data mining, statistical analysis, and/or machine learning \* Strong oral, written and interpersonal…",28 days ago,2021-01-15,https://www.indeed.com/company/Talent-Hire-Consulting/jobs/Data-Scientist-Decision-Science-Support-c79751b2b839bd66?fccid=0f36448dbdc13f69&vjs=3
Data Scientist II,,Ryder,"Novi, MI",,3.4,"The Data Scientist II will use their skills as an expert of machine learning and artificial intelligence algorithms, by utilizing the perfect blend of data with…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=243c838d6cc55461&fccid=22f3171d623451cc&vjs=3
Data Scientist II,,Ryder,"Novi, MI",,3.4,"The Data Scientist II will use their skills as an expert of machine learning and artificial intelligence algorithms, by utilizing the perfect blend of data with…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=243c838d6cc55461&fccid=22f3171d623451cc&vjs=3
R&D Machine Learning Engineer / Data Scientist (2021),,Nexteer Automotive Corporation,"Auburn Hills, MI",,3.3,Apply machine learning to develop cloud and vehicle based predictive models for areas ranging from vehicle health management to external environment sensing.,24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99fe687d50d96e2b&fccid=5274b5b41a5b8962&vjs=3
Data Scientist Intern,,Oshkosh Corporation,"Warren, MI",,3.8,"Conduct research under supervision on new technologies in cloud-based data analytics and establish requirements (resources, equipment, estimates, test plans,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d6467883ca7a32f&fccid=e403cfd8a9888a1c&vjs=3
Data Scientist,,SSI,"Detroit, MI",,3.7,"Generate enterprise and product insights through viewpoint and dynamic visualization development.
Integrate captured knowledge, programmatic plans, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dfa37b934144a862&fccid=3322122de9faaef8&vjs=3
Junior Data Scientist,,Soothsayer Analytics,"Livonia, MI",,3.5,"Collaborate with other engineers, data scientists.
1-year experience with open source machine learning tools built in Python or R.
Job Type – Full time (W2).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cf3caee53c3af984&fccid=7eea1f754f48fabf&vjs=3
Lead Data Scientist,,Digitas,"Detroit, MI",,3.8,"Owning end-to-end analytical projects involving data engineering, data mining, data modeling, and business strategy.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cab3fc9f762c95e9&fccid=274e15dee00b5237&vjs=3
Early Careers | Financial Modeling & Research | Troy,,Goldman Sachs,"Troy, MI",,4.0,"0-3 years of prior work experience in a relevant field.
Accounting and financial planning teams across the firm embody strong analytical skills, attention to…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1aa77ccc24b32e4d&fccid=16a97ed26c75bf2d&vjs=3
Data Scientist,,General Motors,"Warren, MI",,4.1,"The team is responsible for both advanced analytics strategy and applied, project-based solutions, focusing on the company’s most critical business areas.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0a17797c4cc47b8b&fccid=116680a29a847a70&vjs=3
Data science Team leader,,SafeRide,"Detroit, MI",,4.4,"8-10 years of directly relevant, tech industry work experience, including deep expertise and experience with statistical data analysis such as linear models,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d69db57dd0389bc0&fccid=8497cd18aa994446&vjs=3
