job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Orangetheory Fitness,"Boca Raton, FL",,3.4,"Experience in machine learning, analytics and/or data science.
A core focus will be on drawing insights from large and complex data sets and using these…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8701367e710fbbae&fccid=6dd2b85b361af592&vjs=3
FCC Data Scientist,,BankUnited,"Miami Lakes, FL",,3.7,"At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUY_ubqJNwV1HvMpVGbSErv9znY6OaFChsNPHPFkuWJXdQKNey0Vjx99U4YFCV8jKUcDlyb38lvOOVx_yrIkqm36kdp2OLNa4JqxGGMNzIDB_6UMKVaIvodPIVmm7bcnMwUGfctZnuF-HtK4L3fFD9XZ9gMMUQLPN02ZXMgKo2uJpICteG1r9-KlymrW3ysohLJpaV-G4ZZRNy4klsKLiRB2Jm5oPGyFcdLyDroHYvlfqakba4scv_s8yrAJdTVMUgLseTvM3D_DpITBYxLwIx8SCw2E5TsYQqWqstFrcjhkQhFJKgyiuxoNI9_X5ZhLAfyw2Tp80M6TYNLrh759sRoDRGSoH0nZPJedmnI_-fENdedjklV24UcpkjQBHkxeRQHrfMv0NB1Eiu4dQsSb-jEHF9-4OV4DX1B2zx-3yL0tynfyEsq7TLbk1v3Y7jwh2H3k6vhjh8SaoNNin3wsVDHgEPLMSUC3t4Gt3sb_x7k7y7k2p4S16LfFMaQKkNnxx__LNwBbwa9V-TAYJxF23yUtW6SRZmCOXXFPlasJhssLYb5iOAHuO6&p=1&fvj=0&vjs=3
Sr. Data Scientist,,CentralReach,"Fort Lauderdale, FL",,,"CentralReach is a leading provider of end-to-end EMR, practice management and clinical solutions that enable applied behavior analysis (ABA) clinicians and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECY-B46IL8pz9nb0rkq1EJe2weIRugEa86N8vLaYPTtpnvbKRAV_uE3pu_stcuhidJ0zCrrpuvjyOQ0xa8YPu1JEmDpiN8DpzksAWub6ihnEeFZh7EPivXuGRXZw1bmTDzdtW3sEQScF-BLx5Fo6nYlHL-k_jXPjEh696CXbP2f8b3d8DBvGbN8mra08GsPh9UCG1Ia7eMkYSMgBVzYQ0rJMbKcM0KbNFY1QUZ82SENRlqFjCzqXnrCEPWCXMZP2NjU9CaTQH61vEyw9bI2cTgzZfST_j0GDovkOmnxMo13s5Fs5Bv2XzVpyLK30vFv83ydwzeOVoczo-U5GMG4u5S7L6446pi9uxU-AeKGjfOLNl04ufERqAeu78P5riCPHBEFLU5N_w3l4guo07wnDGgvX45m-H8gKCGeH6QBS_TnJMvMqaVJwsOTNddtA6FLgHTMn9Y1NMLrxO2cbQvdOaslQNv6AZPutHq6h8rKlccJLKrwQi4uqqAYqKO0wCBor50GuTQDarpi-sMljTkE6bZ0EdKW1Q2BWcp0X67OVmwzm4=&p=2&fvj=0&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrRlHZgg8xqJZpOWxWn9o47Jgs66kIKXckODLjOzyEix1SCP7l2NelOn6hLpRhQmaUDjYo_xygXAhcAPK-ed00xokGdiWwS18eNwCKypXbdJ1FyKscI-7sqMIOwK6EDdRFVqCc8g6pZPJbZmte-ELjpDGQl-tv89CNQ-xzPY4CQbI40ml6hlopV5sUDtb9BJyvxXu69Ips1ksiZwJKu371_rphZb15RnMxzcxRvczO3b62Uv9-G155CHAR8mUjymWxY4wpJH9bT6KhmYKaiF7_rZkCp5NqzKlVzPy21pjwTGE=&p=3&fvj=1&vjs=3
Data Scientist,,Excel Impact,"North Miami, FL",,,"Minimum of 3 year of data analytics experience.
Minimum of 6 years of data science / machine learning experience is required.",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c9a5ca3f64fdfc0a&fccid=33729ea3607d755a&vjs=3
Data Scientist,,Sabal Tech,"Fort Lauderdale, FL",,,"Ability to structure data for business use case visualizations.
5+ years hands-on experience with relevant technology.
AWS, GCP, Azure ecosystems or similar.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40ecefa8f8e01972&fccid=c33fdc15cbce939d&vjs=3
Data Science Position [various levels],,Royal Caribbean Cruises Ltd.,"Miami, FL",,4.2,"Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c1e25c2a62ad064f&fccid=fa65a3fcc2b211c1&vjs=3
Delivery Data Scientist,,Microsoft,"Fort Lauderdale, FL",,4.2,This role will have a pre-sales focus and candidate will be expected to help design solution strategy with non-data scientists in the organization and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6780d36083480a21&fccid=734cb5a01ee60f80&vjs=3
Sr. Data Analyst,$60 - $75 an hour,CTI Consulting,"Deerfield Beach, FL",,2.3,"Act in an advisory capacity in data model reviews, architecture approach and solution design to ensure high quality deliverables.",3 days ago,2021-01-15,https://www.indeed.com/company/CTI-Consulting/jobs/Senior-Data-Analyst-6383caa01e6d4ea5?fccid=379434ad9862816d&vjs=3
REMOTE: Sr. Data Mastery Engineer / Data Analyst,,"Accolite, Inc.","Plantation, FL",Remote,,"The Client is looking for a consultant to be part of the EDF project.
Mainly looking for DATA Analyst with AWS and Glue catalog, Data mastery, data analysis,…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=79c8c1acb9244530&fccid=e1951f74f473b3be&vjs=3
DATA SCIENTIST,,CIITS,"Boca Raton, FL",,,"Experience in retail and eComm; data mining; data reporting.
Experience working with behavioral and online media data sources; Required 3 years.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffc2f1b256989cc6&fccid=2dab8b7094b20f60&vjs=3
Data Scientist,,777 Partners,"Miami, FL",,3.7,"The Data Scientist will focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=600e619fe702934c&fccid=507c7a08b38f4720&vjs=3
