job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrc4ZN_XdNRfhMGKCG0NsL1HX21HTjetNUgzAZUAQMUNvfrRanoAlAyiJrt_wdeFuytzHokUBpgAYwbBUfS_0Hk4Wdh-OCPs4yARkDhuG1fZBSsoQlCdZpSxoURfslZVXq3rUUzRrelGxlT9W7sTQ_FaP2zt-OUKjp8kQEh0X8yqCr2Yaob-4f-B_lXSuEuggz7eEseRvpHKfYfjoEoE_Xia-cuAPkqt9xNx1wUHyauqP-sLxk57dg1OLC_609IVzNJS42kWVFjibtH6XTzm2pyn71SZiu4IHa&p=0&fvj=1&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Honolulu, HI",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=36c9391c810be0c0&fccid=915b1c0ee87e5e8a&vjs=3
Market Research Analyst / Statistician,,SMS Research & Marketing Services,"Honolulu, HI",,2.5,"2 years experience in analyzing data.
Working knowledge of statistical packages, SPSS preferred.
Excellent writing and communication skills and managing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0bbca5fba37180e5&fccid=8c6abb67a1d60252&vjs=3
Data Scientist - Top Secret w/ SCI Eligibility - Multiple Locations,,Logistics Management Institute,"Schofield Barracks, HI",,3.9,"Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4e0ea180dd076bb7&fccid=12626f295bf6a003&vjs=3
USARPAC PED PRC Data Scientist (Data Analyst 4),,Huntington Ingalls Industries Inc.,"Fort Shafter, HI",,3.8,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ee01a968a00023b8&fccid=9f2bb83bd9bfe2fc&vjs=3
"Intelligence and Data Analyst, Senior",,Booz Allen Hamilton,"Camp H M Smith, HI",,3.9,"Experience with Tableau of other data visualization platforms.
You’ll provide your customer with a deep understanding of their data, what it all means, and how…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c6171e9c20d359b5&fccid=4e041af1d0af1bc8&vjs=3
"Data Engineer - Camp Smith, HI",,"EKS Group, LLC","Camp Smith, HI",,3.8,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40375db2aaccd276&fccid=562f2bab3a2aa58f&vjs=3
USARPAC PED PRC DATA SCIENTIST,,Huntington Ingalls Industries Inc.,"Fort Shafter, HI",,3.8,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d120917cd0b1890&fccid=9f2bb83bd9bfe2fc&vjs=3
USARPAC PED VEO Data Scientist (Data Analyst 4),,Huntington Ingalls Industries Inc.,"Fort Shafter, HI",,3.8,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc6e9604f2fa047a&fccid=9f2bb83bd9bfe2fc&vjs=3
USARPAC PED RUS Data Scientist (Data Analyst 4),,Huntington Ingalls Industries Inc.,"Fort Shafter, HI",,3.8,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4acea7942d3c7c10&fccid=9f2bb83bd9bfe2fc&vjs=3
