job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist Intern,,Sikorsky Aircraft Corporation,"Huntsville, AL",,4.0,"Experience in researching and summarizing information from scientific literature such as journal articles, conference proceedings, and textbooks.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=d6d65b589417fff1&fccid=6240c667c0daf144&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrosCeGXgSG5luQqpYnqoTmjzIB1LSc3IVaGQ-NLSeIePInIkyo0UhEO-2wE8siE5g0WG0b_dqq7DmaaNT_zEd5E9ZsJ-pV5KlL3rusakeWyrnH7oKG8rRPP0dFhJFJvXoJhoAeci1JYsFpGecmtRA8tIlosK9I6tCiJCH8N7UEXbW5hA-mZsKlZc7D5_6IWUTHAXV6U220ahpiOka3MOIR0JKOzqGjGLyZ-MLhbj38CorME_sN_ZTWDKhvBwMNtEZ0fAdFMHWjcwILW0nO-3pSop9vvh1pSc7&p=1&fvj=1&vjs=3
Software Engineer/Data Scientist,,"Torch Technologies, Inc.","Huntsville, AL",Temporarily remote,,"Unsupervised and Supervised machine learning.
The successful person in this position will develop new mathematical/surrogate models, as well as work with…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=940f9552f9a578bd&fccid=7c60e205aab51bb4&vjs=3
Data Scientist,,COLSA,"Huntsville, AL",,3.9,"Assists with data modeling and data virtualization*.
Develops and applies interdisciplinary methods, algorithms, statistics, and research techniques in the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ad0b2667f537678&fccid=7d1d39ef87954789&vjs=3
Federal - Data Scientist,,Accenture,"Huntsville, AL",,4.0,"Experience in analytics and statistical modeling.
Work with large data sets to solve complex problems.
Experience scripting and data analysis in R or Python.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=324ac9f24e6c238c&fccid=a4e4e2eaf26690c9&vjs=3
HudsonAlpha - Clinical Data Scientist/Bioinformatician I- CSL,,HudsonAlpha Institute for Biotechnology,"Huntsville, AL",,2.0,"The clinical data scientist will use informatics technology to develop and maintainmethods, algorithms, and pipelines for a molecular diagnostics lab that…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=854a2da64abc4486&fccid=d231e8cf649b7944&vjs=3
Statistician,,"WILL Technology, Inc.","Huntsville, AL",,,"Analyze and review statistical calculations for scientific validity, verification, reliability, and accuracy; recommend improvements to calculations and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=37df4e002dfc8e37&fccid=09da26f9a89fbfbf&vjs=3
Artificial Intelligence Scientist,,Arcarithm,"Huntsville, AL",,,"2+ years of machine learning experience.
Strong experience with Python and more traditional object oriented languages such as Java and C++.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a61ef83af5a0703b&fccid=a533e958862d900a&vjs=3
Boeing Graduate Researcher – Artificial Intelligence Technologist,,BOEING,"Huntsville, AL",,4.0,"As an Advanced Technologist Graduate Researcher you will participate in research and development (R&D) of advanced computing technologies, investigate and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09ee56e56f1a6d08&fccid=edae4285faf6c2f0&vjs=3
Data Architect/Scientist,,Wind River,"Huntsville, AL",,3.7,"Wind River Systems is seeking an experienced high-performing senior software engineer for a position developing a hybrid cloud-based data analytics, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9908926dd18236bb&fccid=30c6be3855bc8a7c&vjs=3
Machine Learning/Artificial Intelligence Software Developer,,"IERUS Technologies, Inc.","Huntsville, AL",,4.7,"Our applications include: RADAR, EO/IR, RF signatures, IR signatures, RF testing, electronics and systems integration, antennas, image processing, GPU…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a2b967b5af35f5fb&fccid=a77d7dcdb8364a0d&vjs=3
2021-02 Artificial Intelligence Designer,,1st Edge,"Huntsville, AL",,,"Stay abreast of advancements in AI science and applied techniques.
You also must have, or be able to obtain with assistance, a secret security clearance.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=af3858978980b39e&fccid=dfb8e595fdb20cc9&vjs=3
2021-18 Software Engineers for BMDS Data Analysis Suite,,1st Edge,"Huntsville, AL",,,"And database-side (profiling slow queries, functions, and procedures, reviewing issues with execution plans, finding, reproducing, and fixing deadlocks, etc).",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eac4c105f3603b61&fccid=dfb8e595fdb20cc9&vjs=3
Machine Learning Engineer,,CFD Research Corporation,"Huntsville, AL",Temporarily remote,4.2,"The engineer in this role will perform data analysis, develop algorithms, and train machine learning (ML)/deep learning (DL) models to solve a variety of…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=189d948471f4aee3&fccid=57bfaeeebbfa60e0&vjs=3
