job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Full Time Sr. Data Scientist - Irvine, Ca","$100,000 - $130,000 a year",11Health and Technologies Inc,"Orange County, CA",Temporarily remote,,"The candidate would also develop reports, dashboards, and presentations to communicate insights to the company leadership, and contribute to scientific…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOnIuMyiGYhvBYNXg_sIChdZciTQQ_BJ3O4ZgSerV_so-dOBWAiz0AI3kNOIjRsYf-_nQvumYeRL0-bqL04mvmoQ4ZkpqX2nV9yEWh3lni3fhIFsmA23gg_wZAAgJw907qQF8jXh8oW5d248JRItI9xvdp6Vic9WR-Z2rRU6UDeHtstrhsM99XXWWI752m4GE6i9UTvGOz_uQeMNeOiCtx1dcI_FWDt7TpzXtwn8JX4YqQlp9pULjOX6ktTpikNAghoRiqWGlBBLSNtkcMlNi6J06DZqvZ-M9SrdK0eNeH9rYe_GPeINKs_Dk9vjDD0YieIG9FuTrYM7TYME3LdvheDkFaymq_BYjtEqGJa6tsOBFc8M0INzaAPmTUXD1Q0b28aLHoddZ5P4524RUR1ibh-LOrnGyAsDOHpRPpok7tu12s1DDX5FdJ3ua3uzRj6zXNXHfwakJzzTgi-z3IR9q5c3mhw47iM8PbjvTLNWD05w==&p=0&fvj=1&vjs=3
Data Scientist Intern,,Henkel,"Irvine, CA",,3.9,"Data scientist intern position starting in Spring 2021 at our Irvine, CA office.
Support internal and external document management for lab and chemical…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bnb2JtfZ4AEsMA1Pu2i33F7qA_ifajj7vsPj00nFwV5vyP3jOJjP5x7S2xEkpp-ftwWLpPC-_QEMjQU5kHPuOtYfswojYFejriilfSLIhcpFRMMr7-30Pb8DPCkyHbGNA1CyLpmjwy6we7PY1C7htc_a4XWjmSbq2DUHH7JVbLzeS8pDyFl9NkgWPYTwbJ12_6A1SGQLjGXmRhrgrVxSfLS6yo5zXTBCwJpQdjgnHZtqbc5rJ7JT2xDyKr7tOBYnjSxyKAJsS1r5YuJuh9AHZCX9qlC6pCREan83Fh0cNBDmrzIPuX2FAGr961OPu6wxHie6Tj5bK2RhZdutGuXzjv0cABzav54Pr80daD6XWMU8HDcDxdkmE327dKjuFyOsBBR23kRGTsMV_w9Q-xS8GI09gvwD6AhOfksaElhqCg024pVuySH3sqi5XNk8nSTzYzO1Ozi_CNdIyZH34NhOoL76vSvpVwdDXll2MU3e5P0w==&p=1&fvj=0&vjs=3
Data Scientist -Deep Reinforcement Learning (DRL) Researcher,"$70,000 - $120,000 a year",Moneza Inc,United States,Remote,,"3+ years working as a data scientist (preferably for a startup).
Experience working with deep learning frameworks like TensorFlow, Caffe2, Theano, CNTK and…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3SG9hFfofNF1-BIr4dY2wElhkB5YAQiFObJSLep6lsUmVo2Rh2aolk4OT3cjiXHE-e_6NyTE6sa-5S0KHr3a03rsQdNPr259-Q9R4jGKiWnYueAm2h_5W1lcwsAvScOeWFSeTD5z0fkJXdrR3SeLDaNXBiAB8f6x-kFBpSyPPKBYvVYy0pQf7hZjo8AmHf_ovlK9krA0uMoJ34_WWELXMT6xJox2WNlu-JBk8KXnmldbvnKML_VaC_-DqF9Tg4qIUCujiXB03Tw0rGi4YXxY_Cd5UvbqeT9BSQKpK12dqevK3PzuLcUjSZE5PtXPB_wKxC4o0AJpkU7Yt6X9FTMV49Y0Yu1RzB6DswTYZWTHyWHxp31Iyd6BBhsoAPCzdNZcE2v-hKqOT6oPz26vogSRNYgmh68SZeH9y9j58pOZ1uHcNx2h4_IQAR2n4JfxD7lHKwvem2S7OnP3tX6yqM-pg8MfSKMnN2OXvISYwqBokXdSteBsU7yqEZpdstQzZ9G4=&p=2&fvj=1&vjs=3
Data Scientist (Remote),,Sureprep LLC,"Irvine, CA",,3.8,"Experience in a relevant area of statistics, mathematics or machine learning.
This will involve applying extensive machine vision, natural language processing,…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=605d7859177bb25f&fccid=dd11cdd9cea4b258&vjs=3
Data Scientist,,Amazon.com Services LLC,"Irvine, CA",,3.6,"Experience applying forecasting and data mining techniques in an industrial setting.
As part of the Alexa Experience Content and Commerce data analytics team,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e1aac8267b3ae914&fccid=fe2d21eef233e94a&vjs=3
Data Scientist I,,UST Global,"Aliso Viejo, CA",,3.7,"Work with data-sets of varying degrees of size and complexity including both structured and unstructured data.
Experience with Test driven development.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c787d14bde06b433&fccid=810178099fb1fcbc&vjs=3
Data Scientist,,DIANAVI Corporation,"Irvine, CA",Temporarily remote,,"Minimum 2-3 years of research and/or development experience focusing on implementing one or more machine learning models, techniques, or algorithms, to solve…",Today,2021-01-15,https://www.indeed.com/company/DIANAVI-Corporation/jobs/Data-Scientist-5c48b8f9f2d1cbc5?fccid=6750ee8845146ff8&vjs=3
Data Scientist,,First American,"Santa Ana, CA",,3.8,"Responsible for developing statistical, machine-learning, and AI solutions including classification, regression, clustering, dimensionality reduction,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e3c794bf712a4cd9&fccid=4ee8dde7f79849a9&vjs=3
Data Scientist II,,Auto Club of Southern California,"Costa Mesa, CA",,3.6,"Defining project requirements, building SQL/HIVE databases, job automation, using analytical tools to find trends and predictive characteristics, developing and…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=baf0ca2585f5e912&fccid=60ee8236067f3836&vjs=3
Data Scientist,$70 - $75 an hour,Kaygen,"Orange, CA",Temporarily remote,3.0,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnlPV7QUTCWdKuIJzmELfVYl3Q47lQqD3bFm5fkBoxwGonBVD7Eb1UWXyWQEO4ZF9zb4XXzcOdYOPjhw8ZdyACljTqsZkPDNPk7LOeAgjHznLxQL27iODlTX083PKxqxSRPCq9nh9gH-w6G1QMRqfoClwP1XiCcvoGjHyJNyREkwFd0UBKrN9AY2KHi2ZSPDTrX5epo33HPFJ-bCIDg45GgdVMJWY4xFZ3rmU-4cwI8pcfFyAlQGcHUC9-qgQO0ZrlS2KS81kgVs3W_lMWHtLGeP4EbqoAuZwpyRM-HNzKxp5EgGLBbxpqMF8XX4GcZ1zWQ2p2-hCzPti6aFfq9_PfjSVFc2pSx3BKYZ_L-otPxqM074sYlyDlAF3qLi_PCjv3oQ9eJ4MKKTKTmuU_g6t76EV3tU6bDomkfYoiBu9H_PR_rN9Gfgab5bqd7qHP9-26PsLPApwcag==&p=9&fvj=1&vjs=3
Data Scientist (Local Applicants Only),"$80,000 a year",Alleviate Servicing,"Irvine, CA",Temporarily remote,2.9,"Flexible health plans ensure you are covered.
We want to see a passion for machine-learning and research.
On-Site Micro Market alongside cold brew coffee kegs…",30+ days ago,2021-01-15,https://www.indeed.com/company/Alleviate-Financial-Solutions/jobs/Data-Scientist-80e16f6def8e10c4?fccid=6a51b7d91fbe4be9&vjs=3
Senior Data Scientist,,Masimo,"Irvine, CA",,3.6,"You will dive deep into data to uncover trends, identify key insights, and craft machine learning models to improve the accuracies, minimize resource usage and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=84466d5fb4b5bf16&fccid=a50c3f331564a694&vjs=3
Data Scientist – Service Demand Planning,,Rivian Automotive,"Irvine, CA",,3.5,"You must have strong experience using a variety of data mining and data analysis methods and tools.
Experience working with and creating data architectures.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=48ece240496c6081&fccid=ab392afaee93f976&vjs=3
Data Scientist,,Mercury Insurance Group,"Brea, CA",,3.6,"The team member will work closely with cross-functional teams of software engineers, data analysts and product leaders and will require a solid background on…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bab5b647bbb8816a&fccid=12d79f18bd0c9aba&vjs=3
Data Scientist,,Gustaine,"Orange, CA",,,"We are looking for accomplished Fresh Graduates / colleagues with 1-2 years of experience, track record of project management, and demonstrated ability to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=423ed7681c952e0f&fccid=2c377618703e6c27&vjs=3
Sr. Data Scientist,,omega solutions inc,"Santa Ana, CA",,3.8,Field Team Modernization/Intelligent Decision Management - build and support of new predictive data models 2) Coding Transformation - build and support of new…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9db1435e593935f8&fccid=9e399301940ed66e&vjs=3
"Data Scientist, Digital Program Analytics",,Edwards Lifesciences,"Irvine, CA",,4.1,Optimize impact of programs across stakeholders using deep analytical insights and machine learning / AI to make data driven decisions and recommendations.,25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a096cb57f564d8fd&fccid=aa766df99c78f464&vjs=3
Sr. Data Scientist,,"Alteryx, Inc.","Irvine, CA",Remote,3.9,"Deliver and drive model/analytics insights throughout organization, helping to support data-driven decision making at all levels of the organization.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0ba498ee207b3c05&fccid=dd3b0a1fc99fe359&vjs=3
Data Scientist - HCI,,SCAN Group,"Long Beach, CA",,3.8,"3-5 years of experience handling data sets and building statistical/machine learning models.
You must have strong experience using a variety of data mining/data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=01c0d6f3514fa1f4&fccid=ddd364512fc76b38&vjs=3
Data Scientist,,Karma Automotive LLC,"Irvine, CA",,2.8,"Create visualizations and reports to show insights obtained from data mining efforts.
Attend trade shows, conferences and learning opportunity to familiarize…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f7fd2a35541c62d2&fccid=87d7af0ec9cd5df0&vjs=3
