job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Associate Data Scientist,,Cerner Corporation,"Kansas City, MO",,3.5,"As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06bbf6cfe73d61be&fccid=95fa2b94b684ec6b&vjs=3
"Intern, Data Scientist",,Blue Cross and Blue Shield of Kansas City,"Kansas City, MO",,4.0,"O Ability to interpret and collate relevant data.
O Must be fluent with Excel, Word, PowerPoint, and MS project.
O Basic project management skills.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c0d46d2bf1abf0c4&fccid=a1208edcf19bb616&vjs=3
Data Scientist,,Kansas City Southern Railway,"Kansas City, MO",,3.2,While working with fellow railroaders focusing on inefficiencies by identifying insights from existing data and developing models that will help tackle problems…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7054f96596ca53bd&fccid=c344c1210f98623f&vjs=3
Data Scientist Lead,,Commerce Bank,"Kansas City, MO",,4.0,This position applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6880a45191da4ae4&fccid=46b956db9d9df555&vjs=3
Statistician,"$53,977 - $121,006 a year",US Department of Agriculture,"Kansas City, MO",,4.1,"Surplus or displaced employees eligible for CTAP, RPL, or ICTAP priority must provide: proof of eligibility (RIF separation notice, notice of proposed removal…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ebcadc71ea507cd1&fccid=2ca3f41384485c35&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr4VQK2oXNYtZVu01A-PetSo1bR0PwPcNt-FHHzredEI-k2AYxJbCN2mdx9lT6oR0rfvxHpdlafVTz64RogMtvqFVpiBIvybns2e5j28aDtFI_P1Bk7UEvlfGSf_7a-VhwQtc-lGUtM-LK9B_uO7F_kIer4rUKkVVXeeXj0uBiCfRX5Zz5tM6PKGKdFNXpd77AxkOLErR3fsqymAjh76vkthfSXUwRpkh7yh626F3MerdfkczGK08qQ0sy4Us3H3000qHmfiToHkXH8kGzwzllP5h0ttg8fmAG&p=5&fvj=1&vjs=3
Data Science Intern,,Empower Retirement,"Overland Park, KS",,3.1,"Competitive compensation, includes base salary and eligibility to participate in either an annual bonus program or sales incentive plan, as applicable.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bc7fc2c4755fb7cb&fccid=796b5a2c2fc5984d&vjs=3
Senior Data Scientist Consultant,,Burns & McDonnell,"Kansas City, MO",,3.7,"The Data Scientist position performs tasks utilizing data wrangling, statistics, machine learning, programming, and data modeling to discover information,…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7WEdIQIOKhhOe7MdAzQ7B09iw3g7zk54JBUxo2Ew1NuS2RnUTvRAK6eoWQY8Lfsuni5oQvP88ktPrQytLjHBdUcWVmPl-8nozkEEMU_Gbys4S8gZ2Ldy19fv3KWkVRoNDqGXoiQjhSsMlW6ZCWsK5ROhUEkW50yW7_5XcOQClnmLBaeHWnvE8QLETdVdjRdCRb_Uucob4QJR1XpWhWDvIXe3vxRvpc7FWLwA9RTQmbr-xT9hEpUHm5DM89Ao13D2t0_vAJHzRPPWDcRr2LdJ0lX--512dGpM4PbYwWAoStLRnXCA5hhL6QLe39FemZxw5XiimgeB3OSxuTmWlZfup_BHv4CNc0XeeSWibR60FyNg-ZvtRtecGS8fVf5_0lX9VvgOleLJ_6peYFakLOBii0Geo9VSsKc7FQtJ86qxVBvl_TU2FyLcUUHh7vpl59wh1TNDgbHreUbegPjlJQdygI7p6sD0JxpSMQHHeLWbdA12LOgylY3XYJOpA2fxLtzQDXJ5n-ZxIyw==&p=7&fvj=0&vjs=3
Data Scientist,,TEOCO,"Kansas City, MO",,3.6,"The candidate will work closely with other data scientists, subject matter experts and key stakeholders to capture requirements and create innovative solutions…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=14793c6eed68788f&fccid=337c4b5e07c43198&vjs=3
Data Scientist,,Grantham University,"Lenexa, KS",,3.4,"Work collaboratively with University partners to share subject matter expertise, research findings and insights, analytical and software techniques, and higher…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c79729aa3614fccf&fccid=eed15d038c575100&vjs=3
