job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,BWX Technologies,"Oak Ridge, TN",,2.9,"Visualization products including analytics, 3D simulation, and data models.
Machine and deep learning systems for predictive quality.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=78b2aa1600003dfe&fccid=1cb1c97037cae2d8&vjs=3
Data Scientist,,Denso North America,"Maryville, TN",,3.8,"Demonstrated experience applying data science methods to real-world data problems.
Applies knowledge of statistics, machine learning, programming, data modeling…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3c70ef195b5d4c19&fccid=dae59249f7edc321&vjs=3
Senior Data Scientist,,Covenant Health,"Knoxville, TN",,3.6,"Supports our clinical quality, patient experience, and performance improvement teams with insights gained from analyzing company data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=33225aeeb8bfdda8&fccid=09d3c31f6023c7e0&vjs=3
Researcher in Data Science/Statistics/Machine Learning/Applied Mathematics,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,The Cybersecurity Research Group in the National Security Sciences Directorate of Oak Ridge National Laboratory invites applications for professional…,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d27e9b6a686ca7fb&fccid=64e028df9b3fd2c4&vjs=3
"Data Scientist, Biomedical Imaging",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"In this role, you will serve as a liaison between NCCS and the users of the NCCS computing resources and relevant NCCS vendor partners, providing deep technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a209b06c4ecc2f7&fccid=64e028df9b3fd2c4&vjs=3
"Senior Research Scientist, Data and Machine Learning",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"CSM delivers fundamental and applied research capabilities in a wide range of areas, including applied mathematics and computer science, experimental computing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f180d7767b0dcf9e&fccid=64e028df9b3fd2c4&vjs=3
Data Scientist - Senior R&D Staff,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,Demonstrated understanding of applying modern data science/machine learning techniques to real data (not synthetic data) to gain insights and understanding of…,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b43019f5f000450c&fccid=64e028df9b3fd2c4&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrAfqrPvGnbLJ6VzdlMlVbfBiUFZYwytT41NC3cxzSNsczSn_D0UFX19LXoS4jdIcKAd45JJMpyBJAqlbmzFERE4oXTnuWQPLP_PQj0rFZugetlEiCO6HzT7JcyeIampbH47lip-YihOkwSRidjPsfyZaI6TMiAErJtdF-xQDzOEUGIlneX_7wfyl5bmOd1Cd208abtW1RCjm_4Yin_dveDzpcvexyLQ4T_gq9zLxh-_VpmMdZa5bTnvgXgva9_4UKvozJ_76-yW2D2wPbiswS9pVBO9QW9VpM&p=7&fvj=1&vjs=3
Associate Scientist in Mathematical Ecology,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,Our vision is to expand scientific knowledge and develop innovative strategies and technologies that will strengthen the nation’s leadership in creating…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e97f4597e8c7c959&fccid=64e028df9b3fd2c4&vjs=3
"Data Scientist, Public Health",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"In this role, you will serve as a liaison between NCCS and the users of the NCCS computing resources and relevant NCCS vendor partners, providing deep technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b5019f55e312a06&fccid=64e028df9b3fd2c4&vjs=3
Senior Researcher in Real-Time Data Analysis and Artificial Intelligence,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Experience in statistics, data visualization, geographic information systems, big-data mining, streaming data platforms, and simulation and modeling is…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8cb2d3b0949e1710&fccid=64e028df9b3fd2c4&vjs=3
"Senior Scientist, Machine Learning for Chemical Reactions",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"This group leads and contributes to the development of first-principles electronic structure methods including Quantum Monte Carlo, numerical techniques for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ee0bf603b6c23e05&fccid=64e028df9b3fd2c4&vjs=3
AI and Embedded Software Senior Researcher,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Develop, implement, and test machine learning and signal processing algorithms.
Experience with widely used scientific programming languages such as Python,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0d3f1eff3831db6f&fccid=64e028df9b3fd2c4&vjs=3
"Software Engineer, Data Engineering Group",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Experience with scientific data and data formats is a plus.
Experience with artificial intelligence and machine learning is a plus.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=87734c9302c6034b&fccid=64e028df9b3fd2c4&vjs=3
Sr. R&D Staff Geospatial Artificial Intelligence,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Work in a highly collaborative environment with data scientists, machine learning scientists, remote sensing scientists, engineers, physicists and geographers…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fd087b766551fef1&fccid=64e028df9b3fd2c4&vjs=3
"Group Leader, Mathematical Software Technologies",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"CSM delivers fundamental and applied research capabilities in a wide range of areas, including applied mathematics and computer science, experimental computing…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=69e2c77e37646da9&fccid=64e028df9b3fd2c4&vjs=3
"Senior Research Scientist, Statistician",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"CSM delivers fundamental and applied research capabilities in a wide range of areas, including applied mathematics and computer science, experimental computing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ad0684d0bb631694&fccid=64e028df9b3fd2c4&vjs=3
Distinguished R&D Staff National Security Sciences - Data Science and Analytics,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,This position works closely with the R&D line leadership to implement the scientific vision; establish capabilities that enable programs to excel at the…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c5d7e1a5fe33141f&fccid=64e028df9b3fd2c4&vjs=3
Sr. Scientist in Mathematical Ecology,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,Our vision is to expand scientific knowledge and develop innovative strategies and technologies that will strengthen the nation’s leadership in creating…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fc27a5d240b236b7&fccid=64e028df9b3fd2c4&vjs=3
Associate Research Staff in Computer Vision and Machine Learning,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,Excellent communication skills for conveying technical material to both scientists and non-scientists in both written and oral presentations.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3c4f2eeb764b4380&fccid=64e028df9b3fd2c4&vjs=3
Computer Vision & Artificial Intelligence Senior Staff Member,,Oak Ridge National Laboratory,"Knoxville, TN",,4.4,"You will provide technical oversight of a small team of scientists and engineers, and you will be actively engaged in the development of software and hardware…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a7020b40fc3d147&fccid=64e028df9b3fd2c4&vjs=3
"Applied Mathematician, Associate R&D Staff Member",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"In this role, you will serve as a liaison between NCCS and the users of the NCCS computing resources and relevant NCCS vendor partners, providing deep technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=43dfaa028af0bf01&fccid=64e028df9b3fd2c4&vjs=3
"Applied Mathematician, R&D Staff Member",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"In this role, you will serve as a liaison between NCCS and the users of the NCCS computing resources and relevant NCCS vendor partners, providing deep technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7da54ee53b329edb&fccid=64e028df9b3fd2c4&vjs=3
