job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$200 - $275 an hour,Mitnick Security Consulting,"Las Vegas, NV",,,"The candidate should have at least 10 years of experience working extensively as either a big data engineer or a data scientist.
Job Types: Part-time, Contract.",7 days ago,2021-01-15,https://www.indeed.com/company/Mitnick-Security-Consulting/jobs/Data-Scientist-aea4d204a3669cb8?fccid=b7d9a83242510046&vjs=3
Jr. Data Scientist,,Reflex Media Inc,"Las Vegas, NV",,,"Design and deliver analytics dashboards for near real-time analytics.
Reflex Media offers competitive benefits including 99% of health insurance coverage for…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e8aaabbcedfe84c6&fccid=07d03d20b37357fa&vjs=3
Jr. Data Scientist,,Reflex Media Inc.,"Las Vegas, NV",,,"Design and deliver analytics dashboards for near real-time analytics.
Reflex Media offers competitive benefits including 99% of health insurance coverage for…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=719b59c6fe492d0d&fccid=07d03d20b37357fa&vjs=3
Data Scientist - Nellis AFB,,Intelligent Waves LLC,"Nellis AFB, NV",,3.9,"Use scientific methods, processes, algorithms and systems to extract knowledge and insights from data KM system in various forms, both structured and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d049ab48ef2ca8c&fccid=ce902afa2b0e70d5&vjs=3
Senior Data Analyst - Commercialization,,Curaleaf,"Las Vegas, NV",,2.0,"Experience: At least five years hands-on experience in analytics, data science, or management consulting with a proven track record as a data analyst in…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f420e7bcbb142239&fccid=6022baab463e8cb8&vjs=3
"Sr. Data Scientist, CXS",,Aristocrat Technologies,"Las Vegas, NV",,3.4,"Excellent organizational skills with the ability to manage multiple priorities.
Carefully check, debug and problem solve issues to ensure you deliver accurate…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b831ee4ae00c868&fccid=19fcd6b7063fbed4&vjs=3
Artificial Intelligence or Big Data Engineer,,KTI - Kari Technologies International,"Las Vegas, NV",,,"Have a solid foundation in mathematics and machine learning algorithms, familiar with decision tree, clustering, time series, classification tree, Boosting, SVM…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=768025aa47a16e54&fccid=ceaf990fd1949a6b&vjs=3
Associate Mathematician,,Aristocrat Technologies,"Las Vegas, NV",,3.4,"Bachelor's degree in Mathematics, in specific area, or related field.
The Associate Game Designer supports the development of new game concepts and is…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=745b7026f770a4fc&fccid=19fcd6b7063fbed4&vjs=3
Mathematician,,BMM Testlabs,"Las Vegas, NV",,3.0,"The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=62df3757d91535bf&fccid=1dc5e16a56d5c1c9&vjs=3
AI Camera Software Developer,"$55,000 - $100,000 a year",Smarter AI Corporation,"Las Vegas, NV",,,"NAT traversal and device-to-device connections.
Adaptive bitrate signal processing and streaming.
Computer vision and sensor fusion.",30+ days ago,2021-01-15,https://www.indeed.com/company/Smarter-AI-Corporation/jobs/Ai-Camera-Software-Developer-70f2de56e4e1a171?fccid=340453aaeec34d12&vjs=3
"Sr. Finance Data Analyst, Global Gaming Finance COE",,Aristocrat Technologies,"Las Vegas, NV",,3.4,"Develop compelling dashboards and data visualizations using field proven formats.
Create timely and insightful data sources to facilitate decision making.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dcf2104a53a611c6&fccid=19fcd6b7063fbed4&vjs=3
Mathematician III-IV,,Konami Gaming,"Las Vegas, NV",,3.0,"Create the Math Documentation and provide relevant math data for specific math models autonomously.
Can handle creating complex math models by prioritizing…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f77f774b6c4d9ee&fccid=693d1c54f4d99785&vjs=3
Data Analyst (Senior/Principal Applications Analyst),,"Mission Support and Test Services, LLC","North Las Vegas, NV",,3.0,"Lead efforts in identification and analysis of data requirements to drive data models and data structures.
Lead and prioritize strategic technology initiatives…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5009bfc826ca4a5d&fccid=50392e9a21a96bd3&vjs=3
