job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$70 - $85 an hour,O'Neil Digital Solutions,"Los Angeles, CA",Remote,3.2,"Develop innovative data science solutions that utilize statistical modeling, machine learning, deep learning, and optimization for multiple business domains…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPRp5ljO1pdajOFmr7nwJ4KTDI_QQma5YWAOGfYtS-fYitk3sKhLoIh_WgnHZZDQeyvy88kcDp_BPsdxV0c02IpTBW7WQCqhgXBMRdZenfRGdXiAj-84Fthtvnuie0zRLw1CH1GsYb0bQdiens7t67sMZhIUD2x0LtDSJU6cXklw0joVOewzr_1sc3t6oY9e33S7PejagAfGycmWHpI3i4pxgJulhbFkwK5HL1dY2HrDKcsG2bm0wJGzFwfK_-r1NL8qai3BA7VjddgaDT5UvQnn3-kCAEcxf9gn2yvN2GhbNuScn97DVkjpWUSCAAP67kjc_SGeyhzeY8PPuN50WqOHRwi05lHc9NQsOD0VGb_aoA4cvlA81o3905-m8XKLIkX3wTXRtqe9pNmmrTF_FMHoZH2fJn_HiwK5gYwIAo3FR3uprASguDABKcwwqpgOvy1YUFAw2kz14bgH9ngikF&p=0&fvj=1&vjs=3
Public Health Data Scientist,$53.71 an hour,"Healthcare Staffing Professionals, Inc.","Los Angeles, CA",,4.6,"Option II: A bachelor’s degree from an accredited college in a field of applied research such as data science, machine learning, mathematics, psychology, or…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBC3QPWf62_ZujIdn61V3p_wwz_uNSPeOtTLODVN0YExeTuk-ICDJsUXLIYJNbuQvK-Jx3S9HplcTKlm73Z4aajYizLN3wAihUiqlXBO8R1TXxNqPwjUMMkXEy3MH6mFKo8lOdOSuBK4ML3QExSHvmrUD_pXWDkI-cCFhPvF0kpxYpEnqf3qM8xB3pjX3W5lE_0khSztMfFICRn5wkL_K0u7H4Jh9B5d-84d9SX636EpOK6Nk6jQug8q3Xqs2bhBHSBxRDir4esytHj84A_Kg13Z_vxCA31Rm0BzMh_uDXDfDk15pGZfXa1PMeyTDjiJ8pHrI4YnvsiKAIawLGNUD2WL2LXb7iX95h5djsAYHXdzzcHIF0uQc2rTVIWUZJ6BhhwtBK-Nlxg5cl7pPpY7igNLq0DM1bktxVhINPjGMLIS6b86qzalCYIJFEEYvIQDjd-_5s6PBdtBAdZ9OB-UbO-MGlVR0d5j8=&p=1&fvj=1&vjs=3
Data Scientist,,Kaiser Permanente,"Pasadena, CA",,4.1,"Responsible for leading CSPC staff, KP HC Clinical and Management teams to ensure KP HC clinical content and Permanente medicine programs are supported.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4f34fa290ec2bd38&fccid=48ecd526e3aa3225&vjs=3
Data Scientist,,AutoGravity Corporation,"Los Angeles, CA",Remote,,"Proven track record of success in the development and deployment of data management, data governance, data analytics and business intelligence projects and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5ad57b023cae7304&fccid=83f90339b26ed209&vjs=3
Data Scientist,,RepairSmith,"Los Angeles, CA",Remote,,"Proven track record of success in the development and deployment of data management, data governance, data analytics and business intelligence projects and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1128b8425267658e&fccid=8ab8d709d9da5e7f&vjs=3
Data Scientist,$42 - $52 an hour,"RMDS Lab, Inc","Pasadena, CA",Temporarily remote,,"Provide consultation on data science and machine learning.
Strong interests in machine learning and a fast learner.
Bachelor’s degree or above necessary.",22 days ago,2021-01-15,https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-ff8bd590c71bf357?fccid=bb09cf205f12348c&vjs=3
Data Scientist,,Pollen,"Los Angeles, CA",,,"Collaborate with other insights professionals, data professionals and non-technical stakeholders to gather the necessary data to help drive strategic decision…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63ccd611a6af4e73&fccid=4dd0574d023dfcf1&vjs=3
Data Scientist,,Kharon,"Los Angeles, CA",,,"We are hiring data scientists to expand and enhance our research and analysis platform, which leverages open-source intelligence, data mining, network analysis,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=97b6af5c0a32de5d&fccid=b544304db34cd3c6&vjs=3
Data Scientist,,Slalom Consulting,"Los Angeles, CA",,3.7,"Strong work experience with data cleansing, transformation, feature engineering.
Strong work experience with Python or R.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2513aee7c835a4a&fccid=a321096b9f1b3c50&vjs=3
Data Scientist,,D Cube Analytics,"Los Angeles, CA",,,"Design, develop and deliver AI/machine learning enabled solutions for our industry specific data analytics platform.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ec37e453732a9625&fccid=6c59e1c3e828f5a1&vjs=3
Data Scientist Intern,,Internet Brands,"Los Angeles, CA",,,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality analytical and prediction systems…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2e53f9badf9c9259&fccid=4055a3edc92e3c66&vjs=3
Customer Facing Data Scientist,,Zest AI,"Burbank, CA",,,"Translate unstructured business problems into well-defined machine learning projects.
Experience in designing, developing, and implementing machine learning…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ee64ddd0bd44a391&fccid=8c99bfebb6f64903&vjs=3
Enterprise Data Scientist I,,Farmers Insurance Group,"Woodland Hills, CA",,3.6,Master's degree in scientific or quantitative field and d ocumented academic excellence PhD in scientific field highly preferred.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93eec8efc642f1f8&fccid=77a32bcb59e7f031&vjs=3
"Data Scientist, Content Planning & Analysis",,Getty Images,"Los Angeles, CA",Temporarily remote,3.9,Getty Images is looking for individuals that enjoy leveraging new and traditional Machine Learning methods to help turn large-scale business data into…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=babcac79e953d809&fccid=c68f858ef73a0c44&vjs=3
Data Scientist - Consumer Product,,Houzz,"Santa Monica, CA",,3.3,"2-3 years experience with analytics for consumer web and/or mobile applications using user log data.
Critical projects will focus on data-driven insights to…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d444433f18f54334&fccid=cd808c272e6d956a&vjs=3
"Data Scientist, Content Planning & Analysis",,Getty Images,"Los Angeles, CA",Temporarily remote,3.9,Getty Images is looking for individuals that enjoy leveraging new and traditional Machine Learning methods to help turn large-scale business data into…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=babcac79e953d809&fccid=c68f858ef73a0c44&vjs=3
Data Scientist - Consumer Product,,Houzz,"Santa Monica, CA",,3.3,"2-3 years experience with analytics for consumer web and/or mobile applications using user log data.
Critical projects will focus on data-driven insights to…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d444433f18f54334&fccid=cd808c272e6d956a&vjs=3
Data Scientist,,Zest AI,"Burbank, CA",,,"Translate unstructured business problems into well-defined machine learning projects.
Expert experience designing, developing, and implementing machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9b3c2f70f1632d48&fccid=8c99bfebb6f64903&vjs=3
"Senior Associate, Data Scientist Optimization",,KPMG,"Los Angeles, CA",,4.0,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=623bf94ff105066c&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,,Bridg,"Los Angeles, CA",,1.9,"Bridg is a marketing software company that provides a CRM solution, email and SMS marketing, insights and analytics, mobile app and loyalty program development…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0c5fd756b72e613f&fccid=7ce6a9aaa4dc0604&vjs=3
Data Scientist,,Mercury Insurance Group,"Brea, CA",,3.6,"The team member will work closely with cross-functional teams of software engineers, data analysts and product leaders and will require a solid background on…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bab5b647bbb8816a&fccid=12d79f18bd0c9aba&vjs=3
Data Scientist III,,L.A. Care Health Plan,"Los Angeles, CA",,3.2,This individual will lead and manage projects through the iterative data science process (Ideation > Data Acquisition > Exploratory Data Analysis > Model…,23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb4b54253fd0fc3d&fccid=d43486ebfbb771d1&vjs=3
Associate Data Scientist,,Internet Brands,"Los Angeles, CA",,,Collaborate with fellow data scientists across a variety of businesses to prioritize and promote our machine learning efforts.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=67d997d31a625413&fccid=4055a3edc92e3c66&vjs=3
Data Scientist,,Dave,"Los Angeles, CA",,,"As the Data Scientist, you will partner with product management, marketing, technology and engineering teams to elevate user insights, marketing analytics and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb0673648abdecf0&fccid=4af74d9442e25908&vjs=3
Data Scientist,,Public Storage,"Glendale, CA",,2.9,Strong command of applied math (linear/matrix functions) with deep learning theory and practice; Both frequentist or Bayesian welcome.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2da49418acf43cec&fccid=212b3e869c8a74cb&vjs=3
Data Scientist,,UCLA,"Los Angeles, CA",,4.3,By possessing a knowledge of data extraction and manipulation from database sources along with demonstrated work experience applying advanced analytics in a…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a2f2e865459840b3&fccid=ab0ef6192557a06f&vjs=3
Data Scientist,,Beyond Limits,"Glendale, CA",,3.5,"Scope unstructured problems or messy data for tractable insights.
Identify candidate statistical or machine learning solutions and test their efficacy.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9dc493b10581857d&fccid=46b1aa6b464bae94&vjs=3
Data Scientist II,,Jet Propulsion Laboratory,"La Cañada Flintridge, CA",,4.3,"Knowledge in one or more related fields including: Big Data, cloud computing, statistics, analytics, machine learning, deep learning, programming, data bases …",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88447f778853069e&fccid=0b4439b9e8944c36&vjs=3
"Data Scientist, Marketing Solutions",,Houzz,"Santa Monica, CA",,3.3,"2+ years experience with analytics for consumer web and/or mobile applications using user log data.
Critical projects will focus on the ongoing development of…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae7424cc6be2de94&fccid=cd808c272e6d956a&vjs=3
Senior Research Data Scientist - Machine Learning,,Jet Propulsion Laboratory,"La Cañada Flintridge, CA",,4.3,"We employ rigorous, explainable Machine Learning (ML) methods to support scientific data investigation on the ground, inform spacecraft operations teams in a…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5e86a26cce1fcf04&fccid=0b4439b9e8944c36&vjs=3
Virtual HBO Max Data Science Intern – Summer 2021,,Turner,"Burbank, CA",Remote,4.0,"Familiar with a variety of machine learning and/or deep learning techniques.
The HBO Max Data Science team is responsible for designing and executing end-to-end…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=be2961e32aba0125&fccid=92b6ad9b1bd886b6&vjs=3
