job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Farm Credit Mid-America,"Louisville, KY",,3.8,"This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example),…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmP-UPglFxpl-lLyJD_bJsRxWqPG3U5WRtSsera4aqgva87VeFBLklkQpbEaZ5t5H6xyCNVZy6wGZUPL3S0eoaWSvrHzRPVd9b3qUxW8Qc93FwhGmGleH5sWO60o_KREp2RH5fR-E_LP8ds-SXCBbv-K2InTgnhEdYabKYB_8GJYkqu-jQhYO_Eenhl_o4sXFWxKqyRYcsSXBxoWhlcVCktv0Ej6lyly3-0DFicQolvP6zOImFAv5mITkIFoQSINx9KV9BV05NmdmfAVJ1gAWPnT7aHKJTvR0fQVN11x5Vu2pEBNCgPjlGOmKKu8lkw085t8QEt5OfTN4X-3xMHGDY9x0fk4O9tNi48TveykDLI3nHcmcBa70Z535nXSzRvJ4M6KL4FmD8f6KFkfww7azUKC0BpvWyu4S0UdO0XPO7sZFOd5YA4vjrKJZrg4nNuE822Zv6X_Zh2g_B6pm_0U8e_ghcf9PBu3LYgn-GCKnrn4twvGY4W2g_bDChn-rti7xF1m5OxOjP6qh_cguFOibrZeMwd3GVfB6cJre1CHZiPBCcGiLwl50cYcnFfMkG2D7y19nRMWwR000zKeN2D0Nsta-dH5UqO8VtZMAxTQ6mEYd4zetzaAr78_bJmqL5iYt3Pz1R5diFUqoTKWwOvTQXzBme39ZvQpqQCJwxcF6jsldaq4iLJoEg_w6c_vESR8HTdp57THIy1L_pctGC-G0UhpG20Z5Yykoz7p6edMAOViIjEIc8vkWN_vE2bMTnZeV2QJDNcK-uUwOstxxTlgKNsXPu8YIheqKSbDeqI4lAAgkMAEFLEO5Snpc7twzYkcuPicNV3djvECIN85akC6a2a1z3L-T8XGQPXUPerV600rY0FqkA3AwkEg6Y_pK7H-l7UfETbFegog==&p=0&fvj=0&vjs=3
Senior Data Scientist,,Brown-Forman,"Louisville, KY",,3.8,Ability to leverage multiple sources of data and advanced tools to develop directive analytics which includes strong visualization of the data.,8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsfKXbdvkYo4dG0a1F4TXM8ut_4X9gAeW2b4n5B1XtZbTM_qGZsyWoto2jt73RsMNF8KZO1aWTtzyUVwvyzN7Cj42_-v7wbtqPQG1aqiApj_766-bBODfEpUY11Vpw38Z8IpT8SiXhSAFjKfqIfmoMXa4RWOI_eKvDZuk4MgaBK7zuqoQh7Be22dt8ptjmBwolhjqlwm37rlYM6kTTKhBfAJjiUrtgPzaRvxP81Y8-F4cDq9rq8oOQvrY2pz7F43xwzoxpeH6_9SrqKJH71MwNfV4px3DjLuLiIPM1cQcd_OH6k53q2-ybhz-gifXgC1Jm3URzYAP4ZbUcY9E-nOmYMo6Tnxp6m8ZGW2sRGnjN9Phaws51MRtSmz5e24cZBNAsB-LeoZkbzhGlQ1rOUn3jJp9ovSJVg7eyIDozeAsWLvETXAkghIkPhc4dFOat8Q8MwdJHv7xVLV565fpJhkaVeGSTEszHuR82S876LuyxPvswe108rdZZDTD6fQqV753L-zli_2KqkPWzhHfwubJJX9Ehsbk-2g4xTsvbVByclasiX9gXVYoyUamS8Cu3AYMFoF-GNKDFpA==&p=1&fvj=0&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrKrgHV602YZAu3jgzVJ4TLB26bVQosvYYOo-VUJ3RtqGYnq7tfLJEpWhs9fON4qnvVhsnC_aOY4lQWNQTwRCPCK5yyXe8epZ5k_Gt_gvF2FzulVcz2dbjdLSlLwJ-BYxSAnhUYLRyQjzB3NXMAY37zPjMAXaRDgYDgAv4FqRvzJOhd3qgik7_VxJevoCyDQr7ttf0I0I-os0WJXmhPLzloDWgFEhL5Xg6CXeDAkWJUxmjpf16jv7sI6O7qA45x01Y9ehMU4zgEBKDadUYRe_YMAJt1PfR0X5Q&p=2&fvj=1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Louisville, KY",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=afe437195c1c169c&fccid=9e215d88a6b33622&vjs=3
Data Scientist,"$130,000 - $150,000 a year",nFUZION,"Louisville, KY",Temporarily remote,4.0,"This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example),…",30+ days ago,2021-01-15,https://www.indeed.com/company/nFUZION/jobs/Data-Scientist-ad2570af5a2475f4?fccid=7deb9215a31972a8&vjs=3
Lead Data Scientist,,Humana,"Louisville, KY",,3.7,"Duties: Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dcb5ba5e91d3a7a8&fccid=5f1f0e6dcc6cbc83&vjs=3
Senior Data Scientist- Consumer Analytics,,Humana,"Louisville, KY",,3.7,"With the intention of launching the program nationwide, there will be a focus on scalability of the data and analytics as well as advanced machine learning…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc5a3812ebc7d211&fccid=5f1f0e6dcc6cbc83&vjs=3
Data Science & Analytics Specialist,,Hogan Lovells,"Louisville, KY",,3.7,"Analyse and interpret large volumes of data to show trends and create recommendations.
Apply machine learning and statistical techniques, including regression…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=02aac68e475607c5&fccid=c7cc9584ffad93f9&vjs=3
Senior Data Scientist,,Humana,"Louisville, KY",,3.7,"Bachelor's Degree and 5 years of applicable experience OR Master's Degree and 3 or more years of experience.
Ability to make decisions on moderately complex to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e86883e0617797a&fccid=5f1f0e6dcc6cbc83&vjs=3
SAS Data Scientist,,Epace Technology,"Louisville, KY",,,"This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example),…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=82e3526dad4e78e4&fccid=28cf12cd52776c04&vjs=3
