job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist - All Levels,,FedEx Services,"Collierville, TN",Remote,3.9,"Duties for this role include but not limited to: provide enterprise level analytics related to vast quantities of data (including disparate data), enterprise…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fd5ac94335d067c8&fccid=2ae04b97d8829e58&vjs=3
Data Scientist,,Buckman,"Memphis, TN",,4.2,"Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27142ba82cf0391e&fccid=cc8e6e4f1597a7a8&vjs=3
Intern Data Science /Analytics,,FedEx Services,"Memphis, TN",,3.9,"Information technology data collection, organization, integration, data cleansing, data quality assessment, and using analytics for data assessment.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f8c0ab47f8f73b2a&fccid=2ae04b97d8829e58&vjs=3
Sr. Pricing Analyst,,FedEx Services,"Memphis, TN",,3.9,"One (1) year of experience or coursework with fourth-generation programming languages (like unix, sql, sas or c), relational database management systems (like…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75985be0be4af335&fccid=2ae04b97d8829e58&vjs=3
Senior Data Analyst,,VMLY&R,"Memphis, TN",,3.9,You will help analyze available data to determine the appropriate next steps for providing the most relevant information to stakeholders for business and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a62d01c60b9c65a7&fccid=3001b6ad1dad0a92&vjs=3
"Senior Data Analyst, Warehouse Operations",,Helen of Troy,"Southaven, MS",,3.4,"Develop slotting plans, space needs at both warehouses to enable Operations to position the product that will positively impact order fulfillment.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c06dc12525c48346&fccid=6ff64ca2c1146e61&vjs=3
Sr. Pricing Advisor,,FedEx Services,"Memphis, TN",,3.9,"Special requirements are: Master’s degree in mathematics, statistics, computer science, engineering, operations research, economics, finance or other…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d3d9465f6ee82438&fccid=2ae04b97d8829e58&vjs=3
Data Science Analyst,,St. Jude Children's Research Hospital,"Memphis, TN",,4.5,Managing the design and execution of dynamic country and project dashboards to inform health systems strengthening project needs and successes.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c37c992581fcca16&fccid=f74a75b45328cae2&vjs=3
Staff Scientist (Machine Learning Single-Molecule Center),,St. Jude Children's Research Hospital,"Memphis, TN",,4.5,"Design and implement new machine learning and deep learning algorithms for the analysis of single molecule time series data, including maximum likelihood and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27cad81e50caca7f&fccid=f74a75b45328cae2&vjs=3
Lead Financial Analyst - Artificial Intelligence Strategic Growth Offering (AI SGO) Finance & Investment,,Deloitte,"Memphis, TN",Temporarily remote,4.0,"Strong project management and organization skills, ability to manage/ execute multiple strategic initiatives.
Business Case & Overall Results Management.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=df531d0924983f5e&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrq5Kk5mT6FDDd7iHoJyxEb-QX4gBvdYyrHJEB-LiBCqcBCiE88AwepwJhUUytYjYvFHEHwJd1RZSElkM3PKOYV32lQ3wNggJ97PNY_VXCNuluxgdmLgK_pCU3EpXjJpOW4N-lRs2vSTxsR31XdxINBe-Beio1U-p-Qo8-1mBz61gXb-MuLkcDhP-lrjOHa_vdYIKO7wSzz3ZkCTssp128D_poU-8npo2Dv9EyeqeKD-fxX26DA2ZEWFpiXp-LqCxT6oazGG9Fx2galEuZ5L9uxYOZjqNstKXf&p=10&fvj=1&vjs=3
Pricing Analyst,,FedEx Services,"Memphis, TN",,3.9,"Coordinate development of project plans and timelines with other team members throughout the world.
Utilize customers’ current shipping data and available…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=953becda887e1c74&fccid=2ae04b97d8829e58&vjs=3
