job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
FCC Data Scientist,,BankUnited,"Miami Lakes, FL",,3.7,"At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUY_ubqJNwV1HvMpVGbSErv9znY6OaFChsNPHPFkuWJXdQKNey0Vjx99U4YFCV8jKUcDlyb38lvOOVx_yrIkqm36kdp2OLNa4JqxGGMNzIDB_6UMKVaIvodPIVmm7bcnMwUGfctZnuF-HtK4L3fFD9XZ9gMMUQLPOT4anCnzNkyLitUGw7QP6w7GXH86s12jGlDVytEuYU61u5u9x5Rpe_grbcDGbOnA0Wiu6tstvZvmPYJer2_vyCzeJwVr4-feoFeODZpUCK5L0z9bML3r6sKpTthRM-9k1xC5BBDYvHoGf5idTV6TGZGLIO2NyHadSQwg1q85YoLOZ7MkZMkOtsQOlUGhuCJYTKwMo7HPpPpPUGPHHQJhL-OoN5AYae2RuQVe9vwSTgpIL5eyioOgDxmwyXy8NYnV4CAHjXXLfmZ8f8DcqLtQ9qUaBENpz8XIkFOkdtCc-58Sv-mke0Kbgi69jLWDART9Ntf4wLRsym6T7mdrERJjqMvqGtw6_rL-ti4EdXOWJ6TQaxeb2sVTIY0Zvb72P_fvV3v-P9_Xh1yw==&p=0&fvj=0&vjs=3
Associate Data Scientist,,NextEra Energy,"Miami, FL",,3.9,"Employees in this role use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=673e1f3a7ae84972&fccid=ee1723cae957f03e&vjs=3
Data Science Position [various levels],,Royal Caribbean Cruises Ltd.,"Miami, FL",,4.2,"Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c1e25c2a62ad064f&fccid=fa65a3fcc2b211c1&vjs=3
Data Scientist,,Excel Impact,"North Miami, FL",,,"Minimum of 3 year of data analytics experience.
Minimum of 6 years of data science / machine learning experience is required.",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c9a5ca3f64fdfc0a&fccid=33729ea3607d755a&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrd1i2j855swC3fy0zouQGtQV5uB1XkUcLSJ94fqJirEC4cbfzD4goAvTdqpYIU8kgW5zL9lKBSvKOOjUzORuGKEba3u3-iASf6HM98--4HW0NyaCUKL7uPW62XezfUooJaoX9QNHzdC1SrQ05hsBYJnoXOcDRr_mpYc9gj0xIRsD34WMQrGfY1Yh1A3jK31PbOqGsY6NQ7k3USxDGA0sH7BSP36pL3gsn8xJ0fUMeO1WYdv7AkhldSrifa3oFHSdjA-TmprbosWfCqqLCy3GxPopmkkp8pR5v&p=4&fvj=1&vjs=3
Cloud Data Services Associate,,PRICE WATERHOUSE COOPERS,"Miami, FL",,4.0,"Hardware: sensors, robotics ,Raspberry Pis, GPU enabled machine learning, FPGAs, etc;
Creating end-to-end technology prototypes and/or machine learning models…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d5fdec2759b4bb9&fccid=5e964c4afc56b180&vjs=3
Data Scientist,,777 Partners,"Miami, FL",,3.7,"The Data Scientist will focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=600e619fe702934c&fccid=507c7a08b38f4720&vjs=3
Senior Data Scientist,,CreditNinja,"Miami, FL",,,The hire will focus on building machine learning models and running exploratory data analysis to make a direct impact in a data-driven company.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=17eb979a3e01ca81&fccid=1dab4c8ea57f7279&vjs=3
Head of Data Science,,REEF,"Miami, FL",,3.3,"Build and hire a team of data product manager, data scientists and ML engineers that will build lasting solutions.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=54ab8710025fd39d&fccid=7aceedc6cd872b57&vjs=3
Senior Data Scientist - Visa Predictive Models,,Visa,"Miami, FL",,3.9,Responsibilities include projects on time and within scope with an in-depth knowledge of big data and cutting edge data mining techniques as well as the use of…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=95d7666484e6205a&fccid=a3f737e511d9fc8c&vjs=3
AI specialist,,Fresko,"Miami, FL",Remote,,"Strong background in deep learning and serious understanding of state-of-the-art DL / DRL techniques.
Experience with deep learning-based product development.",5 days ago,2021-01-15,https://www.indeed.com/company/Fresko/jobs/Ai-Specialist-0008f6504ce3f1b5?fccid=95201c0c4a4a67e2&vjs=3
"Lead, Data Scientist",,Royal Caribbean Cruises Ltd.,"Miami, FL",,4.2,The position demands an inquisitive individual who can direct a team of other data scientists and machine learning professionals to deliver.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e0f88fae4e0f0b4&fccid=fa65a3fcc2b211c1&vjs=3
Data Scientist,,Sabal Tech,"Fort Lauderdale, FL",,,"Ability to structure data for business use case visualizations.
5+ years hands-on experience with relevant technology.
AWS, GCP, Azure ecosystems or similar.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40ecefa8f8e01972&fccid=c33fdc15cbce939d&vjs=3
