job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrZHicNCdB-yulzn2md0yx8ajoexQpOaP16ocXg0l5DLfF2mIlyrkTZTmDUL0Hu1pUOYwmy1TxsV6A7RcO5orNwRC-Qy0bwmo4DtenYlyO6EGFcsdZZTGg5e4UQz5PHW7tIknbMdVs-fu0oSQHqs2DseJYZNs2-TmNm15Fw7h8T-6hgrn7A_9f_QfFFvoggDQTle1AHW7I92NUZtwvw9KBv3Ip0oEdKS745wd7Lhn7yDUFIo7iDyTD6Qf4AVXGqiEEYeNfzq_qRnjLzKuMl_d_mYqH1DJtwZy9&p=0&fvj=1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Milwaukee, WI",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f56e74271230baf1&fccid=9e215d88a6b33622&vjs=3
Data Scientist - Sr. Data Scientist,,FedEx Ground Careers US,"Brookfield, WI",,3.4,"Employs scientific methods and data-discovery tools to find new patterns, insights and relationships in big data; extracts meaningful information from multiple…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d8f418c698bbbaae&fccid=08ff885501822d01&vjs=3
Data Scientist,,Children's Hospital of Wisconsin,"Milwaukee, WI",Temporarily remote,4.2,Advanced analytics experience involving data mining and building models with a statistical understanding of underlying algorithms and processes.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=39b6c583d2d89fed&fccid=208b7f57f55bab88&vjs=3
Data Engineer I,,Associated Bank,"Milwaukee, WI",,3.4,"The role will ensure proper handoffs to the DataOps team to ensure proper support and maintainability, as well as be available for support remediation and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=194807c624e93727&fccid=c0386215ca040126&vjs=3
Data Mining Specialist,Up to $17 an hour,Chipton-Ross,"Wauwatosa, WI",,3.9,"Enter data found in Salesforce on Excel worksheet.
Job Requirements: Basic Excel skills, experience with Salesforce and Microsoft Teams preferred.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f6c50ae604ff62af&fccid=aadbf23bc2658e2b&vjs=3
Data Analyst Sr Clinical Specialist,,Advocate Aurora Health,"Milwaukee, WI",,3.4,"Performs data collection relating to clinical specialty patients using appropriate data collection forms and computer software.
Mon - Fri day shift; flexible.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d66c7f3fe5501fa&fccid=e676e89a7895f46c&vjs=3
Data Science Application Engineer,,MGIC,"Milwaukee, WI",,4.1,As a Data Science Application Engineer you will be a member of our Finance Department working to build and refine a strategy for a state-of-the-art data and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=accdb4845e2c7a69&fccid=a3add656b74642f9&vjs=3
BUSINESS INTELLIGENCE AND DATA SCIENCE ENGINEER,,Continuus Technologies,"Milwaukee, WI",,,"Using innovative platforms, like Alteryx and Tableau, analysts will help empower our clients by preparing and visualizing data to drive decision-making.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a24512e9bb2fe597&fccid=e4cd2055694e8303&vjs=3
Data Science & Analytics – Program Management Internship,,Northwestern Mutual,"Milwaukee, WI",,3.8,"Assist and manage follow up tasks pertaining to sprint planning, stakeholder meetings, internal project teams and report outs.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0e55ffafb41d376&fccid=f2cbb7715eae48aa&vjs=3
