job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
RETAINED - Senior Data Scientist (Minnesota/Remote #50100),"$80,000 - $130,000 a year",DW Simpson Global Actuarial Recruitment,"Minneapolis, MN",Remote,4.5,"Able to explore complex data sets.
Experience leading analytics projects and pricing models.
4 or more years of relevant professional experience.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BduuV9Tv6ab54IQv6GxM7507SmwM2yOtS3cJbUGvJ9GNavR_LZbi8n4XQVfEgOs58nVNmprCJKxUOcVmD2NqjHYUg0zJdJNN0LOemW5MeNSqQDXu_krEXQXpFHw8mxke0unFsSHNeiW3nQiJSZqAvOEhNnU3ZnOzoRxZ4eGWC03dygGT2n9IEYnnbWNmTI0lcfa0BAQ4JW59fbPSLNcR4FLp_Cs46buXI9LWJSRFGjWCb0JQ_5rwGjV1pATe6j-L5pSQDYTh9MEBUFlIEaXfUsfFcS8NRZMlBsMdx9jQNJ0jTG6fDXtPSD7k9EkTtuyNqtXlm2QQoYqy1CjOlNtDeXmnbnXDx6F0bg03sxh4P7m1hpNz0Nju9Rk3Fc7-A7svbSbhgqM_08uTdvZLB5U7CUKZ_UQsBVbZTIOupDgs7EMD1cbIRom7ZgTCXHhXycS9Z6OULovMRt2e437ggzCG2XYm0JdSldpGbqUTgIRFWeSmK--MrsLcHIvzjAyLSPwuk=&p=0&fvj=1&vjs=3
Data Scientist,,TARGET,"Minneapolis, MN",,3.6,"This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning…",5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6e7eb25d227e413&fccid=15f43d82dc901ff2&vjs=3
Clinical Data Scientist (Minneapolis or Remote),,Be The Match,"Minneapolis, MN",Remote,4.0,"Responsibilities include performing scientific research and statistical analyses, applying machine learning methods and developing advanced tools and models…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81400721598742a3&fccid=bd5a8cffa75f64b0&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Minneapolis, MN",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b5e32924090cb7ed&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Enable Data,"Minneapolis, MN",,,"Data scientists often working in a fast-paced multidisciplinary environment so need the ability to autonomously to develop and query databases, perform analysis…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=224e9b10e2dcb14b&fccid=0ff890d2b9eda516&vjs=3
Data Scientist,,Lexis Nexis / Reed Elsevier Technology,"Minneapolis, MN",,,"Assemble, merge and parse large amounts of data to detect meaningful trends and patterns.
You would be expected to have a firm understanding of data mining,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?cmp=Lexis-Nexis-%2F-Reed-Elsevier-Technology&ti=Data+Scientist&jk=12d5681e23289554&fccid=1c368f972604453e&vjs=3
Data Scientist,,RELX Group,"Minneapolis, MN",,4.1,"Assemble, merge and parse large amounts of data to detect meaningful trends and patterns.
You would be expected to have a firm understanding of data mining,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a47cead94710561f&fccid=06206ab329e0eb22&vjs=3
Data Scientist,,Performix,"Minneapolis, MN",,4.8,Develops Artificial Intelligence and Data Science solutions using algorithmic and quantitative methods to meet the predictive analytics needs of the…,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=96545c9dd85014a5&fccid=eda0e4b7a6d34320&vjs=3
Sr. Data Scientist,,General Mills,"Minneapolis, MN",Remote,3.9,"Comfortable in basic statistical analysis, modeling, clustering, and data mining techniques to identify trends and insights.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a8677c2da12016d1&fccid=3bcf7eb192e678e4&vjs=3
Data Scientist,,C.H. Robinson,"Eden Prairie, MN",Temporarily remote,3.4,"Demonstrated having conducted deep research into a targeted subject area.
2+ years of experience in advanced analytics, machine learning and/or data science or…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=832a8c90fc6b3124&fccid=090a7d416d718609&vjs=3
Data Scientist,$39 - $48 an hour,MGMT3D,"Bloomington, MN",Temporarily remote,,"Demonstrated experience applying data science methods to real-world data problems.
2+ years’ recent experience applying data science methods in B2B setting.",4 days ago,2021-01-15,https://www.indeed.com/company/SAY-Group/jobs/Data-Scientist-76b2408dbfe4e411?fccid=6ae0f7b7f37cc04d&vjs=3
