job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Siemens,"Orlando, FL",,4.0,"Knowledge and experience in the application of relevant technologies, e.g. in machine learning, cognitive automation, analytics, chatbots, natural language…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a1ef106003f7eaeb&fccid=3b89b9ec324f96c8&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Orlando, FL",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99433d57a050289a&fccid=fe2d21eef233e94a&vjs=3
Sr Data Scientist (Big Data),,Deloitte,"Lake Mary, FL",,4.0,Maintain technical knowledge within industry and service line and leverage deep subject matter knowledge on engagements.,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c22c14fed1b5ba37&fccid=9e215d88a6b33622&vjs=3
Intern – Data Science / Analyst,,FARO Technologies,"Lake Mary, FL",,3.4,"Junior / Senior or Pursing a master’s degree in data analytics, statistics, computer science or related degree.
MATLAB and/or data manipulation/analysis.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88e4b5dd528e11f0&fccid=e817a7f732b4c1ed&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr_LJ1O92mnLuYdlN62AFcBFucxHAO4kDdBL45Tswrm3Omy11EkVnJj2CXpIxx5eeoVryJKkvIE0HdZCxQSPBLOGZa1rw_FRGOJTvdPfpWleMBuRrg-FwMF4T29ZfzR1-73O_I-yOz3x7HdvVwqo7FO4kHtvtM8bAsmQY4YslDIVFZ45L3S4XVjMUOjzmzfNgdxCocva5towUk1FN_V8rC32fDszpEeYaRenKePvKGWDwLlCEEXl0_R8DrQeO9r9pvVbKKSY5p9_sxWqCAGiUoDi-r9_QI99eo&p=4&fvj=1&vjs=3
"Data Scientist, Intelligent Solutions",,"Mitsubishi Power Americas, Inc.","Orlando, FL",,,Lead the development of clean sheet design approach to new and existing ideas for emerging technology and data analytics schemes applied to Industrial Gas…,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f677e5d9ed0b8fc1&fccid=b644668bff357ed5&vjs=3
Data Scientist - Risk,,LSQ,"Orlando, FL",,,"A data science framework for optimal data acquisition, model training and deployment.
A toolkit of modern data science techniques.
This is a full-time position.",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88b2dcb18fb5b97e&fccid=f2dc975a476d92dd&vjs=3
Lidar Data Scientist,,Luminar,"Orlando, FL",,,"Analyze and process 3D point cloud data, which includes not only basic tasks such as extracting regions of interest, extracting targets in the scene based upon…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d7f0270725f5436&fccid=63222d10a2ac73c3&vjs=3
Data Scientist,,LOCKHEED MARTIN CORPORATION,"Orlando, FL",,4.0,Data Integration Pipelines to handle large volume of data for data science and machine learning purposes in a data lake environment.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=90ac8f03ac8100ed&fccid=aeb15e43a6800b9d&vjs=3
Deloitte Advisory GPS Data Scientist,,Deloitte,"Lake Mary, FL",,4.0,"Hands-on development experience of AI and machine learning models, packages, or COTS tools, with corresponding model risk management and governance of AI and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e225e22c022ada4&fccid=9e215d88a6b33622&vjs=3
Data Scientist (Lake Nona-FL),,The Ames Companies,"Orlando, FL",,3.3,"Management of a data analytics team.
Utilize the application of statistical tools, machine learning, programming, data modeling, simulation, and advanced…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d22f46afde430a08&fccid=f6ab40efd304d702&vjs=3
Intern – Machine Learning / AI,,FARO Technologies,"Lake Mary, FL",,3.4,"As a Machine Learning / AI Intern , you will be designing, developing, and maintaining the machine learning infrastructure that powers the FARO laser tracker .",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=08d912063694c362&fccid=e817a7f732b4c1ed&vjs=3
