job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrwV_F-6-lmjXoujzutXPlVAvyzPXzXBEiR2aHpAAhc-xrv1-zZiPyk16HLMc8gZkBaR4G5oBF9FVcAZvfDk1B81PgDrm2_0W88eUJMtWgINv_PIIo7zb5oBp33yc_6dOSzQC_vvimw-DB5KN_nAFaf4b9vJUGYCqd1u0E5c2zZNFoWwK3L_KJU_0ZBt96zdoXy3rNzCMKFODrDEIXQW-u1iMII4T-i1zUIPiH5J8Q0uXP7AX3fYUSyx1aBw4-M6syLTx9KZ2HPkMiKx7DY_QO3LjB9yBex4W8&p=0&fvj=1&vjs=3
"Data Scientist, Account Management Automation",,Square,"Phoenix, AZ",,3.6,"As a Data Scientist on the AM Automation team, you will use engineering, analytics, and machine learning to drive insights and decision-making for the Account…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f5dbf5a3c614ded1&fccid=09abad886b83c501&vjs=3
Data Scientist Graduate Intern,,Intel,"Phoenix, AZ",,4.1,"Exposure and experience with machine learning - specifically deep networks.
Relevant research background in time series analysis, big data analytics, algorithms…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4926c027f3a92951&fccid=f1374be6a45f4b8a&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Phoenix, AZ",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04e93b75a5ca54d4&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Infosys Limited,"Phoenix, AZ",,3.9,"You will create detailed design artifacts like program specifications, test plans; and independently develop and review code and contribute to the go-live plan.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dfe64686953a0259&fccid=c67533a523c83a4c&vjs=3
Associate Data Scientist,,Impetus Technologies,"Phoenix, AZ",,4.1,"Master degree in business analytics will be accepted in lieu of experience.
Mine and analyze data, develop technology roadmap, implement workflow technologies,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a57421b1158f548&fccid=b229e5604b8c67d7&vjs=3
DATA SCIENTIST,,GRANT THORNTON,"Phoenix, AZ",,3.7,"We give clients creative, cost-effective solutions that enhance their acquisition, financial, human capital, information technology, data analytics, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=01dcd3090fd0d96b&fccid=7ac82fceed64aa81&vjs=3
Data Science Internship,,"DriveTime Automotive Group, Inc.","Tempe, AZ",,3.3,"Participate in a volunteer project with the local community.
Gain a deeper understanding of our business model and where you fit in via local site tours and…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=24edb17be3b01cc4&fccid=cf94dd0699579ae3&vjs=3
"Data Scientist, Customer Trust",,Amazon.com Services LLC,"Tempe, AZ",,3.6,"Experience applying various machine learning techniques, and understanding the key parameters that affect their performance.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b213fd7e7e1e1f39&fccid=fe2d21eef233e94a&vjs=3
Data Scientist III,,Banner Health,"Phoenix, AZ",,3.7,"Knowledge of subject matters such as process optimization, clinical workflows, population health, public health, disease prediction, re-admissions, imaging…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e62b430df38a82c0&fccid=f54837e1fe3c9a9b&vjs=3
