job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrRm7h-NXj9EShJ1VLEtjJxFMkZ_mH_cFbFLZL7t7mlfuHZxzilDOfrqs56ycbz1Z6CEZAttqLSeurlK3Qiz5OSspUkjSFqDQ02JPIYCwUQKfJRCORDPwdVf7gTH0eknsIDWkmQ2khzt7YOXXZzaCTUMpVnGUPoNHV_GuK8IGO-3Q1f6ZBCoCveZ5gRe-8LwZwGKM4gONTWCTzDd1-d0AgkRWkcue9sijr2plswZ9mYvpAOZVQJNQQteLYqJM4NsOSxJ3tL-yIdUIXup-REBEBBAIrVUQEW1bZ&p=0&fvj=1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Pittsburgh, PA",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76092dd4a5c3b84a&fccid=9e215d88a6b33622&vjs=3
"Data Scientist, Intern",,Duolingo,"Pittsburgh, PA",,4.7,"Derive insights from data to influence product roadmaps and drive business results.
Experience articulating business questions and using available data to find…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e82986b44c7e00fe&fccid=1d7146bd38091a7a&vjs=3
NLP Data Scientist,,Amazon.com Services LLC,"Pittsburgh, PA",,3.6,"Design and implement software to collect, analyze and prepare large natural language data sets.
Drive data science and NLP exploration and innovation for MT…",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb6e48cc110e7b39&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,Fortive Corporate,"Pittsburgh, PA",,3.3,"Experience with creating complex data sets (SQL), data modeling and reporting.
Deep interest and aptitude in data, metrics, analysis and trends.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f4073964171daca1&fccid=0ab42c4503235145&vjs=3
Data Scientist,,Highmark Health,"Pittsburgh, PA",,3.2,"Research self- directed new analytical skills and approaches, building relationships internally and externally to transfer knowledge and maintain their position…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f559a0c3b0040846&fccid=05de1bb29b7bb370&vjs=3
Data Scientist # JN -122020-58281,,SSI,"Pittsburgh, PA",,3.7,"Building application layers, moving data from SAS to Python, then moving into Spark.
Data analysis using data science toolkits such as Python, SPARK, Tableau,…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f9e0f6efe0f5b2a2&fccid=3322122de9faaef8&vjs=3
Data Scientist,,Govini,"Pittsburgh, PA",,2.5,"Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",18 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b5e6e38522e96fa9&fccid=932bcab1f7ee18f8&vjs=3
Senior Data Analyst,$40 - $55 an hour,Systems Inc,"Pittsburgh, PA",Remote,3.0,"Ensures data integrity and compliance by performing data cleansing, data audit and/or data validation.
Provides business process, system support and data…",1 day ago,2021-01-15,https://www.indeed.com/company/SYSTEMS-INC/jobs/Senior-Data-Analyst-0efa4283233b9e37?fccid=30ec95f249fece83&vjs=3
Data Scientist or Senior Data Scientist,,Federated Hermes,"Pittsburgh, PA",Temporarily remote,,"Bachelor’s Degree in data science, machine learning, computer science, applied mathematics, statistics, and/or related advanced analytics field, Master’s Degree…",30+ days ago,2021-01-15,https://www.indeed.com/company/Federated-Hermes/jobs/Data-Scientist-or-Senior-Data-Scientist-f161cbba36b2527a?fccid=de75fea91e79d4d2&vjs=3
Data Analyst,,"Othot, Inc.","Pittsburgh, PA",,,"Integrate data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as needed.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e67ca16e0f326c82&fccid=503cb05e7675e46f&vjs=3
