job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,"Trimark Associates, Inc.","Folsom, CA",,3.6,"The primary focus of this role will be in applying data mining and machine learning techniques, performing statistical analysis, and building high quality data…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CwbONruixfV1Evbx7FWz40660Jtq6oh6rtikGbAIKngeHl97IU8OzRNgopG4QwyXF6QBxgwczHrPxRFVZEp69jrIxUd2bGlZDX7WAaeNPICPZIiGnY63zm1SfZx70zjczsA6HdAchBrmRN9LAwMwIRhbl2hx909xbVP4wSNPKClCFMSQW8HBsQrE36D5cnvOxpTY2IuB_W6ElIVy5Q4zBhtBYNFeLYVlyQvBYLJj8_gMAhUzsYPq9hhjuS3AMobAVcO71VcULFuNXEL1Dr-8copoOx2Mf3WRJdziCXZAoNzk-KeMAGetceo7BqsR-dlWfTGIqqVjhQvHhB0I7AYdod_UUycpjCCXo_HE64dqT-wMop67B4Cv_6vssnrjZbH3pRPWfF2ZalW9Xk5VlIj1lpmij4IGZF5z00HdyLih2a0zclLEo7Da3yl6sUVh06tqM7lO7q5Qxo29K5uMTXvCIm&p=0&fvj=1&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr-F2iqwwKwwFlYsQIvxQ-w_NEfyHVTT98JMqEfDK51NUR_3rpAMKmKKP8mCCTrUYxOhwNSIeZfN7a3_okaCnqSNfxFdnJCy_U9kFo819zzgwrpYb7fivSjzdy7IJnhLJ2ZtOfHOlNwSY2X9fSeXcV9nnhpGplhLI7AeIJjNJYItAyeHRWhu92-K6pgDXTJsz1wQhq9kSqF93yfbJcOZ1RVpiRyynFn9L2xgokPizfcfL6nrW4UGsWTxV_P0DWJOuQ_vE081KuAoqLXm2_pq1hZSKFuM-8zTuS&p=1&fvj=1&vjs=3
Computer Vision / Machine learning Engineer,,MyHHub,"Folsom, CA",,,"Build machine (deep) learning framework to train various models for xray.
Experience in machine learning and deep learning SDK.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfDlEmvWNorRYUy7kKEQniVgrSiyyGcOzkcAG5lEOtWYmXhsjLkhXHD3u_1sP4BRoK5uc0ar9X9LK1z4YVR5x83HpoT_9o5h9iOGX-phQ4QnC3CLFAYiRK-ifOsInuU7T5Y1AYPPAXjDgklJUdJNycEZsuHJrG6uRBap2S5vQpOwL70mIyGtiZkSHlIvZUfVSeAXVMaxX3lVcOdnszMFEQvLB5yR7Mlv6vxR7O9US0CNyYiVhP0uKa68BySFwv4E4WuWUi0qPzs1WdKbaAKI8Y2qCbT1eDNOCq5tzAmV6WhrDVSfI848rxJc7EKUL7WR4-XMXkDmFMU8lVCl3K-MvYN_wCZzBB6XRHbeZGl-9-fQ8Dd4RhA-ml1yNOUf_KIQa2SMqbjLw0YimDKSehxGV4JKhcCCFDQKPiXATUhkayJU87ukSR4L7xoPiljN7UTn7j5u9D5tbxdtMjJ5cZFv9rTqHwAAwgfy4=&p=2&fvj=1&vjs=3
Intern - Data Science,,Micron,"Folsom, CA",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=604e5fa969699dfa&fccid=be240c643a8631c5&vjs=3
Sr. Data Analyst,"$83,211 - $109,000 a year",SunSystem Technology,"Rancho Cordova, CA",Temporarily remote,3.3,"3-5 years in applying advanced data analysis techniques to solve business problems.
Extract and analyze data, patterns, and related trends as needed, with the…",6 days ago,2021-01-15,https://www.indeed.com/company/SunSystem-Technology/jobs/Senior-Data-Analyst-ce2b990130f04b14?fccid=1d239e41a3d8099e&vjs=3
Senior Data Scientist,,Berkshire Hathaway Homestate Companies,"Sacramento, CA",,3.3,"Must be able to design, develop and test analytics using Deep Learning, Machine Learning, Data Mining, R, Python, Statistical Models, and other advanced…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7492937f17daf3fe&fccid=1e33e6f03dcc5e6e&vjs=3
Data Architect,,Berkshire Hathaway Homestate Companies,"Sacramento, CA",,3.3,"Wellness reimbursement for health club memberships and other health and mental wellness activities.
Defines governance and best practices around meta-data to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=604e8edcea426b84&fccid=1e33e6f03dcc5e6e&vjs=3
Statistician,"$112,320 a year",National Older Worker Career Center,"Sacramento, CA",,,"This position is responsible for designing, developing, and maintaining data analysis and estimation tools and providing methodological support to commodity…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c2929f3cd3f88925&fccid=2145b66315413c14&vjs=3
Machine Learning Engineer,,Cotocus,"Sacramento, CA",,,"We build innovative data products and machine learning solutions for Autodesk's sales teams.
In this critical role, you will work alongside product development,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3571a725836eea2e&fccid=67014df0f8d8ef3d&vjs=3
"Integrative Data Analytics Intern - 3 Month (Woodland, CA)",,Corteva Agriscience,"Woodland, CA",,3.8,The intern should be familiar with traditional machine learning and deep learning-based approaches for data analytics.,21 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f8646b8b2799a08b&fccid=d2536e400fa1f147&vjs=3
