job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Amazon.com Services LLC,"Seattle, WA",,3.6,Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2b4e0845f85b7a47&fccid=fe2d21eef233e94a&vjs=3
Data Scientist - Data Analytics,,Costco Wholesale,"Seattle, WA",,4.1,"This role is focused on advanced analytics, machine learning and data science delivery to support multiple business areas.
Exposure to the retail industry.",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=479ab76cc8d627da&fccid=9b77e2b0ccfb3838&vjs=3
Data Scientist,,Karat,"Seattle, WA",,3.0,"Strong data analysis and scientific thinking skills.
Our Data Scientists will work directly with engineers and leadership to extract key insights from our data…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c0f4d71d5060f484&fccid=2cbb6eb59d67005f&vjs=3
Senior Data Scientist,"$120,355 - $180,690 a year",iHerb,"Seattle, WA",Remote,3.4,"The Senior Data Scientist will join a team of data scientists, machine learning engineers, and software developers who work closely with business partners to…",1 day ago,2021-01-15,https://www.indeed.com/company/iHerb/jobs/Senior-Data-Scientist-e67272543ddbceef?fccid=fecfb28b9c693c96&vjs=3
"Data Scientist, Analytics-Remote Presence",,Facebook,"Bellevue, WA",Remote,4.2,There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe2305d701edbbe7&fccid=1639254ea84748b5&vjs=3
Data Scientist in Artificial Intelligence - Early Career,,Pacific Northwest National Laboratory,"Seattle, WA",,4.1,"Experience applying machine learning and artificial intelligence to domain specific applications, such as geospatial intelligence, natural language processing,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d28a4f4adf7ad48&fccid=5ac3fadc1f823e63&vjs=3
Data & Applied Scientist,,Microsoft,"Redmond, WA",,4.2,"The AI team within Customer Insights builds advanced machine learning models on transactional, behavioral and market data that powers these insights.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=1f04c3e8647df3e4&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,,Hitch Works,"Seattle, WA",,,"Especially experience with machine learning and text processing libraries.
Highly analytical and data driven mindset.
Motivated to work in cutting edge NLP.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8d4e8081cb0118ae&fccid=2a301430e15bebc7&vjs=3
Data Scientist – Mojang,,Microsoft,"Redmond, WA",,4.2,"Experience using and evaluating machine learning models on real-world data.
Deliver impactful insights in a fast-paced environment.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a1ec5dbd54be094f&fccid=734cb5a01ee60f80&vjs=3
Data Scientist - Intermediate,,Bayer,"Seattle, WA",,4.2,"In this position, you will leverage data science and deep learning skills to analyze complex agronomic data and build predictive models that are used by farmers…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b71170c475dbf3aa&fccid=e08122e0e993cc32&vjs=3
Data Scientist,,Innovative Edge Consulting,"Seattle, WA",,,Partnering with our Digital Analytics and Data Engineering teams to ensure robust and accurate data capture and continuous improvement of data available for…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99ba53096a9ce8a6&fccid=37fb9f925000e976&vjs=3
Associate Data Scientist,,PACCAR,"Renton, WA",,3.6,"Able to work with stakeholders from the Marketing department to develop new analytics solutions, identify necessary data, and support analytics best practices.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fa705245f2326e51&fccid=c2c6a7536e4d9df3&vjs=3
Data Scientist- Rides,,Uber,"Seattle, WA",,3.7,"Knowledge of underlying mathematical foundations of statistics, machine learning, optimization, economics, and analytics.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db72c387df5d4742&fccid=f766f8bfbc3effb7&vjs=3
Student Trainee (Data Science),$20.93 - $25.53 an hour,US Department of Health And Human Services,"Seattle, WA",Remote,4.1,"Bachelor's or higher degree in operations research, or at least 24 semester hours in a combination of operations research, mathematics, probability, statistics,…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=047dccdd80d67537&fccid=66c76b82e655d02f&vjs=3
Data Scientist,,Cambia Health Solutions,"Seattle, WA",,3.7,"Demonstrable knowledge of, and practical experience applying, data mining methodologies, natural language processing, machine learning algorithms (e.g.…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=da391913eb8a62ee&fccid=10b1f58e33d8d2a8&vjs=3
Machine Learning Data Associate II,,Amazon.com Services LLC,"Seattle, WA",,3.6,Perform annotation to monitor and train machine learning models for multiple products across the Customer Engagement Technology organization.,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=186107b051278f27&fccid=fe2d21eef233e94a&vjs=3
"Data Scientist, Machine Learning",,Zulily,"Seattle, WA",,3.2,3-5+ years’ experience developing applied machine learning or data science capabilities in consumer-facing and/or enterprise applications.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06e2afe09fe1ed84&fccid=1fea2a7d8e897821&vjs=3
Senior Data Scientist - Analytics,,Textio,"Seattle, WA",Remote,,"Enjoy discovering and articulating the narrative in a data set, using your skills of data exploration, scripting, statistical inference, modeling/machine…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=866cadaade167813&fccid=e0368d24cb0bc926&vjs=3
Data Analyst/Scientist,,Foverobrains,"Redmond, WA",Remote,,"Looking for a very straightforward data analyst/scientist to join the Xbox Gamepass team.
Strong SQL and experience w/ queries for large/multiple databases.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=0deaff5f5aee334e&fccid=dfec3946561b3bcb&vjs=3
Data Scientist - Seattle,,Envision LLC,"Seattle, WA",,3.3,"Demonstrated experience building predictive machine learning, simulation, and/or statistical models.
Experience translating scientific models into code.",6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A13XXEAKoVsy1UjAxA2tJa37vkRdGHJdX4gYp8IY3tTpc57ra18Z9sYJ3trAbN1b1bXcHfUQ1zOk2uyqjxKyZZk8ydtWUwhfgylcmE59fAwNUAgOeGGmy5M9ycbBPM4FIUQoY8bfewBc0okvRY8264DI8PqpVhjkeT1ZNsfRp-nNCdTX4IUMmGJoLZU_v5GMQKnmotvUgbchJpyc2ITYoW24N8WohzliUqGoGQhOYNACYKlrp_ZN9inDf6IYx5e211EqpKfRWF-3KB1T_jhGQeY4SI_BRx0dxDZUZ8bVVw9pGKNV__Ldjxl5bPwgBmapjX5yg04zxo4IxZuIMg0HCkv5GbK3lrvavGf9wg0C46mqNlw9qnPoJQs1-tS0TzsoHuBwIyfvX9fn9XB4jL930FsGM56NnP5dYhVsQQT5Cuqk8i2cox7MoI8K-1jH7S3EIZxzTGw-9mQg==&p=4&fvj=0&vjs=3
Data Scientist,,Blue Origin,"Kent, WA",,3.2,"Willingness to extend beyond core data science work to perform (data wrangling, data prep and data transfers).",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a7a9fb1a07626964&fccid=0f97f3c514b55d0d&vjs=3
Data Scientist - Intermediate,,Envision LLC,"Seattle, WA",,3.3,Experience applying statistical and/or machine learning modeling methods to high-resolution spatiotemporal datasets (preferred).,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A13XXEAKoVsy1UjAxA2tJa37vkRdGHJdX4gYp8IY3tTpc57ra18Z9sYJ3trAbN1b2KLTglU_FyFTQVtW-U_iSZoq1L4rrRiR-NGUHwSkZZYq3g1bI5U8Nmfh_fIhReI2zWFklLGrDD-vAsopbFfBSAMjRb8Wx8NN09gg0tXyFqBKQRwATV0QhkU9drHKPooFz1NQzCT-lodHx2D4hHnW4Tcurl6nlXG29kSRYBnfoZy5Tui7WWXgXLnAbwqFwFGdvPrCST5vwkJVo7yz__x2eS_MYb47S2Y_qyb-C4UWK6z_19lm5q-03hjaNkyO4PproOMoH4uVsi-9zdZrwVMN84eRSKK5-1-Glkd0t4Gu0UsuCEdSyFHBq--LlbOCATKPypeTYUza2OwHDEKfPHNmXAdpUM3VwBH1Yn82xITLnKwQAxgFsypceaawV_H8bPurVM5HZbl3tJ3WXvp35tiijW&p=6&fvj=0&vjs=3
"AI/ML - Data Scientist (Machine Learning & Natural Language), Siri Understanding",,Apple,"Seattle, WA",,4.2,"This is an unusual opportunity that sits at the cutting-edge of various disciplines such as data science and machine learning, and your work will have a huge…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=45e3a868621913a2&fccid=c1099851e9794854&vjs=3
Senior Machine Learning Data Scientist (remote option),"$95,000 - $150,000 a year","Noonum, Inc.","Seattle, WA",Remote,,"Use statistics, NLP and machine learning techniques to create scalable solutions for business problems.
Passion for technical and scientific excellence.",3 days ago,2021-01-15,https://www.indeed.com/company/Noonum/jobs/Senior-Machine-Learning-Data-Scientist-8dd45c7add251321?fccid=2bfca3b16eeb7353&vjs=3
Sr. Data Scientist,$38 - $48 an hour,Neal Analytics,"Redmond, WA",,3.0,"Prepare experimentation data sets by mining user behavior data, cleaning the data sets, labeling the data sets.
Job Types: Full-time, Contract.",10 days ago,2021-01-15,https://www.indeed.com/company/Neal-Analytics/jobs/Senior-Data-Scientist-7bd0af0d3f2ca3fc?fccid=a3bcc3a125bee804&vjs=3
Data Scientist,,In-Depth Genomics,"Bellevue, WA",,,Computational researchers with experience in genomics or other big data efforts are needed to develop and support our rare disease genomics program.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5fd1172a3c6241e8&fccid=4441a1e77a201111&vjs=3
Data Scientist,,Shelf Engine,"Seattle, WA",,,"Own the end-to-end experience with data, including querying, aggregation, deep analysis, visualization and models; presenting findings/actionable insights to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=26b8060469297f51&fccid=b2a2af633e1ddb72&vjs=3
"Senior Associate, Data Scientist Optimization",,KPMG,"Seattle, WA",,4.0,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0de956385b4cfae8&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,,NBCUniversal,"Seattle, WA",Remote,4.0,"6+ years experience as a data scientist or data analyst.
Experience with data visualization tools (e.g. Looker,.
Mastery of SQL and either R or Python.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3f5759ee098e925a&fccid=35d653c09c2712b6&vjs=3
Data Scientist,,Change Healthcare,"Seattle, WA",,3.0,"You will enjoy working with a highly talented and diverse team of data scientists specializing in deep learning, active learning, and classical machine learning…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=481f8bac9f8987c4&fccid=b1bd9b34a39d5dcd&vjs=3
"Senior Associate, Data Scientist Optimization",,KPMG,"Seattle, WA",,4.0,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0de956385b4cfae8&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,,NBCUniversal,"Seattle, WA",Remote,4.0,"6+ years experience as a data scientist or data analyst.
Experience with data visualization tools (e.g. Looker,.
Mastery of SQL and either R or Python.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3f5759ee098e925a&fccid=35d653c09c2712b6&vjs=3
Data Scientist,,Change Healthcare,"Seattle, WA",,3.0,"You will enjoy working with a highly talented and diverse team of data scientists specializing in deep learning, active learning, and classical machine learning…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=481f8bac9f8987c4&fccid=b1bd9b34a39d5dcd&vjs=3
Data Scientist,,Koverse,"Seattle, WA",,,"Practical experience with state-of-the-art data mining, statistical modeling, data science, and machine learning techniques and libraries.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=37bc22ad82ca42d1&fccid=d4558acf651055d6&vjs=3
Healthcare Data Scientist,,Navigating Cancer,"Seattle, WA",,4.0,"Collaborate with clinicians, researchers, product managers, and engineers to define and clarify scientific research questions, develop statistical analysis…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d814de6ec9cf0e1d&fccid=73035bd99401b309&vjs=3
