job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$110,000 - $170,000 a year","Excella, Inc.","Arlington, VA",Temporarily remote,,"Using machine learning and data mining technique to understand the patterns in large volumes of data, identify relationships detect data anomalies, and classify…",28 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BngSc1vo6aQ7iMBmTVi4J4ulrPPbEdkY4imFSRnrZOuFT7oWKGSs5Tnwwds5NWpFNo3cxaTee1sKdVjegggpiFaiorr08QUjN1gsdtGtR4uSTKhH6nhky7FunimvUCniwYYNn4jYeJ-tqesA3XdUhxYefedKdsXxMsM3jZh_4ND6PQGhtjTn_D6A21RcADnAsyHIJjmRViOmNEA8TbSj7OcB9nkF1-RsMj6RuIQ096PyoatYNgXpCVNoqd4mkfimi0lRbgbqW04478N-ELXnhK5pv3XQ758cV2Z6JZ8u3M1Ob6PKURIRZcYnMOcUEIMIcRkqNxxrOiWt4FQ3S87jVpRrDXkYY2LJFZ7RXCoZT07gWNJeYwbChSUQGWHaxPN7GlnxO5ycjKJDNGOtuUztj2_I1ntPwwKnLA2W1CLLcK8nwcA1GJxE-k5HjBBz_u3N4Oa3l3xG1VPQ==&p=0&fvj=1&vjs=3
Data Scientist,"$103,690 - $159,286 a year",National Security Agency,"Fort Meade, MD",,4.2,"Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCeNO4H8xVbG39Y1JyMzF-2gnp7S6SvNKvywqXgw74WJKEUM17Y-XvlQMnyRxp6nf7dDAp06axWWvkGsNo46d0p_10aBYhGE3awmalnB9AkA1kEvHC7F5cHte8oIYFLSy28MpEUVrmAM9HBQMS9OkNkiXSBsa24zPvKFeyW9rn3h-uEjMhdBz_yT63JDAGExLBoE5WO_4ZQS4aIzRq4EzmbjoAGRfm280MfR_80nTvII5k6qC68lLprI2BpHJlz2mz6sNj0FJApODiEU7Wb-spgVRUtDgYprlSo70mkADjGZ_1OrxJ7CZsI9tjT2PxFeV-KWywpYRL0Tcy9kIX0UOmTgfSr6x4kuoUJUqM59jUg-hMOfh4QZRKubTAwnZ9Myzlc=&p=1&fvj=0&vjs=3
Data Scientist,,Orangetheory Fitness,"Washington, DC",,3.4,"Experience in machine learning, analytics and/or data science.
A core focus will be on drawing insights from large and complex data sets and using these…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=60ca99bf7f8b5564&fccid=6dd2b85b361af592&vjs=3
Data Scientist(Healthcare Exp a Plus!),,CyberCoders,"Washington, DC",Remote,3.3,"Apply advanced statistical modeling to create relational models between data.
If you are a Data Scientist(Healthcare Exp a Plus!) with experience, please read…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t5auiaX-lacgsAgJyLLMkD0bIyer4dJ3Cz9yDdPlPTn4-2wNk1uUwWBxZooGczTvsRogIGWIs9I5aDKoYwymy7Ndp2SuOprqiekXmA5eODxD_Lbth5V2A8DTd8OwvM8i5z9AHp0SRxCxhISS0euxCC0uPogvoZ0Zn7w4K03tLsJpGT8Le-ZAfqckgnwhZz22l4wwtak0sFYM1B-uuNqRHsRWei5lJVb9jfOYnVvS7NwcWhYMPWKP9HVRt80HntDleIPutGRFzFabiz3EWgjfDnUyk-2HwndRupm4jdeCD-2pKH6rQ_6l86weBp1Np088KszDFmusH0vJtP-5034gFWAihHjCxBaneRsLID0DLdoJoYrf50dAI3jmQZPpPL6xF_Gbl3-tKLArPI173BpSB4b0cmQ2UdP08HGGDIGEUMInOl2Dc7jUgLfIOetB2HYq7A4M9V-NuyF6vytXJ1Q9B3E8M-Ow2JMbT_Ffid3wPhLjh2L4QrtQPdrmlOUk051YjGR99u9RXG9MRlvZQNAa8yvWwwdDj3gjvXNjjnj4x6UJ1FcOtwUj9yO6RpmtlpIO4BJVmZafSu8jiW6apyHxW9BZbhtEqqsmewsJo9LV4HKwvvKVjB9ff6PncocjOT_0NRJZEA9lkqic8shmBuFTDuKQiAiQbwakY8wDdbyAII_5R5psFKmjGLB4qAltq7o0GjdGf-uLsnff3Ck4Qf1YQKY5jJwlvDDwndE1IiNYSDKsEoDXEFBy9x-BddH5gpOkdVhChvZ3IVioNJ1BGAOkpThO5pWUX0gHQNkQqOcmbO6ms83-V7nzoPN1U65hgIohnVggTgIiLRPYKxq15gfDZKjrg1ImTjeZRNgvwsRGyiS2MEHVWRlr8v2BRnmtAn8kOWymG_vNKm5Cw==&p=3&fvj=0&vjs=3
Data Scientist,,CyberCoders,"Tysons, VA",,3.3,"Interpreting results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex machine…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4K8gMGiuc7SYJ9JcON6k1vZAdE3mCNbvabFxVnDXhr7nZtqaovDEMrEbmn_aRf_I4t2LvFRcQwqtjnnD6Yth0hNCQZfEt89DyXWh56OjSvbPfFjqRFXYo0ur2lL-sVLlSfYMTts1qGlMJ7NzUVd--lU70OzazwIhWVey9rvCdLI3juxBxtFSVaW_aKnEc9vRRcD3bUz4EImkp06aTxpiZyEPY9Cp9Q5PpHvLvRiF9udaF9ECD6ACbgjev4C8WszXpA7J7QkjG9JajoX8Z0NUiy9-DBo5pnGpP1paOCUkosDEhIJzbXzZ60O8TgPQP7JnSTIeO0xJFd_W0up6bVrvhl6Tk1A5hCqy-s1RYASABuZtifSon4q0RRyF4K4kEwwXm036jOM1lEfh4I3mtzw94xUOj-Eemj5ldnzm3Y1kGwZwmyt292FrNmBuzTVXmmDQtFGxeFVjNev_PvYvhUFyzFKxz4oC5q4XjnqpmyYY6Kw0wlGk_nuGGrJrNpC5JKkyMCXbOG8CF6F1qU3AgVegswBPAH4Dr1oZ99wCwXhujUYp3cLrzTHvo4deDExbjBTjpH8zep_0BevX6xvF8E8l2VFo2Y9p76v7bwEV4OKU7AiWOU3Mng0EKi2YPK7IfmMzbKl1eToVFEeordW_sj3oDgnZzaFpCW7UdWIwd2_2x1-qsXzfExjAY6UbyDgsoPzoSXw8zO5Ktpy7SJomUuFXGijSMsnWLj1UApttG4QvSgx6ikNMrCHXUT0kRrs9iJUJK7uxT0LngOUZam-tlkLs3AApZCzuBnwR3UB4j21JuFUIgHVxuWQca351jrDN97vGzaUwW-L7wQ02cF0_4wWPr2U1OaJwfsPm4MOC2lxSpVcNt6mWsK77IhYgSI5fTeN9jqXbRXs-_hEbx-qImSYmCY&p=4&fvj=0&vjs=3
Data Scientist,,Peregrine Advisors,"Washington, DC",Temporarily remote,,"The DS-DAS will support senior leadership of the OCDO, including the Chief Librarian and Chief Data Architect, by joining a high-performing team of data…",3 days ago,2021-01-15,https://www.indeed.com/company/Peregrine-Advisors/jobs/Data-Scientist-83a6e87f83174c84?fccid=03216c98e4dfd3bc&vjs=3
Data Scientist,$60 - $65 an hour,ProLink Staffing,"Arlington, VA",Remote,3.4,"Strong knowledge of commonly used machine learning/optimization techniques.
Develop analytics models to increase customer value and operational efficiency.",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqbItYgSQLi0bplxbNGH3igmLJ2ZVxPMx9BvswTbxax-ckRTIxv6_4hAeG5_4UtCBsxQbVllBmGc_41G11mV3Mmp-dUB-n8ljAvHLNW18yXfOK7hlafhOxJAXY9JVZ4Ac-SHH9NIpj_NjTEqhjOLQfqytD9VxEQoJFR4c_WAhJiLUy0nC29USJAf0fhCyoCFnGFYkvcAwHb3yXwosvgshxcOfYNzr4kmsXWUq3VxC2R4AJy7FvWAJjBQQK0g_R7ZZafEczZIGeZgKELzSSM1ojd_xJNspldDcVZfTxlxtQv8bdbI8bLON8jDRBCWRZKXyoREgjvMTODWLeV7r3Ar2bAtTlj5aZG92o_BHu1o-4RTxohOrPPEWbIkUCrlt0sHbNYNCq938v1VWqCptGy-Dhd7&p=6&fvj=1&vjs=3
HR SPECIALIST (DATA SCIENTIST),"$103,690 - $134,798 a year",US Department of Homeland Security,"Washington, DC",,3.8,"Ability to create complex mathematical formulas to analyze current trends and project likely future trends.
Using business analytics tools to extract, analyze,…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=08ce57fddb55c5ad&fccid=e3977494b2ebf993&vjs=3
Data Scientist,$50 - $52 an hour,Valsatech Corp,"Washington, DC",Temporarily remote,4.6,"Data manipulation and data engineering experience involving structured and unstructured data.
Experience in advance data visualizations and interpretation.",10 days ago,2021-01-15,https://www.indeed.com/company/Valsatech-Corp/jobs/Data-Scientist-6b532f649a714c5b?fccid=e20d8b8ce46b3390&vjs=3
Data Scientist,,Xiartech,"Washington, DC",,,"Experience bridging data science strategy between leadership, IT, data scientists and other stakeholders.
3 to 5 years of experience with machine learning and…",2 days ago,2021-01-15,https://www.indeed.com/company/Xiartech/jobs/Data-Scientist-959b3a0c11f3ace5?fccid=77db3796d22e7aff&vjs=3
