job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBtDcesrITf6pFh3ORw-sqpqlpwrs614LfrOGSOyPPOlB1Rf5tOZJXK5LtMuaHohGZnwVzUx2ahPbQF3NIGgp5tAVBa1vBni-fxY2iayXTOiwE0iZ89NiIzRGiya7JQKdvwwSsSPS_kObYIIcXgjuZfz6ZcvZCjOHo0uinTmgH8YvV1BOS-4zTTGlYg9xxFJSyMKAkzxfPNu_ggsh5ORxoGqercdll1EEeD8TFO83xsLFKw2bvH2jTiXpcHW44jYF1TlTc1SQuZRR8l70wfynGXBzshd5b-1pHn1mHX20VnLhtAYIva9R0Pg==&p=0&fvj=1&vjs=3
Sr Power Electronics Engineer (Experienced),,Sandia National Laboratories,"Albuquerque, NM",,4.2,"Flexible schedules, generous vacations, strong medical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed…",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdI5vrJcl4iNCACeycF7SOUtI3c7RKoL2EvjheEbCbdUv081JA-dhNqjZ4jdBftl6TMG_-pKzRigzq03wq9_4qslA_AcIigsTBt14STHx31as5XSvxGRivn0iXUiFC3F8gr3KEkG49Ju619oJN1edMDtrrwvkwRN0YJqzrRoAgTmg3JqmfTAiQHumxUFU38CZbccoHhkFllkyGzwlJ8jFRFj9sR_bXc_O13y_jtaZbRPD5SJljaecJySQtx46998z6aLHULq2retVCAZIkfFt8MiTWCAIxoiLUP_6JCsrYRC4IFqDZmDBl87-oK-fd_A-BSaw4O5lCRBYAv5x3_JMG0JvCcJQOD7_gGqX62fTzcdKhvKJexpgqf8rcwQcMbGGkD64UTBdCEpcVK0DbTVxYr1OVt3hPaFdDtT66MXj48IoPzHgWT_AHLGukB9mSvrwIh2VgH5gvqBFHEpzlddfffyg4v4cStvj_wrQ1J20p49Tq4O-OVv97hCw0R43_8juJ5TTqnkSQcdMI6qXqU7FzQZ2rYzSTEJdk5zMmSL-tpyXSg0tZ1q-V19XxpR0I9vuBg1WqcQ-iVjTYE4RzLz831BsXAst_q0XOr12Oe-DrePvidwhTtMaTxmuwAWwUSCOhVpdHv3gNC5c0WB_opz8l&p=1&fvj=0&vjs=3
Machine Learning Engineer,,ASRC Federal Holding Company,"Albuquerque, NM",,3.6,"Level I - Reads, understands and implements algorithms from recent machine learning and deep learning literature.
Estimates implementation costs and schedule.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=10002af794d2b552&fccid=adbb342bd2008a4b&vjs=3
Machine Learning Engineer II,,"Intelligence, Communications and Engineering (ICE)","Albuquerque, NM",,,"Noting a given problem, provides well-formed ideas that are actionable and feasible given the problem statement.
Publishes and presents work at conferences.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=1426597f37ad071c&fccid=310b33c136470a15&vjs=3
Machine Learning Scientist I,,"Intelligence, Communications and Engineering (ICE)","Albuquerque, NM",,,"Noting a given problem, provides well-formed ideas that are actionable and feasible given the problem statement.
Must be a U.S. Citizen.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a36e023e5060713e&fccid=310b33c136470a15&vjs=3
RD Software Engineer Java/C++ (Experienced),,Sandia National Laboratories,"Albuquerque, NM",,4.2,"Contribute to deeply rewarding missions through engagement with diverse computer science specialties and specialists in areas such as data fusion, signal and…",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdI5vrJcl4iNCACeycF7SOUtI3c7RKoL2EvjheEbCbdUv081JA-dhNqjZ4jdBftl7zdmELPAL8VbXV19_jNtEoWRLLuJHia4haY-G2MeJZNbUoRF_bysrtR8Q0-JVtdbgLPsIzQxCDV_G-QFmzu2c3Zt37TQME5i2QbU-fDupNulHYtV72JvOLz-53F46sI4STJfN6lAQe4gB_KTtX20VBn2PDRCE37lUgC-CvIcSFwgSWk7ivWaPh6Uew8mNBzFTkdXAjBJR9EL3mD2_3Z1591Z0i9DQ2lGvi02lPUJS2KGdPeTqOLQ-6l9Mkziuw2OLfPGP43AGRef99j7neKCrllbifH3UuZ9rBjcTuRzKBKYmuRKsDlI0Pkvz83XEI3NRCtaaEHCfWvHYNHjTsCQR_ZoHVQynnmJCniNy-kHj__WEVto1sixCC8TBkLGV62QBwthph19OKrcsqAYBt_sm6x0l_qfh8BiMW3kk9H0s8AOm22MWKvhMQnu3j8R1kumQHcsfdyTKUeV3M5ZImNejyH6z2kTSX2_qK6W-F09d_aKeE0cpH-ZyrQOkNa1HUAA4FCZ2Vh0rB_Q5MPK9RRjP5q0XVHlJAr1wmlVP4fh3-r71WvxxCy2qTwtdO2P7xGMr8b1reHwRQAhObrMxRWvlV&p=5&fvj=0&vjs=3
RD Software Engineer Java/C++ (Early/Mid-Career),,Sandia National Laboratories,"Albuquerque, NM",,4.2,"Contribute to deeply rewarding missions through engagement with diverse computer science specialties and specialists in areas such as data fusion, signal and…",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdI5vrJcl4iNCACeycF7SOUtI3c7RKoL2EvjheEbCbdUv081JA-dhNqjZ4jdBftl7zdmELPAL8VeX9pp_rumknYVRFFHhPx9KOcAiXvQ6bzDaAGI_C7sBL_X2fX2aYg6VFPqbKEPKeTtrWAiiNOAb_Arh0wcacWq9cTMBcf9YAQgeHd65PMAkLWe9TVVDSa57vU8vKSJUF25yIcD1YFbyivCrqU7oYJzq3V8GjQkZcggcaXCDuajmmbn_0RQJiGdI2MaTLhRVYIj8ZIH6H8P15X35w_qmRaKq30_w-6d7lp-Yr0p6YWR8i1pM4WN9N4SUMU94MemTaJr3D8TYSfSiKopxAKGAIDI_dK9Mjvi3RHf_92eGF0IF8egKOaILCgl-xY2iZduRmhSBBXYODvSNDZW2kCA-WnRhcpc9EwVh3hI8fdnLs66jR8h0qYIic_k7tL5ywdZ1evhQpK1aRzmAw5N-lVBP5RULvHaa9ojwHYGtDCzprVxbwqX43j_BZGbfMCF3NL-xSkhabOAElbtv75AhxRmN4uwigtymHB_deMYe51bvfbhw-SeCkMG8alc3rPNNaX2vcBuYx4HgmPSBZH2pFavzrmAMlT4bLkljZMInUWzhB63eRJ-GrBSLFmmR_OcDEl5SsAA==&p=6&fvj=0&vjs=3
Machine Learning Scientist,,ASRC Federal Holding Company,"Albuquerque, NM",,3.6,"Level I - Noting a given problem, provides well-formed ideas that are actionable and feasible given the problem statement.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a95da2ad9a96a95d&fccid=adbb342bd2008a4b&vjs=3
Human Training Data/Factors Engineer,,Alaka`ina Foundation Family of Companies,"Albuquerque, NM",,3.4,"Work with DTRA, DoD and DOE organizations to stand up data engineering and machine learning capabilities.
Act as subject matter expert with focus on machine…",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=a33b9f93eeacc52b&fccid=3710756e09c5756b&vjs=3
R&D Software Engineer - Remote Sensing (Early/Mid-Career),,Sandia National Laboratories,"Albuquerque, NM",,4.2,"Experience in machine learning, data visualization, and/or data processing.
Flexible schedules, generous vacations, strong medical and other benefits,…",8 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=cae1fd88fd92f9b3&fccid=6153cf878ee73d92&vjs=3
