job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Scientists/Engineers,"$90,000 - $170,000 a year","NovoDynamics, Inc.","Ann Arbor, MI",,,"Proficiency with a deep learning library such as Keras or deeplearning4j a plus.
If you have a successful track record in software development, knowledge of…",30+ days ago,2021-01-15,"https://www.indeed.com/company/NovoDynamics,-Inc./jobs/Machine-Learning-Scientist-Engineer-c9b610746508c565?fccid=b3a30b59558655f3&vjs=3"
Robotics & Machine Learning Engineer - Ann Arbor,,Martin Defense Group,"Ann Arbor, MI",,,"Must be willing to work on a range of basic and applied research projects including: design of future robotic systems and sensors, autonomous control logic,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c2605ca470814ad0&fccid=9d60df1777a9b20c&vjs=3
Model Based Development Engineer,,Toyota,"Ann Arbor, MI",,4.0,"Expertise in machine learning and AI.
The primary responsibility of this role is to develop new powertrain technologies for conventional and electrified…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c41ca2de04107a5a&fccid=90f0cbc4a30f8dba&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKaxjUp-rot6IdOz6pdNCsSdyN8rbnjBeoJIB-Z57AUFATrcD__Fpdfpob7V3Sl_Gu_RoIjGW8XeIs8NKQE8osu_tA9ch5q7UvslOmK-1Qhj5LoHoiLMIGYcBPsgx9YMFXnhgfqlwvAVjfBWCa_rcpXqiCYRZ_R0m2Os44C9dk1svQEp69TBuslCMT2N7EWosByF0g-CbhzUR2tCUs_gRZOlPFFIKfu5LAAymo1MO17BtD5jNqG_hTfwan5umbmQPm3F780L1-gQUUe0MRvqP3XRPKBZyAUN42Kdo-5U2FloS5FxwIFEmwYqo7He5jrPGY2MvK1fU4GXU=&p=3&fvj=1&vjs=3
Manufacturing Engineer,,Variety Die & Stamping Co.,"Dexter, MI",,2.6,"Troubleshoots production machines, produces problem solving techniques, and develops plans to reduce machine downtime and replacement costs.",3 days ago,2021-01-15,https://www.indeed.com/company/Variety-Die-and-Stamping/jobs/Manufacturing-Engineer-33d9875f1dd62ca9?fccid=0208213c09061918&vjs=3
Data Scientist,,"Alteryx, Inc.","Ann Arbor, MI",Remote,3.9,"You will help to improve the product alongside our sales engineers, market more effectively to our customers, make sales happen, and help every department use…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=569c966037a1309c&fccid=dd3b0a1fc99fe359&vjs=3
Application Engineer,,Bluewrist,"Ann Arbor, MI",,,"Bluewrist Inc. develops and markets industrial automation solutions in the areas of robotics and machine vision, including solutions for robot guidance, bin…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a8e71dc9d6ad8c73&fccid=3926f69b7b877601&vjs=3
QA Engineer III,,Cambium Learning Group,"Ann Arbor, MI",,3.3,"Create and tear down virtual machines for testing.
These solutions are provided through Learning A-Z® (online differentiated instruction for elementary school…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c60d68c2f8774085&fccid=ce8c5c4d60bb4cad&vjs=3
Autonomous Vehicle Computer Vision Engineer,,Ford Motor Company,"Ann Arbor, MI",,4.1,"Knowledge of linear algebra, statistics, and machine learning.
The role will require critical thinking, problem solving capabilities, and a “get it done”…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=34cd54228d37b509&fccid=761c44c17d636bfe&vjs=3
"Research Scientist, Vacuum Modeling",,KLA-Tencor,"Ann Arbor, MI",,4.0,"Work closely with mechanical engineers and systems teams to define and setup computational domains, select appropriate modeling procedures, perform data…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=13ef015b05ef626d&fccid=c8fc142c28286059&vjs=3
