job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,IDology,"Atlanta, GA",,,"Good Knowledge of math, probability, statistics, and machine learning algorithms.
The Machine Learning Engineer will be a member of an awesome, close-knit…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlzqN_jzQOqWYwcl7NPwOSSJPhZADSoFDQiF6AtA7KIy9a3V5xOYDnX63Xz_3TTiR9dotTA7HsSqVEvF2tstfCnzdMnVi-H7nrIEFzWq4XZYHRr5IlLnvDmUZ1zCF2fkBnHb8LMtDmAMK_AS76Tq2SSNY016pdAhdIqDRbXSn7R5vRvl-rfkUEwcKETbS_3ksfn5KR2YEUpVedbPDlUidUtBmJ4s-2pm95_7T4pKZicSAIcUNbbAelLq2ktDVf2RN3td3RSq3pezzzqWHoBGlPKvAuQdcgFa0BDzBhuGfMIVkxakKZibW27folBIdlMQRPBDOotDgEVxcOH9qMVVPzP6FN1ZPgqA_YlWb8O7RJ2-cBcn1JggbRn-uMENCRxCL05_dTH7K31tStZuEz9GM0jj8r-6qJfd0mO1MYIGNnjjUgd0TAaxFvqBdX6yuTvitp8IlOZ7BsCXCx0YXuGS7yj6o0rzo4dnBTrxbe8fn2vA==&p=0&fvj=1&vjs=3
Machine Learning Engineer - Global AI,,Slalom Consulting,"Atlanta, GA",,3.7,"American Cancer Society: Finding breast cancer patterns with machine learning.
3+ years of relevant experience in machine learning and/or statistics.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=055dcbd1f9914643&fccid=a321096b9f1b3c50&vjs=3
Machine Learning Engineer,$65 - $80 an hour,AptoNet Inc,"Atlanta, GA",,3.0,"You will have a local machine with 512GB of memory, so feel free to load the data in memory if it makes sense or if it fits (!).",30+ days ago,2021-01-15,https://www.indeed.com/company/Aptonet-Inc./jobs/Machine-Learning-Engineer-4070879e198edd87?fccid=6fc7836bc22ff415&vjs=3
Robotic Researcher/Scientist - Machine Learning / Deep Learning,"$70,000 - $140,000 a year",Dorabot Inc.,"Peachtree Corners, GA",,,"Strong background in machine learning and deep learning knowledge and applications in computer vision and other fields.
Job Types: Full-time, Internship.",Today,2021-01-15,https://www.indeed.com/company/Dorabot-Inc./jobs/Robotic-Researcher-Scientist-782bd3f0dcbc9632?fccid=a7a8cf8af8b74072&vjs=3
Machine Learning Engineer,,Flock Safety,"Atlanta, GA",,,"Develop applications to run machine learning in production.
The ideal candidate is someone who is passionate about taking cutting edge research and technology…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9c8b9172ac097ca0&fccid=1e428ab7586bb663&vjs=3
Machine Learning Engineer/Scientist - ATAS,,Georgia Tech Research Institute,"Atlanta, GA",,4.2,"Exposure to machine learning, artificial intelligence, reinforcement learning, or related areas.
Have an interest in expanding their knowledge in machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f556ecf53a31c4e7&fccid=db25687464a9ecf6&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKjd2T4CQ_ixdWTx1j_r0QOnlKvds03rRPsOiRvIVg3kTDJv3eO8wei1olHXd0GlT7wtQUUErULIZ2ANgu20Wk0Yn6hnmACA240ZZ2IeOMdEhZYN_OkxymZ2Bt56o6NmGRffzs9S5VShas3BhFDbkX-B-GQs0665f2KdYQOnLErg1chWZcN6-U_s6u9cK03VY2qPNpS37e-NvwVY3SqEA9Lyj_YBb35iTC42loTJ0H8yEfkY0i95VOXCu7gGO1nTD_q5RcOUgUfcGwPqREuQxvaP0TzSdrD1OC2ysrXydQPHLaXZWcMNZ5M12oxWPjIP4Azf0A_oeEbGk=&p=6&fvj=1&vjs=3
Software Engineer I/II,,Microsoft,"Atlanta, GA",,4.2,"You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=6a987beeb1afe49b&fccid=734cb5a01ee60f80&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Atlanta, GA",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=bc73dc76c31a3866&fccid=9e215d88a6b33622&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Atlanta, GA",,VMware,"Atlanta, GA",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cdc776493e85503f&fccid=c762a27145bd166e&vjs=3
