job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Houghton Mifflin Harcourt,"Austin, TX",,3.6,"As a Machine Learning Developer with the Digital Experience Development & Strategy team, you will develop ML algorithms and APIs that will bring cutting edge…",29 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=b80627caa2b5c80f&fccid=de944fd9a81b62b0&vjs=3
Machine Learning Intern,,Electronic Arts,"Austin, TX",,3.8,"Fluency in data modeling, labeling and best industry practices for machine learning pipelines.
Suggest and evaluate different algorithmic approaches to solve…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d32b849979cb1990&fccid=617d7f961cfcf54a&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBcpcBP8D3LLK6Qa6PAd08YvJvwYMMCr_zDv6ISoew4GVNDKjHjJOeodZP4XiSfwq3d8PCOt3rmAwbxIHqiKTEKumayN_bvsDwryhNPyp0Ug6mDtb5mDTv5t4V_DIyQv6moYbokHDVynHHYenmlBVQuj-SUqsJvZpZFqp-Pi6pWgie03V3diJ-hflFb3FfHAUnXB5Ae4-G696Cc5cVG1VM1K32yGbDe5Gsp3q01qm0K5HOfG7KPuzkW3Wx1lE8t4pSlSe1OcXAWWPgAs8aeltb61a1LepLC8R6-5y-N9qzZ50=&p=2&fvj=1&vjs=3
Software Engineer Machine Learning,,Cisco Systems,"Austin, TX",,4.1,"You will be embedded within cross-functional teams that include big data engineers, data scientists and UX/UI engineers.
Strong analytical and debugging skills.",28 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=410cce0274ed65ed&fccid=dfc44f3b8c44a6db&vjs=3
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",,Apple,"Austin, TX",,4.2,We urge engineers to stay abreast of machine learning research by attending conferences and working with academic faculty and students.,30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=df3e93cbecd64976&fccid=c1099851e9794854&vjs=3
Conductor/Engineer,,Watco,"Austin, TX",,3.0,"The conductor/engineer position will be to control and coordinate the train movements while switching railcars whether in the yard of a railroad, industrial…",15 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=c2f6faf8dcc96b50&fccid=182d0a5b5b0058bd&vjs=3
Machine Learning Engineer,,Syncroness,"Austin, TX",,4.2,"Experience building large-scale machine learning pipelines, using Kubeflow, Google Cloud ML, AWS Sagemaker, Microsoft Azure ML, Spark MLflow, or others.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=7bb90ed8dd202d8c&fccid=1ffa03ea1730f7c2&vjs=3
Embedded Machine Learning Engineer,,Acara Solutions,"Austin, TX",,3.4,"Minimum 3 years' experience in machine learning, applied math or algorithm development for embedded applications.
Explore and understand new technology trends.",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQuJXpfawXtfhwzLerQhC04iCxGrelUvn_xttDeop7CMmG32gURwRxhPm_v2B23n7icOfIWuX2uJQv33Zsbcju0UeGwTrvQmjYes-QBaQBVCi1FRELy83UHNLel9RAmcRQGui9pAaGq4_WJ-qEZhDFi8h5bo8Bk-xsynvMW1xW_QfnAiHXcaYV48j7p4kAxGirF5rHz4bzDa0mvu5Nnpg3jpsB2XNaMdIihv7KORvC59ea5qHhy9n7LsTVtnjEC-64NFw_t6jXIRzThk2Jq22Q6TwhJCtCtCGoBgUhE-tgmKyxQZigjaEqVftaumTX_8E7e1xULRMDXJd0gOv9CLkljdt8q-WuF7xrh4MaBiWg6jsmsc0TRfOyeyqKTqB0reYtNLiRu6wpglP7Hntpa14b7FrvPFqlux9iEpBC4vepCBaw2qDp6256wIEJ1KXOpmWabOupG1ZtYJpdF7pPNwD-bFV3Jg09QG7Ibf9c8tiyLvQxouQCPsWlv_8jZEZyGFo5QkoaHInmbRLyu28VR3wHZZr1OG5BofNARXyvfAinrpWT6uM8ypSeilFFEEXxWsogdX3l4zhGmJRmqOBA11qfyVqTGM5AZWhAHdYmtqA2v6L3Nl4j0YCT237atg00K_tKQXmPdGX3fW9fQeNRkx6NnJWt09VgZqien44aKXojAHbOdHFshcWm&p=7&fvj=0&vjs=3
Machine Learning Data Engineer,,Levelset,"Austin, TX",,4.7,"Implement data quality controls, monitoring systems, and processes to maintain high data integrity using machine learning and other modern techniques.",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=120993c3e11b52ea&fccid=41fbb61f8e7b8f82&vjs=3
Machine Learning Performance Engineer - 81924,,"Advanced Micro Devices, Inc.","Austin, TX",,3.8,"We are seeking a machine learning specialist with a background in frameworks such as PyTorch/TensorFlow, and machine learning workloads.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=cf70322d461fddf3&fccid=b45c4b5a9c9a7448&vjs=3
Machine Learning Engineer,,Hired Recruiters,"Austin, TX",,,"We are looking for machine learning software engineers who have experience building at least one of the following:
ML/AI models which are in production.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=759869442ee7f5c4&fccid=547ddf8bc07ce2c9&vjs=3
Principal Softwars Engineer-Machine Learning & Development Operations,,Dell Technologies,"Austin, TX",,4.0,"Proven working experience and knowledge of machine learning modeling and machine learning solution development.
Effective communication and presentation skills.",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=14989d8c7c1f451b&fccid=dd09fe3b43125016&vjs=3
Principal Machine Learning Engineer,,Talroo,"Austin, TX",,3.0,"Two (2) years of data science, machine learning, or data engineering work experience.
This involves gathering data from billions of monthly job queries to…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=fa082f867e7cb2ae&fccid=89456ac86028f0ea&vjs=3
Senior Machine Learning Engineer,,The Zebra,"Austin, TX",,3.8,"Practical experience working with data scientists to operationalize machine learning models.
Expand and improve upon our existing platform to deploy machine…",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=c9c1fcdd664609c3&fccid=cfa3b97407dcdd5d&vjs=3
VMWare Engineer,,Dell Technologies,"Austin, TX",,4.0,"Alongside supporting new and existing applications, we work with other IT groups and business units to troubleshoot and resolve technical problems.",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=3a1871bc3bd37915&fccid=dd09fe3b43125016&vjs=3
