job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Deep Learning Engineer,,Numerator,Alabama,,3.6,Demonstrated ability to drive selection of machine learning approaches to solve specific problems coupled with the ability to clearly communicate tradeoffs.,24 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_eha-HkQeWKZ6JEK8-AmpIyxXGH0Wl1DcvhdPKOGMCddrq-7oJ4yYBJ0gxqNEYIhcOXJV0afngaoVVOipD3ZgbGu__TWStXnzX1DrWfsJB92Rv-LO4jWSZ-MHyv7FoncPTBqQ_Kmxisz_DRa6wfWnbidFsaWI-ylIXi21_Da6mbfA3lMi0xB2nI6ewSVj4uw_WfPBwuKQlIo1mLzg2B-PnkhIx1q7R7680PoFyhMHdsqqKQCTYXKj8WQ_5OyQv5PXTeUeP61njqSnP6vYCYFtGqYBOoMGHHXeRE7xiraOWGgnvRyStttORUG1re8PIyeaLPOOLIcYtLrWxUr0NmdY-jFqa2cBi8wQxw3G_mqTVZ6Iy9ZBZfzOP66adV7I0fC92WWy-Q5YXuzP364KYo-rBz_jyJnQN5P_CQt71XYrhs1Er9TvdaBnxYIAos_7Hdm3XXGJvEAL4_3ZO3jRyeqTMiCELW-1Kun9iafr5oP2vourMWvxrf06xY=&p=0&fvj=0&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQr9Qy66VI1WuuFB_8S7a3S7wihECyX2EMB8pqC5w69sMA_r9NJWhYeX3kpXF1A-ML5IMw9eyb9-M-l_jBbzMgH8aKvhvGUINZhgymw_bbpbF9-lENC-HcswUebLhy_uYjPENUR0BBUZMVZ78SSWmn8soi12fuA4KFGWQ2Bklz6ORU8ZBWtnsbOwoE3oAlrJDxH0tny3DsQ8ihR3kyPltEp0iB8QFoXSyxhAiCFic5Bc4OaAMYzfeZEQiO3ZlugZvFi8mQKa0YCrKz1p98IBxZ1hV7nzhH6dL3-zYRJOc0HB87oHyOMZaXBedr2ehjRLpuur2ku7qdiOO&p=1&fvj=1&vjs=3
System Engineer,,SKF,"Moody, AL",,4.0,"Responsible for building and configuring online and offline Condition Monitoring System; manage permissions and access to databases, remote servers and data…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a5750ffb9f6de7e&fccid=984d08ab437858b8&vjs=3
Senior Mechanical Engineer - SDD,,Southern Research,"Birmingham, AL",,3.3,Continuous Learning - Targets learning needs; seeks learning activities; maximizes learning; applies knowledge or skill; and takes risks in learning.,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db4939240a1e22d5&fccid=2f522da65d3981c9&vjs=3
Data Engineer,,Regions Bank,"Birmingham, AL",,3.6,"At Regions, the Data Engineer supports the Data and Analytics organization by designing, optimizing, and developing data pipelines to support machine learning…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bd83a4359ab2f669&fccid=0e98201756dba0a1&vjs=3
Engineering Drafting Group Supervisor,,Southern Research,"Birmingham, AL",,3.3,"Interface to the labs and machine shop for standardizing processes.
Motivates, develops self and others to foster a learning environment and openly shares…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c85ae30d16d6a199&fccid=2f522da65d3981c9&vjs=3
School of Engineering - Open Rank - Neuorengineering,,University of Alabama at Birmingham,"Birmingham, AL",,4.1,"Neural signal and image analysis that combine discoveries in neural science and data science using machine learning, deep learning and other related approaches.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3fb9aa01bb53ed80&fccid=61b32dc36af3abe6&vjs=3
Marketing Data Analyst (Remote),,Daxko,"Birmingham, AL",Remote,3.1,"Using machine learning techniques to select features, build, and optimize classifiers.
Work with Insights Strategic Team leaders and data engineers to research…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=82a84623be51e868&fccid=9d754cac252b392f&vjs=3
Digital Data Engineer,,Diversified Gas & Oil,"Birmingham, AL",,,"DGOC is looking for data analyst/engineer with experience in analytics, data ingestion, data storage, processing and consumption patterns with the ability to…",30+ days ago,2021-01-15,https://www.indeed.com/company/Diversified-Gas-&-Oil/jobs/Digital-Data-Engineer-adcb7222ee5528d4?fccid=082b81ec12ee24ae&vjs=3
Solution Engineer (US Remote Option),,"Guidewire Software, Inc.","Birmingham, AL",Remote,3.7,"Our team is responsible for delivering creative, solution-focused demonstration implementations to the Sales organization for presentation to prospective…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4838b1a336143fe5&fccid=be90d89fb010b0bf&vjs=3
"Senior Software Engineer- Full Stack , Cyber Risk Analytics",,"Guidewire Software, Inc.","Birmingham, AL",,3.7,Guidewire’s Cyence Risk Analytics helps insurers and other financial institutions to model new and evolving risks such as cyber.,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=704785a1cb7cdc99&fccid=be90d89fb010b0bf&vjs=3
Cloud Solution Architect (AWS),,Deloitte,"Birmingham, AL",,4.0,"As an AWS Solution Architect, you will be responsible for partnering with architects and DevOps engineers throughout the organization, providing solution…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d7629cb50a84c7e7&fccid=9e215d88a6b33622&vjs=3
Data Visualization Senior Architect,,Regions Bank,"Birmingham, AL",,3.6,"Familiarity with new visualization research areas such as explainable AI, interpretable machine learning, uncertainty visualization and visualization bias.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7467e7df3d37145f&fccid=0e98201756dba0a1&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Birmingham, AL",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5c2d5887d995ef81&fccid=9e215d88a6b33622&vjs=3
