job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,MORSE Corp,"Cambridge, MA",,,MORSE's machine learning focuses both on computer vision-based problems (with deep learning solutions) and data analysis of sparse data sets.,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHsFIW_aN98wm30v3Y0a2btkoTPg4QDljdIgcFBoTY03HlngPAHxbMRHk8Vb6MCZa-OF_K-kEEBvLrke2h2P3g7glIleYa9IOrdvlV_9xWr4digtaKZGFoOVxrcQw6VZ72LI8k7rOyUjXqRr8XOvk1K8n4y9CSi7AXKyo1ubnVXnlzPi6vuq0oefCOpYCAInGiNRZDWV9x7eWzlkw6IV0PWa_k7DXXe7RAHU1H5Bk7QTlPHGjaAJuabzKnz9rty6dEoXWiQhFbpZRFsXlbckL_nwFPNEvSEjKL8PswpQjsA2V9V4dNj1pYQGRMY7EMaSia0uLwbNhVY2WJ6qHmB4x_Ix0mXINnJKk1rvOkAauJgXLdqRYZ1Lkt-7Z6D0GvxwtBdh48CHgNtQ_Q-80_mBx87FZ0GQ-Rf_5DKx8bz6I9nA==&p=0&fvj=0&vjs=3
Software Engineer Intern (Summer 2021),$36.77 - $44.62 an hour,"Alteryx, Inc.","Boston, MA",Remote,3.9,"Build and implement new features or tools.
Help us innovate and design next generation technologies.
Actively participate in code review sessions.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8db811c3b29ad04b&fccid=dd3b0a1fc99fe359&vjs=3
Machine Learning Engineer,,Kensho,"Cambridge, MA",,,"You have experience with advanced machine learning methods.
You have 3+ years of experience being a major machine learning contributor at a top company, hedge…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=08e8fb23177f530e&fccid=278b465fce581bba&vjs=3
Software and Machine Learning Engineer,,MIT,"Cambridge, MA",,4.2,"Will play a key role in developing and managing a data pipeline, including local and cloud-based components; and apply the latest machine learning, computer…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8db4f20a4061b2b0&fccid=71cf745ec1b3aae4&vjs=3
"Scientist, Artificial Intelligence (AI) / Machine Learning (ML) – Summer 2021",,Charles River Analytics,"Cambridge, MA",,4.3,"Experience implementing solutions using machine learning, causal reasoning, natural language processing, knowledge representation and reasoning, search and…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1bb95772adfa9661&fccid=fd70a4a10ea0b4c7&vjs=3
Machine Learning Practitioner / Data Engineer,,Smartvid.io Inc,"Cambridge, MA",Remote,,"Supply data to our machine learning engineering team through our data pipeline.
Our AI engine, nicknamed “Vinnie”, uses deep learning to analyze video, photo…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c3a74cc066e4fd81&fccid=64b726545d5abfa6&vjs=3
Deep Learning Engineer,"$90,000 - $120,000 a year","Data Science Works, Inc","Boston, MA",,,"Competitive machine learning experience (e.g. Kaggle).
Design and build machine learning models for scalability and accuracy.
Deep learning: 1 year (Required).",2 days ago,2021-01-15,"https://www.indeed.com/company/Data-Science-Works,-Inc/jobs/Deep-Learning-Engineer-0cf08743fb154802?fccid=1762d95941814bb3&vjs=3"
Machine Learning Engineer,,Cohere Health,"Boston, MA",,,"Build reliable and scalable production machine learning systems.
You have at 5 years experience in applied ML in the industry with a degree or higher (MS/PhD)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f8df7ec4fada89d8&fccid=2ce3a21e0a968aec&vjs=3
Machine Learning Researcher 2021 Internship,,Motorola Solutions,"Somerville, MA",,4.1,"Our AI team is focused on all aspects of 1) designing, prototyping and developing solutions (algorithms and architectures for object detection, classification…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5b289501ce51d053&fccid=22ec6ef3cc441ac2&vjs=3
Machine Learning Engineer,,Burst Inc.,"Boston, MA",,,"Experience in machine learning algorithm development.
PhD degree or Masterâ€™s degree or equivalent work experience in machine learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=73bbd0bf18ecc1b8&fccid=00c2bbbce21b7586&vjs=3
