job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Technical Sales Engineer / Pulp & Paper,"$85,000 - $100,000 a year","Precision Roll Grinders, Inc.",North Carolina,Remote,,"An interest in machining, machine shops and roll grinding.
The candidate must reside in one of these two states.
Ability to travel 80% of time.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CO1ZpdYgOSopVYc1sP6QQxSvgdlNWjzxnxHM1FKDCHKNGl4GdqPVYPHB7fHOZqbsSzmDNUEGEE3AM1C4pwesQlJ-1PMB9zfS1CZno-2RoemSUQOKMXr4ETdVrz1YDli-S3TSCFo6Gh-pmKa-kAWFlFr-U8-571rarEN9Z4EeE_0T82Unw_kKb-qUZysJhhc-g1kbf_6sQbn0FpIIFbPC4gWGOVl-Ck_-XK_rh9x3vchn0eQnq3OI_3scsL0S7LxRRirC2ohxVYfZ3xs322aRAxs44iRzTXrPKKxEvQFqZrymLFLJbfMqIFqtGM4VMrkpC8ul_ZFKGlpJLfkm70Vb9MV9hpnyVAYEYB92-1TjD8OMYCYqKQcSLcmRmL-7z6MmHUkD6_Jw-Nd5oCuw9zWmMs-cNg4hzp4W8N4odFjmURRlUzvaFlUmy6JwR7H4Sw9QZmYxcBza0vuOTUXvYjvj_KqYKPoAKVkystQzkFJjc1qfqwi-UvKjzKOHojjqJ204A=&p=0&fvj=1&vjs=3
Big Data Platform Engineer,,Infosys Limited,"Charlotte, NC",,3.9,"Working experience with Machine learning libraries, H2O, NLP is preferred.
Infosys is seeking a Data Platform Engineer (Bigdata/Python/Data Science) with…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RVaA8iczdPfPoxSXyh0kqDw6TuAXvJL6buIz3P4YM_Mpg5PUOQ2VDb2VutCGh8fIqKLh_brYlSCEqsVEpqE3NdWyiyotGn96N4M8g6FdgWImeb5nASVCHnrSEb-o1DN923azXXh8v2lm_1IvctG8Ij0KuVKL5VK44vBiEsb4b1aRkaQ4tnXL0K_FpRZ6NWBx4zsSW4CeNIuh9NiQ0Rr_k6KItsdrW2g26XYaLFjTWQ8ns0gOLuYTUizyyXOTZSyM2QBY0EFTrHob6qLfYdXeFM0Lz5AvCI8NYin0k0DOicReR_rf6KhN8PMifxSBT7eS5VI01oYTKDvlykOG0be_Ev5CLk2FhawQzA68PKIPTQ3pBOd576YJlIwgnSmZZ5sVbprPLtNWVoQiA8Fp6Kg9TrpYDweOnNm3n4BWSnFvWPtfJM5TyzBtLFMNk4GE9Z2VrKb7TuxWqGnytst-r87YrTl-Caq9Hj9nLuVT7_M7u0FHV-jaokbe7i9X_swzijnN2hWrkvWH1z7lgnMiz0AddFk=&p=1&fvj=0&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQluxw4IPuMXwrvmQKGw0xfAflxKmcudFnqUQaLFy2a8BfGhJvJmNGcVLD9itdxUtByyn8ecH-62sIy6TLSCOLjvMCy1Uh8GKltG6DV7Qrx36hgLKp0IBcd2KHUXDI7WUnQOxuwwsZMscx2r-46whW5mqyofZIPT0DNsl7tdORAh0oscQ4XWR5YgnOwOtsAVKtLbtiQgO31dC_1w1cvX2oFyh7otpzKa6nzVMk562EkPXBaPueGyBQ5kXvZ2rMjCsRD5QsgGX-hL01SfDEU2e5RfCYJy21B0RwcMohTlFEkgNG5RS-IyYM9dqSR5hnwAvEpwYVopc4WSe&p=2&fvj=1&vjs=3
Machine Learning Engineer,,Universal Logic,"Charlotte, NC",,,"The job entails working with a dedicated, highly educated team of engineers to develop and implement machine learning algorithms and robust reactive robot…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44afaa6f2aa60431&fccid=62f69cfae54b5af9&vjs=3
Sr Software Engineer - Machine Learning Platform,,Lowe's,"Charlotte, NC",,3.6,Provides mentoring and guidance to more junior level engineers; may provide feedback and direction on specific engineering tasks.,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b21f1b9c4091f47f&fccid=9a55d5dc8c10ef41&vjs=3
Machine Learning Engineer,,Botkeeper Inc,"Charlotte, NC",Remote,,Botkeeper provides bookkeeping to businesses using a powerful combination of skilled accountants and automated data entry through the use of machine learning…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a0cac97e6f7edb72&fccid=80b98474118bfc17&vjs=3
Junior Software Engineer,,Caring.com,"Charlotte, NC",,2.8,"As a Junior Software Engineer, you will operate in a DevOps environment, playing a role in developing, deploying and supporting Caring's internal business…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=91466acc7bd03690&fccid=99c6581894ffc011&vjs=3
"Engineer, Innovation & Development",,Sealed Air Corporation,"Charlotte, NC",,3.6,"The engineer needs to be comfortable and capable to communicate with both technical and non-technical audiences.
Design and scaleup of new products.",20 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e13fbd69c056cf45&fccid=66c010dc97a69d7c&vjs=3
WorkFusion Machine learning Consultant,,Infosys Limited,"Charlotte, NC",,3.9,"Infosys is seeking a WorkFusion with Machine Learning experience.
The candidate will help manage Cognitive Automation Projects.
Net development is a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3a5cdba6cf6190e6&fccid=c67533a523c83a4c&vjs=3
Embedded Software Linux Engineer,,SnapAV,"Charlotte, NC",,3.4,"Experience with computer vision and machine learning.
The Embedded Linux Engineer will report to the Embedded & Control Systems Senior Manager and will be…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=8180eee015720537&fccid=8bc0890481358146&vjs=3
Software Engineer,,Wells Fargo,"Charlotte, NC",,3.7,"Employees execute an engineering-led IT strategy to deliver stable, secure, scalable and innovative services that provide Wells Fargo global customers ‘round…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e2d532cedaebd5bd&fccid=78bbcd26e39621f5&vjs=3
Sr DevOps Engineer - Kubernetes & understands Azure,,DXC,"Charlotte, NC",,3.2,"An experienced Sr DevOps engineer with hands-on experience in implementing ML Ops for multiple Machine Learning Deployments.
Design and Architect the system.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=78726f0ee50926ab&fccid=feaabf8e6a699d3c&vjs=3
