job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBGlH16a83DRZ1beNjJ7TfRIWk4pB2SUDiSluxwhY8vwvZ7BQcduGJupV6uoNDcKdv_7nC-S0Q3z_cnpqgSC9FTtwvNq-JvMoCQvRDI_rz-kKQHUUtpvdAwLO-fUFiss0PKxLEfP_RFUDZwIlJR8Rltsg67KSZN4tZlAsailJhRazfUAk9P2_RLsyVuDKQoWrJaASIik3c4I1CChQteU6w7JBnbx9Kr1yJKs_o0FMjpQ-4g7y0eUhAnwFRqUHb9H-4IQ5z9HA8NkHLB1R9RVynp-0Klvss-rbi_wQAlOjkTQM=&p=0&fvj=1&vjs=3
"Associate, Machine Learning and Computer Vision Engineer",,L3Harris Technologies,"Cincinnati, OH",,3.7,"The successful candidate will join an engineering team developing statistical learning models and real-time active, passive, and multi-spectral optical systems…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=54a6a85781098c01&fccid=6c6be4ac01722b08&vjs=3
Machine Learning Researcher,,Reconess,"Cincinnati, OH",,,"Hands-on experience in Cloud base machine learning – advantage.
Research track record with peer-reviewed publications in academic conferences and journals in…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4b909a9306fe9e7a&fccid=c6d318e9a444c9bd&vjs=3
2021 MD Engineering Development Program (MD EDP) - Summer Internship,,Johnson & Johnson Family of Companies,"Cincinnati, OH",,4.2,"Opportunity to work in a fast-paced cross functional, technologically advanced corporate environment in a program focused on developing individual engineers…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=e4430765c2313ba7&fccid=0bed8e17bc113980&vjs=3
Data Science Engineer,,Triangulate Labs,"Cincinnati, OH",Remote,,"Proficient with Python and/or R and current high-performance machine learning libraries.
Triangulate Labs is looking for a Data Science Engineer who will work…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=981acc88e8b53811&fccid=f1678279740a4c2b&vjs=3
Automation Engineer - Machine,,E Technologies,"West Chester, OH",,3.6,"Detail oriented with strong technical aptitude and desire for learning new technologies.
The Automation Engineer role requires an individual have a diverse…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=1a739dd8c9ce1e5c&fccid=265e1fc981776067&vjs=3
Electrical Engineer I,,Honeywell,"West Chester, OH",,3.7,"Build business acumen while learning to address customer's technical needs.
You will provide professional coverage of Technical Support Helpdesk with a specific…",29 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=c3870018cd2d9619&fccid=50208b5bf45ee3b8&vjs=3
Advanced Data Engineer (KTD),,Kroger General Office,"Cincinnati, OH",,3.5,"Any experience with operational data science, machine learning or artificial intelligence solutions.
Accountable for leading activities that create deliverables…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=31d418cc70bf6ca9&fccid=50996180ba6219c2&vjs=3
Maintenance Personnel,,Fairfield Inn & Suites by Marriott,"Cincinnati, OH",,3.5,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=e8cd2617bf128bac&fccid=4f81adbc3bdd4acb&vjs=3
"Maintenance Engineer (Eastgate, OH)",,Tharaldson Hospitality Management,"Cincinnati, OH",,2.8,"Replaces worn or damaged parts such as hoses, wiring, and belts ,in machines and equipment.
As a maintenance engineer you will work varying days and hours…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=ab4cb25d8d50f004&fccid=9bd288ca5f6a8e44&vjs=3
Sr Data Engineer - Remote,$76 an hour,Vaco,"Cincinnati, OH",Remote,3.7,"Develop and maintain machine learning models used in pricing.
Experience with supervised and unsupervised machine learning algorithms (clustering, decision tree…",25 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6ucb1F785PLHw-sHw3qPGZwf_zNhGog2kGV4fn_wzGkWxQnWQTzjSF1kRujIpPdaoPMs3xl7_M9aUXlOtaFAD_R3dM5y0ynpBJsVriW5RGcmx2QwhvubgxHkxHY_e49wvSHPjo6Pt4SFUxQQJKYIkxCUxV-OLCMsNu1WfEsVeYdtZ8SVeLN9S91UoFuveqeyEbrrpJ_EMM-Cjmo8DyTlk99rbZZSDCRfkjAo15GtHaZJGBIMAJrJ7pm78OrcHkLIasOmyajzwo10O9Tx4BTUz6EnEIrImdKi0I3wQ677HNzZnSSV13fic6oCEXNO6wNCOBt4kUsn62VS0V4RJ764iDNg2hT5Gb7bYSq4f3FwmHaadHYUkCpwjaXWVbOhxxVTI1EVzFKvJNgOu9bX-_ERZztG1PEM8WJQXvPXO6ksLdgsZNfJaIz9rsEYZlSucVDPn6nuCZOhsWpJQ==&p=10&fvj=0&vjs=3
