job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Technical Support Engineer,$16 - $21 an hour,Tek Experts,"Colorado Springs, CO",,2.8,"As a customer-facing support engineer, your role will be to provide phone and email-based technical support to corporate customers while ensuring ticket…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dip-xoA_hM8LsUKagSvTIEnq952BrDvnsDOaRYSpHdq3qrzrAbfTle_OLNttdKMRhuvgLgznYy5emq3VP89algWAXWBMDve0lIoOyAYC6GhE7EngcR2VldQ-khHZRCeF5TO8MCOTTkC6UMMJaBoJ1itanBLR1p0soh14tw3js_s5zSjCZ_tw91rpKFQyTA-P55o0ekbxgPe8fNpXI4SMyPfPjdBHsl9Zahzay41AwM4iBmO7TW52ZBFrdT_gM5yrhs_H0zGgdNmhnQ-HkV4Qk5qLlQFjZ1ydoYHO54xuMEXta5vhFakTbXooQz7kaDjBF105ejiTMOMKajN8Zn4xMdLxAEwN41DszBw_POXA4b-jBNrY4MzFdhxJOJRC6r9X34r5OUtYBB3To1Xq583IE6Y9TTEo-N7cobVYfEPVDbQqF1eCSJ47uRFAzjXQNF4YxQuxveocavm8quLrts3Ue38aIJ3xAw73kjwZcFkMEQHAoPde6iZD7F&p=0&fvj=1&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAXljRkoPWlHuerx_RLd5Wo94W1tPj58mUsYILY0OHJXt-fydlc1wl6Lvz_1ZyLU6FMUNs-35RxgWPuJKaMSP71ZeElgU0Do6grRRaFrNNeWwBvBnRSxMp9p1A4S4DZQwImntRqf_lDKhfjoe1RriS41VYhVsdqJRBRQR7md96K8EI4quzWuhBA1-7IWmUE4bUeUH8e3zq2Lb8aqNefRFSk0Y_WZe0QoRuF7V9n2d0XIX1w35U4SDPXSY7rjYLqpVb5Rn4P63E5GJFMqGhSc8qbFhX_JqC0vduvMggHoE4bLHNOTDlaSA9Sg==&p=1&fvj=1&vjs=3
Principal Software/DevSecOps Engineer,"From $92,000 a year",Northrop Grumman,"Colorado Springs, CO",,4.0,"Knowledge of operating systems, computer networking, modern software development environments, machine learning, and software configuration management tools is…",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5iS8XzvhMBNb-YUiKXgZEia1qRiC5IX6bj12iRiPv_bkEoeZbdpf5UF1bdo2spjUPui_yvt01sJLjGCvZS319sOWxbp_mo_GmFAgO7etODSmbOd4min_J5Zf_wyQ9kJXboskjY7szwIFTo8iwlBcU3Gl64lL8vSbr4P_BcdNBkTQYAHDKsN9AiLDPP8CzU7AWquHwBM7GCWCI0Xb38jSyVI2XIm16ivv5LTpofIvrWtvA_2YtDt8PsKtyTxVkKmkAoISZOlFcHmJJvW2wLRzpZs9FvAUI2HyXVr1GdhjguLyRp_3ckGiU3mWF9KtOL_4EgDEgsn4EV-KXK0b4nm50z3cRk_hgyU-nWwrxbQ2I8eIMDj1QAxmzsRdJs881prbrA4CM1TQpvk6cCKGl7spX4lrvAzBy6cr97GQOB6n_C8eHhh66cOSfuOVOsujrR0nClx3zCGdDpoS-nH1AT9fwd8FSLE4MQSJxpj0EfpxWsvJVm4V4pch-1UsR-lKntXALNEYNJjvM7FWkZEan_TzzLGRwLr38INdssg21nP0l6fLBfFyoj-bo&p=2&fvj=0&vjs=3
Test Automation Engineer,,Billtrust,Colorado,Remote,2.8,"Collaborate with Data Scientists to understand data and machine learning model.
As the Test Automation Engineer, you will design, code, and maintain automated…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnS4XqWCiGvQj5YfT7h3CnhqhN0NEYTDnD71jl-FtRaABn_TLH7H1ZA6SV-FbvYknbBLAQLlrLm3bfZylZpKKxG6PNlecEkSUxnUKqGZDGvVc37zI0QrV4o-zn1hr_n2O3h6MWKg-RMfuc5taeNDbapnQuoYFnahpXOyjFuF-6Wt8wRL0z6otMuWJB1xmNoR0FhvPDzWmLHPZd8shGuOFuUQ0ZaEbyZR1FxMKziEMcgRTLwhfl4O7-D1dC4H3puFH3nwUfHJ0dcALDxpRezmKwg1fbl77BIxu-MO3a-nG7Ap9an5Rr0LYG4fehmTT1gxn4ea5-vfZW2sO7KkVTrr5uNcdQb0BFQGiY5RUx5KlLEhcXQnFezSAbee2uokC38f1ZWR1V4_8twgk45JSM8zFKvdVeIdRXkPg7_nAQI-KOOQ8Ij1iXJbQvdXVjGSzUDmj_yT5NQ-5XzBmJw-VD8jQeXpcWQW1PJVjNbAnbPaUlWHTB7eoYIIWp9EpSdjnHgsdpZgozJ56ULEMdnP4GzKNgPlaw7fJBVZbTyCUN9h-Osk5l36KZxwyZ&p=3&fvj=0&vjs=3
Junior Data Engineer,"$55,000 - $85,000 a year",BombBomb,"Colorado Springs, CO",,4.7,"Employ machine learning tools to enable new product features and outcomes.
A Junior Data Engineer eager to learn and collaborate with those around them;…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=583194fac36c98ff&fccid=6a20cac22144c4b5&vjs=3
Sensor Engineer,,Mitre Corporation,"Colorado Springs, CO",,4.0,"Experience with image and RF machine learning models and techniques.
Coursework and/or internship experience in signal processing and machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0624a8470e62616a&fccid=30bd8a58380c700b&vjs=3
Software Engineer,,Numerica Corporation,"Colorado Springs, CO",,4.5,"Machine learning: supervised and unsupervised learning, clustering, and classification;
Implement high-performance software spanning the spectrum from tactical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e6cfe947a758aef&fccid=ef9b8264670c0127&vjs=3
Senior Artificial Intelligence/Machine Learning Architect(AI/ML),,Jacobs,"Colorado Springs, CO",,3.9,"Use scripting commonly used in machine learning applications or advanced data analytics.
Apply state of the art methods using machine learning and artificial…",21 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fdd8af5a2303d71&fccid=de56d7554bea5214&vjs=3
Technical Aide - Summer Early High School (Colorado Springs),,Mitre Corporation,"Colorado Springs, CO",,4.0,"Students must be available to work full-time (40 hours per week) for 8 weeks from Monday, 7 June , through Friday, 30 July 2021 .",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a4b627202805abc0&fccid=30bd8a58380c700b&vjs=3
ELK Stack Engineer,,Hired Recruiters,"Colorado Springs, CO",,,"Prior experience working with data science, machine learning or natural language processing.
Must be Secret Clearance eligible.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe6513bddab96e5d&fccid=547ddf8bc07ce2c9&vjs=3
