job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Engineer,,Event Dynamic,"Dallas, TX",,,The Data Engineer at Event Dynamic will utilize their meticulous attention to detail and data analytics to solve real-world dynamic pricing problems at scale.,8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzeGWOjRdOR2DdzguH-JnvuerQhYKM8ycpn9HUixiNoz37HNBW9SwHPKmTAhH2bKUt4RDFUQ9cshrHKHGQwpIYvrBfIniaXwm-FvV6Nk70VV_w3Uv5LQ7jQxioyfhiPCC7axsNqJeGbOGHe_3RvWSSO3ZVJP_Je6hE-GW9pQOe7ZVor0VIkmJJrhNjLzjkJCB9mGzIdLGKwbzWIRy556M3PCrZwLJDLLtM0ACtmzlHX8v-1m4xuXfRKTvJCMUBiIbfjX3kZsNIzHHdTZzNObbN4FVfow_6NATvNaEqzWFNW-XUVUu5iGqQkbhEopii2Wfd7MOApKRgyRPnERnZbRK8CObz22mbTh9ONCO_LTtS53ZVUYJ3sc6bDGcj2V-TC9vXPvwNhn9PJedi8-x0fxUhE1VMXP2YSEn0xT--hsKeLB8e4oqOhB6x0dFyS2TOgape1zlx4k7gAzcri2PzPnZK&p=0&fvj=1&vjs=3
Machine Learning Data Engineer,,nFolks Ltd,"Dallas, TX",,,Knowledge of or experience in building production quality and large-scale deployment of applications related to natural language processing and machine learning…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=87e91d47f6c841f9&fccid=269420b9b62a41ba&vjs=3
AI / Machine Learning Engineer,,Twenty20 Solutions,"Irving, TX",,,"Create high-performance implementations of deep learning algorithms.
Relocation: This position will not cover relocation expenses.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9eaa7780400f85d&fccid=df9b560b75683fbf&vjs=3
Machine Learning Engineer,,Kinetix Trading Solutions Inc,"Irving, TX",,,"Developing and implementing advanced analytics approaches including statistical modelling, machine learning algorithms, text mining, regression, web analytics…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b9a258f8f90846dd&fccid=7b3aebcaf91a3dfb&vjs=3
Machine Learning Engineer — Computer Vision,,Honeywell,"Richardson, TX",,3.7,"Design, develop and deploy experiments to improve efficiency of machine vision algorithms.
At least 3+ years practical experience in machine learning algorithm…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e38fc8ac259a9b09&fccid=50208b5bf45ee3b8&vjs=3
Machine Learning Engineer,,Syncroness,"Dallas, TX",,4.2,"Experience building large-scale machine learning pipelines, using Kubeflow, Google Cloud ML, AWS Sagemaker, Microsoft Azure ML, Spark MLflow, or others.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2f3f116320f914ca&fccid=1ffa03ea1730f7c2&vjs=3
Big Data/Machine Learning Engineer - Sr,"$93,389 - $147,614 a year",Ursi Technologies Inc,"Plano, TX",,,"2+ years of experience working with Dimensional Data Model and pipelines in relation with the same 2+ years experience with Amazon Web Services (AWS), Microsoft…",8 days ago,2021-01-15,https://www.indeed.com/company/Ursi-Technologies-Inc/jobs/Big-Data-Machine-Learning-Engineer-13da48088d412796?fccid=4080d24e411d5a46&vjs=3
Machine Learning Engineer,,Okaya Corp,"Irving, TX",Temporarily remote,,"Develop and implement ML solution/projects using TensorFlow (preferred) or any other deep learning.
Responsible for interacting with business users and collect…",8 days ago,2021-01-15,https://www.indeed.com/company/Okaya-Corp/jobs/Machine-Learning-Engineer-f6167a03434d627d?fccid=260eac8588af7088&vjs=3
Data Scientist Machine Learning Engineer,,Plasma Computing Group,"Dallas, TX",,4.0,"Experience with implementing various machine learning algorithms.
Experience with performance optimization of machine learning models using the CUDA platform.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8141efa09435ec95&fccid=62962e7b20e362c4&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKnb8S-ik02X3vXBR41I-kNOJy9EsQ2OOTZbCAJDpYNxQE71WQ2jM94Ogoayg0JtKRlqfIM4K6kEfx7niAb38X4R1FdmwW-6ZKP3BF4qydVoYe38l4KRp9MBvddNUbmy0ZmwCa0-T3k1Q6YF9F3LXyUInoO-GrN3w_e9rRNz2_y6AXDgTmbMFmMyVk3RgJknhuBm4Olu9XvP8wueheQfozVOXTrCwj_bXpjrStLw1ROt8tnzYrWD_SOC2fgdRgRSvjn60CFQ-2UXBUoQtIhvwHPeZjlurFZQ7cqp0mNw88L6AjbI9NiT53uVBOSPyrQg9wmMUhswYclvg=&p=9&fvj=1&vjs=3
Machine Learning Engineer,,Careers at Dialexa,"Dallas, TX",,,"Develop machine learning models to automate business processes and decisions.
Training machine learning models (Scikit-learn, Tensorflow, Keras, H2O.ai).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75e6d74a291bf68a&fccid=65ca23786f3e16e3&vjs=3
Machine Learning Engineer,,Ntelicor,"Dallas, TX",,4.4,"Specifically, the Team is responsible for developing and delivering a Data Innovation Environment that will provision data in new and innovative ways.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5081a73e75852a69&fccid=612f466be50483fe&vjs=3
Application Engineer,,Toyota,"Plano, TX",,4.0,Apply disciplined software development processes and utilize leading-edge technologies to engineer and implement automated solutions to business problems.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fb09b798ba5fda6&fccid=90f0cbc4a30f8dba&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Dallas, TX",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=fa69d9801fb863f0&fccid=9e215d88a6b33622&vjs=3
Principal Machine Learning Engineer,,Toyota Connected North America,"Plano, TX",,,"Work with Product Owners to define the KPIs for machine learning projects.
Use statistical and machine learning techniques to create scalable solutions for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7856339ced8d19c7&fccid=dd616958bd9ddc12&vjs=3
Application Engineer,,Toyota,"Plano, TX",,4.0,Apply disciplined software development processes and utilize leading-edge technologies to engineer and implement automated solutions to business problems.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fb09b798ba5fda6&fccid=90f0cbc4a30f8dba&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Dallas, TX",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=fa69d9801fb863f0&fccid=9e215d88a6b33622&vjs=3
Principal Machine Learning Engineer,,Toyota Connected North America,"Plano, TX",,,"Work with Product Owners to define the KPIs for machine learning projects.
Use statistical and machine learning techniques to create scalable solutions for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7856339ced8d19c7&fccid=dd616958bd9ddc12&vjs=3
Early Careers | Engineering - Full-Stack/Back-End - Software Engineer - Associate | Dallas,,Goldman Sachs,"Dallas, TX",,4.0,"Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=841bae9dc254214e&fccid=16a97ed26c75bf2d&vjs=3
