job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,"$120,000 - $170,000 a year",Human Capital Resource,"Louisville, CO",,5.0,"Familiarity with machine learning/computer vision techniques.
3-5 years experience in deep learning applications; self-driving cars, reinforcement learning,…",8 days ago,2021-01-15,https://www.indeed.com/company/Human-Capital-Resource/jobs/Machine-Learning-Engineer-1b7a6b7d850f3935?fccid=8a408433383a9b67&vjs=3
Data Center Engineer I,$24.04 an hour,"JPMorgan Chase Bank, N.A.","Aurora, CO",,3.9,You'll work directly with clients to Build strong customer relationships and problem-solve technical issues to make businesses more productive.,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9cd83b7567b9d2af&fccid=aaf3b433897ea465&vjs=3
Machine Learning / Computer Vision Staff Engineer Sr,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,"Broad technical skills including computer vision, machine learning and computer programming/ architecture.
With an appetite for accepting risk and a drive for…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f41467e1037ef1df&fccid=aeb15e43a6800b9d&vjs=3
Machine Learning/A.I. Engineer,,Josh.ai,"Denver, CO",,,"This role will focus on learning capabilities, applying machine learning and pattern recognition software to help make Josh.ai smarter.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0f209ebbd7d32fcb&fccid=1f8a038b1c3a5e19&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Denver, CO",,VMware,"Denver, CO",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffdf2d92e5b24aa7&fccid=c762a27145bd166e&vjs=3
Machine Learning / Computer Vision Staff Engr,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,"Broad technical skills including computer vision, machine learning and computer programming/ architecture.
With an appetite for accepting risk and a drive for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8a5918624e4e1ea6&fccid=aeb15e43a6800b9d&vjs=3
Machine Learning Engineer,,Activision Blizzard,"Boulder, CO",,3.7,"Expertise in machine learning workflows.
The ML Engineer will develop and operationalize a Recommendation system for our in-game store.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09f4b459d5d556bd&fccid=5d8bf3b744324c09&vjs=3
"Machine Learning Intern, Natural Language Processing, M.S. / Ph.D, Summer 2021",,SoundHound Inc.,"Boulder, CO",,,"Participation requires that you are located in tje for the duration of the internship program.
Work on building large scale Statistical Language Models, a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=235120e196901222&fccid=80413c126d4e4312&vjs=3
Summer Graduate Internship: Machine-Learning for Power System Operation,"$39,600 - $63,500 a year",National Renewable Energy Laboratory,"Golden, CO",,3.8,"Develop and implement machine learning models for power system stability assessment.
General knowledge and application of power system operation and machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bea3bcbbb1f9044e&fccid=b4ae64835618776c&vjs=3
Data Scientist Intern,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,"Working with experienced engineers, you will support the software engineering lifecycle following the program Software Development Plan (SDP) to include…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=05443a10a0c2f9f2&fccid=aeb15e43a6800b9d&vjs=3
Machine Learning Engineer: Audiences & Attributes,,Oracle,"Broomfield, CO",,3.8,"To be successful in this role, you must be equally an expert in machine learning and big data software engineering.
Experience in Python or Java.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9129972a016b06ea&fccid=cd22d01053af7669&vjs=3
Computer Vision Engineer,,Imidex,"Denver, CO",Remote,,"Knowledge: Foundational knowledge and experience with machine learning, deep learning, computer vision, CNN’s, etc..",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1164d3d8f7679a8c&fccid=668655d2bfb76f37&vjs=3
Machine Learning / Computer Vision GN&C Engineering Staff,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,"With an appetite for accepting risk and a drive for innovation, this team intends to employ the latest advances in machine learning, autonomous driving, and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a3a7ac239517b82b&fccid=aeb15e43a6800b9d&vjs=3
Machine Learning Pipeline Engineer,"$110,000 - $120,000 a year",Pearson,"Boulder, CO",,3.7,"5 years professional experience as a software engineer.
BS in a quantitative field (CS, EE, statistics, math, data science).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f278d4e1b891c53d&fccid=915b1c0ee87e5e8a&vjs=3
Data Team Administrator,"$83,838 - $125,757 a year",Denver Health,"Denver, CO",,,"You will design, build, and support data integrations, ETL workflows/pipelines, deliver analytic solutions using Tableau and machine learning software, while…",4 days ago,2021-01-15,https://www.indeed.com/company/Denver-Health/jobs/Data-Team-Administrator-7465cdfc9bdc99d4?fccid=eea2bcd76451aabf&vjs=3
Data Team Administrator,"$83,838 - $125,757 a year",Denver Health,"Denver, CO",,,"You will design, build, and support data integrations, ETL workflows/pipelines, deliver analytic solutions using Tableau and machine learning software, while…",4 days ago,2021-01-15,https://www.indeed.com/company/Denver-Health/jobs/Data-Team-Administrator-7465cdfc9bdc99d4?fccid=eea2bcd76451aabf&vjs=3
Senior Machine Learning Research Engineer,,SoundHound Inc.,"Boulder, CO",,,"Work on building large scale Statistical Language Models, a critical system in Speech Recognition.
Run experiments and tune parameters to improve Statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=46e79528d9e2c67f&fccid=80413c126d4e4312&vjs=3
Technical Engineer,"$40,000 a year",Greystone Technology,"Denver, CO",,4.2,"Experience installing, troubleshooting, and maintaining peripherals (scanners, fax machines, printers, etc.).
Systems Administrator, higher level Help Desk/Desk…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8c1e5f403b13146c&fccid=c70349c1ebc85334&vjs=3
"Senior Machine Learning Engineer, Speech Recognition",,SoundHound Inc.,"Boulder, CO",,,"Understanding of modern machine learning techniques.
Innovate on state-of-the-art deep learning systems for speech recognition and speaker recognition.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a9b1eb1cc52d4383&fccid=80413c126d4e4312&vjs=3
Machine Learning Engineer,,E Source Companies Llc,"Boulder, CO",,,"Work experience should consist of a proven track record of efficiently designing, developing, and releasing machine learning software product both independently…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c02267f10b4b702e&fccid=2a5d204d1a2df598&vjs=3
Senior Machine Learning Engineer,,AMP Robotics,"Louisville, CO",,,"Familiarity with machine learning/computer vision techniques.
3-5 years experience in deep learning applications; self-driving cars, reinforcement learning,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a6a3b9d710593768&fccid=3d6ab2abd54b25f8&vjs=3
Electronics Engineer II,,Cimarron Energy Inc,"Wheat Ridge, CO",,2.0,"Work with electrical and hardware engineers to select the best processor, microcontroller, or DSP for the application and system.
Lift up to 25 pounds.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=66c41060bb8ea770&fccid=fd8fb6d6908fe758&vjs=3
"Machine Learning Intern, Speech Recognition, M.S. / Ph.D., Summer 2021",,SoundHound Inc.,"Boulder, CO",,,"You have experience with modern machine learning techniques.
Apply deep learning techniques and neural networks to improve acoustic models for Automatic Speech…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a8449469cb28eba5&fccid=80413c126d4e4312&vjs=3
Associate Reliability Packaging Engineer,,ArdentMills,"Commerce City, CO",,3.1,"Establish best practices, repairs schedule, predictive-preventative maintenance routines, and install machines, tools, and equipment on pack line.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb7a291e6d6abe6e&fccid=fa5cb6935afc62d0&vjs=3
"Engineer, Process Innovation","$67,700 - $101,500 a year",Ball Corporation,"Westminster, CO",,3.7,"Working knowledge and/or experience in one or more of the following areas: metallurgy, materials, process equipment, industrial data analytics, controls and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aad27babae917ee1&fccid=b037a338aef47a20&vjs=3
Design Verification Engineering,,Geotab,"Denver, CO",Remote,3.4,"Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=49de3ebec9a2ac92&fccid=31921a4bf53a6026&vjs=3
Machine Learning / Computer Vision GN&C Engineer,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,"With an appetite for accepting risk and a drive for innovation, this team intends to employ the latest advances in machine learning, autonomous driving, and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a34fff545ff97e0c&fccid=aeb15e43a6800b9d&vjs=3
Manufacturing Engineer Technician,,Miller Coors,"Golden, CO",,3.8,Acquire and analyze data as it applies to the manufacturing process and utilize that data to determine machine health in the manufacturing process.,29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b25c419f719ab68&fccid=5e8e72b76f3429c8&vjs=3
Data Science Engineer,,OpenTable,"Denver, CO",,4.1,"Experience implementing Machine Learning models.
Experience building highly scalable and highly available systems.
Deep understanding of the JVM.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=25b2d922b7ea03c7&fccid=5263009547a8ce19&vjs=3
"Senior Machine Learning Scientist, Natural Language Processing",,SoundHound Inc.,"Boulder, CO",,,"You are adept at machine learning algorithms.
You have publications or research work in applying deep learning methods to natural language processing.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27bfc6d8bde3a76f&fccid=80413c126d4e4312&vjs=3
