job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQubyzVyCprW7Md1IfEHybR2y2oAA7BGfN9xFWzgJVCAfvLyqyO8ratHALAZUB71MfLSwGTLCeqVm8P7UEExlN_ZK8MitMo5pikUfJeKXiPyzTF1xnHf2W3NiUN8GifyDMiAPqvkuS6NXriojIWp1hvIbRS-pdrRIMMcYdeqWL0yc29iBT_eogTUV6PIqtecWwDLtEM_NfvSikvjCDdEOnsrxtaApFpmblt1H_5N3UDslBSt8rKcgSg44gQUYzAB2lakBSrnODoXgPoETys3o2Y7Y4omt9xTcqr1uNgY8AegR7gz6mvEg7MbjMl3NOowmYNjfLh1O2uvCLPi6vueldvo=&p=0&fvj=1&vjs=3
Machine Learning Software Engineer,,Johnson Controls,"Boca Raton, FL",,3.7,"Passion for machine learning & data analysis.
Ability to technically lead and guide a team of machine learning experts.
Languages: Python(preferred) or R.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4bc88a1603ed5279&fccid=dacddaa4d49537d8&vjs=3
Support Agent,,WheelHouse IT,"Fort Lauderdale, FL",,3.3,"Resolving simple or fast tickets on the spot (the longer you’re with us, the more frequent this will become).
Setup and configuration of hardware.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3002cabd3aef043f&fccid=1ec5607658298974&vjs=3
Machine Learning Engineer,,MDVIP LLC,"Boca Raton, FL",,,"Expertise in using Python, R, Deep learning in development and enhancement of models.
As a Machine Learning Engineer you will be working with business…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cff331842709a873&fccid=4b05d30e9827d4c3&vjs=3
Machine Learning Developer,,Viramar Worldwide,"Fort Lauderdale, FL",,,"4 or more years of hands-on experience developing big data, machine learning, and/or AI applications.
The Machine Learning Developer will work with a team of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0f2b7fae2d3a86c&fccid=5b7359346506364a&vjs=3
AI specialist,,Fresko,"Miami, FL",Remote,,"Experience with deep learning-based product development.
Strong background in deep learning and serious understanding of state-of-the-art DL / DRL techniques.",5 days ago,2021-01-15,https://www.indeed.com/company/Fresko/jobs/Ai-Specialist-0008f6504ce3f1b5?fccid=95201c0c4a4a67e2&vjs=3
BIO-SIGNAL PROCESSING ENGINEER,,Aventusoft,"Boca Raton, FL",,,"Background in the areas of signal processing, pattern recognition, machine learning, detection and estimation theory.
Experience coding in C/C++.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fb98c0b2275aeb82&fccid=a1e531fe2c6c1b04&vjs=3
Engineer III,,Performance Hospitality,"Fort Lauderdale, FL",,2.2,"We offer an ongoing Performance Hospitality Leadership Series (PHLS, Weekly Webinars, e-learning courses).
Troubleshoot and repair malfunctions in mechanical or…",24 days ago,2021-01-15,https://www.indeed.com/company/PERFORMANCE-HOSPITALITY-MANAGEMENT/jobs/Engineer-8459d571ae5ddab6?fccid=a41bf1334b090a99&vjs=3
Additive Manufacturing Design Engineer,,"Beehive3d, Inc.","Deerfield Beach, FL",,,"Knowledge and experience deigning parts for leading AM L-PBF machines such as EOS, SLM Solutions, etc.
Support and drive design engineering’s learning and lead…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa2301e08cb4cad6&fccid=77a7e92195cf55dc&vjs=3
Sales Engineering Training Director,,BlackBerry,"Sunrise, FL",,4.0,"Industry expertise (cybersecurity, ransomware, machine learning etc.).
5+ years of instructional design experience and excellent knowledge of learning…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c653dba6b63793ca&fccid=a311d3f78a9495c2&vjs=3
