job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQuvYG077_u9InNECxT3hRBX5zpsajGxzCpHg59rJb2lSnTSBhvEBFNYA2zcvP5e21DuqVQdjCg4f-rY4zIk8RyJxRWNKmC1mKH87z-hUzL1XgDhDvg5yBbRIwPr_ZoKinRLwh3QlbCntQGvJw3YrrVzG7UiLF8M-0Y0Nyt5W3yfQSAmccVH6xliADy5tkCnx_-papVqxtGVXD_qjuE2AQ3Xzr6UTeRAEKgXvcJQ47ep2dFfkEeJ0UWd3Owf_Fc-40WPvs39rrAe-aeot7qKSvRoHe2qfrlt1uoD6YzslH6iSIF0Q4w5T_173ih2IRhgcQORPEpyQRd6H&p=0&fvj=1&vjs=3
Firmware Engineer,,Oceanit,"Honolulu, HI",,3.8,"We currently have software work in natural language processing, image processing, cyber security, scientific data analysis, and machine learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=893134c9ac3d62c4&fccid=034f8cff1fde8afa&vjs=3
"Software Engineer, Mid",,Booz Allen Hamilton,"Honolulu, HI",,3.9,"The right interface can make a system easy to use, encourage early adoption, and save time and resources.
We’re looking for a developer with the skills needed…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f9c4ec22fc523f07&fccid=4e041af1d0af1bc8&vjs=3
"Data Engineer - Camp Smith, HI",,"EKS Group, LLC","Camp Smith, HI",,3.8,"The successful candidate will Employ different data analytical concepts and scientific techniques, along with collaborating with collection managers, knowledge…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40375db2aaccd276&fccid=562f2bab3a2aa58f&vjs=3
Senior Systems Engineer,,La Jolla Logic,"Hickam AFB, HI",,4.0,"As a Cybersecurity engineer on our project, you’ll analyze the cyber posture of complex DoD/IC systems, provide critical expertise to mitigate Cyber risk, and…",30+ days ago,2021-01-15,https://www.indeed.com/company/La-Jolla-Logic/jobs/Senior-System-Engineer-0fe6377d9689d351?fccid=14a9cb182a8b56b2&vjs=3
IT Manager/Specialist,,La Jolla Logic,"Kaneohe, HI",,4.0,"Assist information engineers in coding, testing, implementation, and documentation projects.
LJL has a reputation for performance to the highest standard,…",16 days ago,2021-01-15,https://www.indeed.com/company/La-Jolla-Logic/jobs/IT-Manager-Specialist-759e21621fcc43ae?fccid=14a9cb182a8b56b2&vjs=3
Field Service Engineer,,Novetta,"Honolulu, HI",,3.5,"Problem solve complex IT topics and take initiative to recommend and implement solutions.
Positive attitude and user support oriented, willingness to teach and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e078f8a34a84a6c&fccid=1d69e9a5b2cfbeca&vjs=3
Enterprise and Application Services Domain Architect,,Leidos,"Honolulu, HI",Remote,3.7,"This position reports directly to the NGEN-R Chief Architect.
Under the NGEN-R Service Management, Integration, and Transport (SMIT) Contract, the Leidos team…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=043a2af3978f9f83&fccid=8765a4045377753a&vjs=3
Cyber Security Services Domain Architect,,Leidos,"Honolulu, HI",Remote,3.7,The Defense Group of Leidos currently has an opening on the ‘Next Generation Enterprise Network Re-Compete’ (NGEN-R) Contract for a Cyber Security Services…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e42c9e2aedae25af&fccid=8765a4045377753a&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Honolulu, HI",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f778be2c4e400bec&fccid=9e215d88a6b33622&vjs=3
