job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBNmdEX-kqsmpnkXxzY1dKw3bVMPPsRTjuk1eIAaQLaVWUUwM7DEjwMrDJvyKuO1_-FAmzx8iscogrLCzaTeUB2RcNnASPtW4H8uV9SEhZWeTL6wt2MiBDyfPuOLkgdYxdYzEPzzcgjlHq2PXKw1jF7LPUwf9-pvK2Hh7j07E7xpbtt4MHQxAg5dHRJq6EF_k7EmJUwYbr97Elq-GyEPR2qwwBs66V7jm-WequYZpSbl5qF_WPEFbulo66dMHdkpVPrO0EqlwdhTj91R642wxgvRUZMvg2TIhL7XVwX80ELb4=&p=0&fvj=1&vjs=3
Engineer (603004),,Aramco Services Company,"Houston, TX",,3.8,"Knowledge in IR4.0-enabling fields, such as digitalization, modeling, machine learning, programing, prototyping, AR/VR, mobile development, and/or AI.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=fee0627f0c798b11&fccid=ef89562afd5f2b4e&vjs=3
Engineer,,aramcoservices,"Houston, TX",,,"Knowledge in IR4.0-enabling fields, such as digitalization, modeling, machine learning, programing, prototyping, AR/VR, mobile development, and/or AI.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d8308d3c1d521ad6&fccid=6d390bc3a47cd8a7&vjs=3
Machine Learning Operations Engineer (Research Group),,Houston Mechatronics Inc.,"Webster, TX",,,"Architect infrastructure for general software and ML components.
And development of ML components.
Ensure the quality of your projects through documentation,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=8e5cf4f5ca26881c&fccid=1958d1bce2c17c1c&vjs=3
Facilities Engineer,,Crestwood Ops - PMC,"Houston, TX",,3.4,"Ability to operate a computer, copy machine, fax machine, calculator, telephone and other miscellaneous office equipment.
Travel 25-40% of the time.",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=367ff929cbaa652b&fccid=9af1d9b38d6db4df&vjs=3
2021 MD Engineering Development Program (MD EDP) - Summer Internship,,Johnson & Johnson Family of Companies,"Houston, TX",,4.2,"Opportunity to work in a fast-paced cross functional, technologically advanced corporate environment in a program focused on developing individual engineers…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=3c9e5c607fc837e0&fccid=0bed8e17bc113980&vjs=3
Software Engineer,,"JPMorgan Chase Bank, N.A.","Houston, TX",,3.9,"BS/BA degree or equivalent experience.
Advanced knowledge of application, data, and infrastructure architecture disciplines.",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=2edc97eab0cf2279&fccid=aaf3b433897ea465&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Houston, TX",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d789748ac9c100cb&fccid=87f38351bd29de24&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Houston, TX",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=a05477a40d7c5671&fccid=9e215d88a6b33622&vjs=3
Engineer I - Land Services,,EHRA ENGINEERING,"Houston, TX",,,Supports engineers to complete planning; research preliminary design; and may be required to perform detailed design.,Today,2021-01-16,https://www.indeed.com/rc/clk?jk=f844f00d7b088f10&fccid=bf9ff9a0528b63dd&vjs=3
