job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Software Engineer/Machine Learning Engineer,"Up to $130,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,This engineer will work within a talented Data Science group and use modern frameworks and tools to engineer machine learning solutions.,1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXbToM0SyVXwR37Vd__cDVob_M83wRfKVOx5O9Z6S8UgwadlH4ApKwGVMTbw-WzXSjMwZ2P-oTQx7RXKJumPlFfdBVMZIXlmN276F7wJPeFNVqys5FFN7kElo7JwvBI3UC6uO0CqLsNqJbh7B3AV8lYWMEuEzXpmJaR9naUCMvoxbfV2yJU1Z7UF4Gj6pjiVehbsLbP6UTo0zKoJ_gHo1uNTkDJ_DBltLDVMJmuPXWJXN5q1vy_7o6ZWDh6gFXSDHb9SE7ZrtKic8jqTURqJ2dnrfvjqDg7RAfC4uykZoWRG8qCJGCec6jeswhclQPm-yBPYxxmZEEpEODMu_KYhLbk8QrjaGlAblspI2SVsumGsHevRAV7yg6F025ysl_d8mpp3gJzArVHRDV8VOnXTntBsbosCD7UYA_TRb99rdy6xCbdE7t2lGD3EGEihutTfEPW2bXLit1IDExB8CK4rlpuiWe-CnR0q-2NJCI-chkfL3V5RCpMwF4va&p=0&fvj=0&vjs=3
Engineer/Service Tech,"$52,000 - $60,000 a year",YUDO INC,Indiana,,,"Injection molding machine service experience is preferred.
Work closely with customers and machines to ensure equipment operates within expected tolerances.",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DociZaH14ZKyZdCSpK8NXDmOY-kAaVGcri4JeFIgA5XYHRZNeMUMDREZKoRax6jKx7QC88IsEzcg7nWwVBxoinIERIENgQi9-PIj2LGMuHsaBxfBrmHeMBGGUhbH2lL3WrzeLGLzoOHVz8z-xv1iTB9YdasXKEd3L0_GtHSzt3Q9yeVu9yUTbqg9waFsIy_mujfGlsTRARRti21B2kRTzjoPdo-uH05d7-1VoxygVpVl2gGMFWopnhp3gOhHadLqwYwbkAW3DFt4NTOvgzcSz9dW9KQOjyAFoFFzP2B6xl3Zq5h6LHD5sff7QtknSOs61pI1hNPm1KgMfR-STST3ruZ7w8iyYMzll8CDpfSXFk-Wa16YaupZtBq6S4lU4ytKtE2cjvEc2D-3QcJDCawXUG675rk2PBap7lK0LZDWrM4qxfVMr5QXAyiC200Xk9qGoBwaNN82KCF-c3hSFW82GSWTLnO0HdevxbQBgJT1Ihjw==&p=1&fvj=1&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBPPp9-qjBPWNDOR9Ft9j5eINuxtOhlCK58vjL-p9ZO__QIFXJRXR3eQBvUyD2ClncnPAg_HwHt0hliwTJqN1lV4f3Y8udmF6U41ar-p-DrBdlOdwhs2xNDjyA3pWzc615KUm5xsAWAo5-CAnNJNqouDrsXGYKd8KwriyiQjtZnN7_fwGbvE0X8BE8c3vW8J8kagGZ3hRNc-DvpBXB0WuGASCbVeOELAdCN5wpVVkfh2vKXKrV6XmODt1mf6_8SIeG7vv5_Kc9Icpm5RzQ4qKgeWBNJf1-I41Anx06ZGvWNr40qncO1Dx05w==&p=2&fvj=1&vjs=3
Senior Data Engineer,"$97,700 a year",Liberty Mutual Insurance,"Indianapolis, IN",,3.6,The team consists of a healthy mix of skills and seniority and this role will play a vital role in driving the continuous learning for the team through…,1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt9NTAJmjNG3ta_Cy0DC1kSuz10mt-yzljd5CVpA8aG2dpYoGiFPe3-xzT0qMQeNVyIJIw4IryIc-yzfgjexnaPH9AD58Tc53r1l3nmylXA3bqOGqGMsbGNSGj_fRA_hXpVNk1CSE0Fk8WtRuDiZwdyOE3FjdPBcAU0gALt3gUIzuwILrLSoeM61dCOO5Ol7tbJ68cTBqmTI2-zLwZbSx7hsjOdeegJeZV8DJJVilctayhXpH3qa7HpfM37B8WHgkXej1WUzpqrAomY1r3FnNkd-dP3QBNBiKmlVaAys1SykY5kQFAS5u39ek1RBQu7uCMaS34hEv7nK_3WdBSpMez_9BYuyMgHTV-rS4--gJyG4i0eUydaX3Ik6vNw1QPKSa2I0Yf-FM4t8FrSsMqXlUIwcANo1WVPNdpld34tXgxNcQzD3r4LAsdGJi9mexCcNYV3XXcyF-hTlvWRnv5XQ0YgJOgxkHmLoDJ3-eliIb_Akr0cm9_jAPzfNAKIu0vAw_QZDeYvgcP_qLwfz0ZciIqt6KE3lPicUNe2TK7T1O3OdSVQ_Ccsu5KG3dcOYk9mGW_7WKJCwfzSNM0jOOiGLm7Al-9x_8WTQRgS0HRzCgsvX_2LPh6LqWSGE1B6ZJ8UcjL1ulvfhfx_Xz-JdO2pho82ashi6RoJI-V9a2dwxhEc_L1ZVaf7bIEj7z4pCaAFzeF3q40MbogE0FjsJUJXjkGRpKBqdVOtR1vouWXGl94GlP6J4uMqM9EtLRI5HM3Hz58-h1HIoWr28cHUA-IOdhRyM4WuSy8Vhb2S5WR6C646WA6Ufv7zVKGB3Gz42sCqs8TgmWP6RObt4FPRLWY-xtBwJlHjoIHsGnKAqHSN0UIXq4XAlm3EqGHpaIcQ_D4BMpGr5CoB0PfWXc&p=3&fvj=0&vjs=3
Machine Learning Engineer,,Crowe,"Indianapolis, IN",,3.5,A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.,4 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d9cd029a6205ef64&fccid=994b5c764776123e&vjs=3
MACHINE OPERATORS WANTED!,,Viant Medical,"Indianapolis, IN",,2.8,"Follows blueprints and routings to determine machine adjustments as required.
1-2 years of experience running and setting up Trumpf Tru-Bend and Cincinnati…",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=dcb9dd587443567a&fccid=35b7faed56342f16&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Indianapolis, IN",,VMware,"Indianapolis, IN",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=534a464471aeb633&fccid=c762a27145bd166e&vjs=3
Process Automation Engineer,,Eli Lilly,"Plainfield, IN",,4.2,"Responsibilities include learning, understanding, troubleshooting and modifying process automation for vertical lift machines, automated storage and retrieval…",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=d5a9e61f720bd288&fccid=ac8d156b339793e6&vjs=3
Software Engineer | Mobile Robotics,,CyberCoders,"Indianapolis, IN",,3.3,"Computer vision, machine learning and data analysis.
Collaborate with a cross functional team of engineers in the development of the software and electrical…",3 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t6Vqi1e8ZlJgx1ORtq9Gi25k8zV4lF0QnssSziumZzr2gFkJFGPDV-G8olkCZI8X022yP5dYu9j2GwIS48_0Sgy-ZGB51yP_8h7AbLOH1OOY05Xnz3L7LViA0NLQOcOv5oP_eT-LotfxCXT3qQ61WIXFsrOiXoaRk63M_QVY7tGXdM_XgNuP0WV8yF4MhXa2ejZlrYjHmAA0rl5v31sP6bdSNKfg6pkIMx6dhpz_ElgIYVQS8_fbP7Oy3o9fQzDW62niprgiy1_legisZTEqpXbpjnovZhNhyoVNUBJOVSvEIzSHVokj-jwmOChwQU61J-aw3NOdSK_3wnl9bKwXFUPzruxPeHISq3Uqnvczb4xBvZMY0kAeQO7dZ0IpPCKsf2NYWFHxG_-zd0BHSyBW6XbN58ceN3-l3X7DMeqo-Odq9Fsa2Ae3GewJY9KMAiGPb3iQ5h8Z2lWI559vwfK81CkMnfj1qAV5weLt6qDdzgMO_aucTTj35viZbtsMYoC2aB0pVXP_zk7p-hunyOB55RmHJ8sV-MF5SPtDAHPQ5TaeyVhGp1WDPd6D8_bvZBo1Gml3pgLftGB5MzOQgVyEtG6JdijmyHAW87jWxeivOf4UYRMO7u4-VA1kUAv3NHzNqFsNb7fqa1uuqG_1ZIqoXoH48M0-KBvxxTOa0DQOn9wQrnQh9wxtv1c5kwWKvfE9vWACM_hwoKf6w1sjw6XYhU-Dr1CGmp0kXImuUWYCgBrWV6s_J-KQ5BR2v-6JZ1EVs66x8mkaD4JarXImen0Xgb0wYQskm6uEMJ05v8yVRBb4s-YN2s2CvYFnRGFltDMjyB3cJSlqxRIoPsdGaI_fKM1qG8OYlfRNvNtFfOiKwbq5sgewfDuWnHNkBTnqBcpGG1S4BrwHPenxELWC2PV_oGQh-NUAyMr4Tw=&p=8&fvj=0&vjs=3
Software Engineer,"$50,000 - $60,000 a year",Indiana University-Purdue University Indianapolis,"Indianapolis, IN",,4.4,"The software engineer's work will focus on algorithm design, machine learning, and proteomics data analysis.
The ideal candidate will have a Master's degree in…",19 days ago,2021-01-16,https://www.indeed.com/rc/clk?cmp=Indiana-University-%E2%80%93-Purdue-University-Indianapolis&ti=Software+Engineer&jk=f26b4a0541a3441a&fccid=cc9d0178e3f3b95c&vjs=3
Service Technician I - Amazon Apprentice,$16.50 an hour,C&W Services,"Greenfield, IN",,3.1,"Communicate with machine operators and operate equipment to detect equipment problems, analyze malfunctions, and verify system problems.",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=51bf50b89af1b282&fccid=dcf9f3a226c5e69d&vjs=3
Software Engineer,,MTD Products Inc,"Indianapolis, IN",,3.7,"Computer vision, machine learning and data analysis.
MTD is looking for a talented software engineer to develop commercial power equipment product for…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a57876c74b1a2491&fccid=124a34b275c9a939&vjs=3
Data Engineer - National,,"PONDURANCE, LLC","Indianapolis, IN",,,"Data science and machine learning experience.
This position will work closely with software engineers to provide the data back to customers, and also with the…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=01064ace283d43fa&fccid=bfa872c6fb523122&vjs=3
Software Engineer,,Jobvite,"Indianapolis, IN",,3.9,"Stay current on advances in machine learning.
Working knowledge of data analysis and machine learning a plus.",11 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=76309b6e1f86962c&fccid=e0da7cb10b988708&vjs=3
Software Engineer,,Canopy,"Indianapolis, IN",,,"Craft data analysis queries in SQL to build statistical models and power our machine learning.
You'll work with modern databases, primarily our SQL data…",7 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4149a8c4b2a74390&fccid=b401fe66874e89d4&vjs=3
"Manager, Engineering",,Litera,"Indianapolis, IN",,,"We are looking for a hands-on Software Engineering Manager who will ensure that the team meets all team and application performance metrics, follows best…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=b67174178d023040&fccid=9f183bcbbcbaf0d6&vjs=3
Senior Data Engineer,"$100,000 - $120,000 a year",Finish Line,"Indianapolis, IN",Remote,3.8,"Designing and building batch and streaming data pipelines to prepare data for analysis, reporting, exploration, and machine learning.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=85e76391ecd94f76&fccid=fc49ba29ac1ff036&vjs=3
Software Engineer,,hc1,"Indianapolis, IN",,2.8,"Our unique machine learning algorithms transform laboratory data into personalized healthcare insights.
The role is also critical to the maturation of all hc1…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=c50a24935433c3d4&fccid=9469abf5f30b5155&vjs=3
Big Data Engineer,,SpringML,"Indianapolis, IN",,,"You will be focused on designing and implementing solutions on Hadoop, Spark, Pig, Hive.
4-7 years Python and Java programming.
3-5 years of Unix experience.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=9f9007e8c3ac07d3&fccid=8ecabf9a66b75d46&vjs=3
Senior Software Engineer,"$85,000 - $105,000 a year",Luma - The Interview Intelligence Platform,"Indianapolis, IN",Remote,,"Work on modern data infrastructure and advanced machine learning algorithms.
Design and implement features across the entire stack.",30+ days ago,2021-01-16,https://www.indeed.com/company/High-Alpha/jobs/Senior-Software-Engineer-d09fc5ffca2281ce?fccid=dacccd7df4cc22f2&vjs=3
Lead Software Engineer,,Genesys,"Indianapolis, IN",,3.7,"You may work on domains like scheduling, forecasting, safe long-term storage of data, form builders, speech analytics, machine learning, data science, and…",4 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=6b63878b22a83c50&fccid=78ba8c9950e5297a&vjs=3
Support Software Developer,,hc1,"Indianapolis, IN",,2.8,"Our unique machine learning algorithms transform laboratory data into personalized healthcare insights.
As a member of the hc1 Technical Service team, you will…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=32ef4c45c1fd85ae&fccid=9469abf5f30b5155&vjs=3
Lead Data Engineer (remote),,ThoughtWorks,"Indianapolis, IN",Remote,4.2,"That’s why we’re such vehement supporters of open source and have made significant contributions to open source tools for testing, continuous delivery (GoCD),…",24 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=aa31d44afa457e9e&fccid=3c650abdba68c61a&vjs=3
Software Architect,,hc1,"Indianapolis, IN",,2.8,"Our unique machine learning algorithms transform laboratory data into personalized healthcare insights.
Hc1 is seeking an innovative Application Architect with…",17 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=1d7f4336fe11e6d6&fccid=9469abf5f30b5155&vjs=3
Data Engineer,,Moser Consulting,"Indianapolis, IN",,4.2,"At Moser Consulting, a data engineer / bi engineer, performs advanced (senior-level) data analysis and data engineering work.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=10cb85be4233cffc&fccid=b7e79246d922f0bc&vjs=3
Senior Software Engineer,,Zotec Partners,"Carmel, IN",,3.0,"Share your experience with big data technologies and machine learning /AI.
Collaborate with other engineers to learn and share knowledge of modern development…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=2f9bb41f348b85fd&fccid=b6e390e3753371af&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Indianapolis, IN",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=0b1e3beb4801e9d0&fccid=9e215d88a6b33622&vjs=3
