job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Specright Inc.,"Irvine, CA",,,"Combine several different machine learning algorithms with domain knowledge into sophisticated ML workflows.
We help consumer goods and manufacturing companies…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3a4073ef84efec76&fccid=816e85e01ea45b35&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKldAfPMyEUvk5_8klo7nU65oWSqD31EFJ74Vn4rF_DmttC2X6WP2yxbSBEjDwCvgkzkDKJreQ_kEy-dTqHw3SKQMNaM4SEcpOFhnmQYF-2iJ17VY5-9JAMCiV6yAoUAS-pQq81oyHHNvQutKDTLKco3yljg_wYPTq2u5nEnsyVYrFch1eZ81QKc5NlA2_zE00YxoQS3Q0W0ZwmAO8Oh12PN-mQGfbYuwbezuWBBtJjOFH7oDUV1SOpK2S4hjN11iKyBwkUK-_nXE6_MgWWeVE7Qn2V_L22Ho4_V5udLf0byywWjC4YK7U7n8eGY6YFHQB--AvXaTMKY8=&p=1&fvj=1&vjs=3
Data Scientist/Machine Learning Engineer,,Ephesoft,"Irvine, CA",Remote,3.6,"Deep understanding of machine learning algorithm internals.
Familiarity or experience across multiple machine learning model types (SVMs, random forests, CNNs,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=de59e211722bf61f&fccid=7e2592fc84fe0072&vjs=3
Machine Learning Engineer II (Monday-Friday 8:00am-5:00pm),,Glidewell Dental,"Irvine, CA",,3.3,Works with other machine engineering leads to continue to mature the use of machine learning within the organization.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2744412c5c8cf09c&fccid=8370302f2482a790&vjs=3
Estimation & Tracking Engineer,,ANDURIL INDUSTRIES,"Irvine, CA",,,Estimation and Tracking engineers at Anduril develop cutting edge software for autonomous operation and situational awareness.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=62c9201dda94c4c5&fccid=ee6807b900a9998d&vjs=3
Perception Engineer,,ANDURIL INDUSTRIES,"Irvine, CA",,,"Multimodal machine learning and sensor fusion.
Perception engineers at Anduril develop cutting edge software for autonomous operation and situational awareness.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fddad2b37aed1d6e&fccid=ee6807b900a9998d&vjs=3
Security Engineer,,Viant,"Irvine, CA",,3.0,"Experience hiring and managing security engineers.
The Security Engineer will be tasked with improving security of the company’s infrastructure, protecting…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=fc9d1703a9491b7c&fccid=6b2768124959d4d4&vjs=3
2021 MD Engineering Development Program (MD EDP) - Summer Internship,,Johnson & Johnson Family of Companies,"Irvine, CA",,4.2,"Opportunity to work in a fast-paced cross functional, technologically advanced corporate environment in a program focused on developing individual engineers…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a823cbaaeaa5efce&fccid=0bed8e17bc113980&vjs=3
Computer Vision Engineer,,ANDURIL INDUSTRIES,"Irvine, CA",,,"Deep understanding of machine learning fundamentals.
Passion for machine learning and related fields.
Research and implement computer vision and machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b54d901b729cc543&fccid=ee6807b900a9998d&vjs=3
Machine Learning Software Engineer,,Irvine Sensors Corporation,"Costa Mesa, CA",,3.8,"The Machine Learning Software Engineer is responsible for performing software engineering tasks to aid in the development of ALERT® computer vision software,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d0370a69de8f74a&fccid=1242f95ed21b0bca&vjs=3
Artificial Intelligence (AI) Engineer,,Zuum Transportation Inc,"Irvine, CA",,,"You will be joining the Product Development team in identifying and implementing AI/ML strategy and projects, coding and refining ML models, and working…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5ebb4119d4d688ea&fccid=dd616958bd9ddc12&vjs=3
Software Engineer II,,Glidewell Dental,"Irvine, CA",,3.3,"Create AWS dashboards for various automated machines to show performance matrixes.
Design and implement AWS cloud architecture for IoT based machine monitoring…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=34b49738ad486263&fccid=8370302f2482a790&vjs=3
Data Engineer III,,Glidewell Dental,"Irvine, CA",,3.3,"Maintains and updates documentation for data engineer processes and procedures.
Collaborates with the business community to identify, analyze and document data…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=57e4cdf23e4757b9&fccid=8370302f2482a790&vjs=3
Animation Engineer,,inXile entertainment,"Tustin, CA",,5.0,"Firsthand experience with standard animation techniques such as rigging, skeletons, state machines, ragdolls, IK, compression, morph, facial animation, etc.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=77b9dd7673347e36&fccid=3f322de11527d722&vjs=3
Software Engineer (1 of 3),,Johnson & Johnson Family of Companies,"Irvine, CA",,4.2,"Experience working on one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c297d91a729a110e&fccid=0bed8e17bc113980&vjs=3
Software Engineer (1 of 3),,Johnson & Johnson Family of Companies,"Irvine, CA",,4.2,"Experience working on one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c297d91a729a110e&fccid=0bed8e17bc113980&vjs=3
QA Engineer,,Mi9 Retail,"Irvine, CA",,3.7,"Mi9 cloud-based solutions incorporate the latest innovations in AI and machine learning to boost system intelligence, automate manual routines, and deliver…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e054110be2f79b06&fccid=6d156186a999dc9e&vjs=3
Machine Reliability Engineer I,,Niagara Bottling,"Diamond Bar, CA",,3.0,"Selecting features, building and optimizing automation processes using machine learning and data acquisition techniques.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b2cfd17019c8a21d&fccid=9df0cb1c6971d940&vjs=3
Data Annotation Supervisor,,ANDURIL INDUSTRIES,"Irvine, CA",,,Our engineers also apply classical techniques in computer vision to perceive environmental features for pose estimation and GPS-denied navigation.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4b43a3bddb2a6497&fccid=ee6807b900a9998d&vjs=3
Artificial Intelligence Engineer,,Masimo,"Irvine, CA",,3.6,"Design train and verify machine learning models.
3+ years of industry experience in artificial intelligence, machine learning and deep learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2f06c5f27bb064c6&fccid=a50c3f331564a694&vjs=3
"Senior Associate, Visualization Data Engineer",,KPMG,"Irvine, CA",,4.0,"Solid analytical skills and basic understanding of statistical and machine learning models.
From applied AI to optimization to big data platform engineering,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b2d92844598c0867&fccid=2dd390c3a48a7ed0&vjs=3
Application Engineering Intern,,Altair Engineering,"Irvine, CA",,4.2,"Altair transforms design and decision making by applying simulation, machine learning and optimization throughout product life-cycles.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0bcca1f17c02bff0&fccid=3453268f43beb582&vjs=3
Data Scientist,,DIANAVI Corporation,"Irvine, CA",Temporarily remote,,"Utilizing commercially available machine learning model is highly desirable.
Must understand fundamental AI and machine learning concepts.",1 day ago,2021-01-15,https://www.indeed.com/company/DIANAVI-Corporation/jobs/Data-Scientist-5c48b8f9f2d1cbc5?fccid=6750ee8845146ff8&vjs=3
Data Engineer,,QOS Networks,"Irvine, CA",,,"Interact with data scientists and analysts to implement statistical modeling, machine learning and advanced artificial intelligence features.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=074a33a0f4415de4&fccid=6a837b7548c3cafd&vjs=3
Sr. Staff Software Engineer,,The Trade Desk,"Irvine, CA",,4.0,"Our engineers have deep knowledge and exercise a high degree of leadership in their daily work.
You have a sustained track record of making significant, self…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a0e6ee2efa92e626&fccid=4899a85209d20142&vjs=3
Site Reliability Engineer (Monday-Friday 8AM-5PM),,Glidewell Dental,"Irvine, CA",,3.3,"Conducts presentations and trains engineers on observability tool usage.
Develops enterprise-wide instrumentation strategy to support real time observability,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa651989990ab2bf&fccid=8370302f2482a790&vjs=3
Perception Infrastructure Engineer,,ANDURIL INDUSTRIES,"Irvine, CA",,,"Familiarity with machine learning, computer vision, and/or robotics.
Lead the design and implementation of robust and scalable C++ libraries and infrastructure…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9bb1965edfae54e5&fccid=ee6807b900a9998d&vjs=3
Data Scientist,,Mercury Insurance Group,"Brea, CA",,3.6,"Demonstrated skills in data mining, machine learning and optimization.
The team member will work closely with cross-functional teams of software engineers, data…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bab5b647bbb8816a&fccid=12d79f18bd0c9aba&vjs=3
Software Development Engineer - Systems Intelligence,,Amazon.com Services LLC,"Irvine, CA",,3.6,"We apply big data and machine learning techniques to systems datasets at Amazon scale to drive efficiency.
Exposure to Machine Learning/deep learning projects.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=437140396097610f&fccid=fe2d21eef233e94a&vjs=3
ML/DL engineer,,Syncroness,"Irvine, CA",,4.2,"Experience building large-scale machine learning pipelines, using Kubeflow, Google Cloud ML, AWS Sagemaker, Microsoft Azure ML, Spark MLflow, or others.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=de0f74cbd2740b96&fccid=1ffa03ea1730f7c2&vjs=3
Software Data Engineer,,Viant,"Irvine, CA",,3.0,"Work with product owners, QA engineers and fellow engineers.
Our platform uses advanced machine learning techniques and the newest big data processing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4e5322f48c4ada7b&fccid=6b2768124959d4d4&vjs=3
Software Development Engineer (Internship),$14 - $21 an hour,"Vista Laboratories, Inc.","San Clemente, CA",,,"Serves as administrative liaison pertaining to administrative needs for the laboratory engineers, and as administrative/certification support for the company.",30+ days ago,2021-01-15,"https://www.indeed.com/company/Vista-Laboratories,-Inc./jobs/Software-Development-Engineer-c946da820f78e3a6?fccid=a6f5126afef34012&vjs=3"
