job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",,Citi,"Jacksonville, FL",,3.9,"Whether you’re working with a project manager to set a realistic deadline, helping demo a product to a business partner, or working with internal stakeholders…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2e8a5eaac52a039&fccid=5bcd1ef0a7f4fb99&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAABiB8Ck213bKaeZc3wtltFSzK8m6u5jj86jEu3ie9j8szva_uyR2Q1hB2783444wJbB67lvloAQqFRTOsRlhpOexvNjiSpHl9bnfID-HrIqfaeSGGxOc5K2l-cf0YX_xVaElBLxuKsdVeCL77pzix9a_6DIJMbEWvd-VIindV0I4I5IQ1VnJS2tUHai29MHAA4UT_GVDUEnLfiCo5DJ9TDTRYAxUizP4hk4zFzNWfH_X2fvTpWeqT3-7GqmjWBqONmCjLr0kUF8to6j2Zo2lxtFZprwzNSzaoqRecDdKCBHyZQKbkUoYoQ==&p=1&fvj=1&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Jacksonville, FL",,VMware,"Jacksonville, FL",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce8be2b14df943df&fccid=c762a27145bd166e&vjs=3
2021 MD Engineering Development Program (MD EDP) - Summer Internship,,Johnson & Johnson Family of Companies,"Jacksonville, FL",,4.2,"Opportunity to work in a fast-paced cross functional, technologically advanced corporate environment in a program focused on developing individual engineers…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3c9e5c607fc837e0&fccid=0bed8e17bc113980&vjs=3
J&J Technology Co-Op - Fall 2021,,Johnson & Johnson Family of Companies,"Jacksonville, FL",,4.2,"Analytics co-op will have the opportunity to work with various aspects of Johnson & Johnson's business collecting data, analyzing, and applying machine learning…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b5eab6a1dc528023&fccid=0bed8e17bc113980&vjs=3
Data Engineer Specialist,,FIS Global,"Jacksonville, FL",,3.5,"Experienced (relevant combo of work and education).
In this role, you will develop core versions of software applications, identify technical specifications,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=23dda08e03ef33fd&fccid=728c395148e5a2db&vjs=3
Data Science Engineer,,Forcura,"Jacksonville, FL",,,"Demonstrated experience in information tagging, machine learning training, and experience in applying these skills to machine learning algorithms to solve…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c4f8774d597232f5&fccid=d88993f0c01012c3&vjs=3
SOFTWARE ENGINEER,,Made In Space,"Jacksonville, FL",,3.0,A strong background in implementing machine learning methods and the understanding necessary to apply them to novel circumstances.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f1163ba6fab2385c&fccid=d92de26c99ec3989&vjs=3
Drexel Technology Co-Op Program Spring 2021,,Johnson & Johnson Family of Companies,"Jacksonville, FL",,4.2,"Analytics co-op will have the opportunity to work with various aspects of Johnson & Johnson's business collecting data, analyzing, and applying machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0094bc5849c93d76&fccid=0bed8e17bc113980&vjs=3
2021 MD Engineering Development Program (MD EDP) - Full Time,,Johnson & Johnson Family of Companies,"Jacksonville, FL",,4.2,"The length of the program will be dependent on business and learning needs.
Opportunity to work in a fast-paced cross functional, technologically advanced…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=45eb6be1c12fa079&fccid=0bed8e17bc113980&vjs=3
Mainframe Service Reliability Engineer,,Citi,"Jacksonville, FL",,3.9,"Familiarity in building Machine learning models and Python programming language.
Responsible of IT Service Automation to reduce cost, reduce risk, improve…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=95b3214deca08cf2&fccid=5bcd1ef0a7f4fb99&vjs=3
