job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAZs0JgDNoZS1BKQsLOs5_Ln4LeawZu3A0wayaJoinG0Jvq2mjU_XwE767C6AvnmpMuS4H7NDjlFc3XGRxPizbixctz6yvFBZDYZ3uOi2drn8gNYK0RjmiriYo-nfAhp8ip_VbGkhMje7rd_4uKyeEIdDnu-oPbmvWpgvF8iYtZI4DIQ1sy4Hf1pjp1cg5wjDFX9JUtGor5rktcikvWo6vRT26UQt-jVnYXky5YJXBtHfI66eXwEmldZqYXCQBpPKiJ4qy0d8Cnqf900L0F1r88CsoVlOj5mqoGylZLs0KFCMn36FQqOMMyg==&p=0&fvj=1&vjs=3
Staff Data Engineer,,Burns & McDonnell,"Kansas City, MO",,3.7,"This position collects, integrates, aggregates, transforms, and wrangles data at scale to enable data science activities, self-service analytics and production…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7WEdIQIOKhhOe7MdAzQ7B09iw3g7zk54JBUxo2Ew1NuS2RnUTvRAK6eoWQY8Lfsuni5oQvP88kjH6UkUH95OI8jl1Wkg-z5zenH0YwKNSyVIxTwq4V5kEJEJH4z0gB1qkvIggW9T5-sdSP-CiX1vgPS03yPxNqWiNDugk3Kv-BMdTUs-qF8hJSCw0KtMYCdLTqwOdZepuleop6uTysb-5eGDY0KhRsZPAKhZDy-XBr9D9gArJbc49lxFZf56ZVbtKqjRR1XqBE2PPLEaCH0sCHKhYOEc_Sm4LrSUNw_moAHOm0RPuPxjcEniHHh-4KIW0d08DqJ8RZGq3CIIACE5HnM8RJ_a1qLeRxGZRE5IXZg8zuKrg3B4VUBAijmOc4FDaEyHqc_gJznooUCM9_mFoepSKjtoU30IKQ4pugt7OFJ1G5M7dtaeCD3J9cIT4YthvtL1we4nO1rXJS7-nxy8fkvNuJRcdfAz7goDG5Xj8H_qGQBeaEGKFOyY4iJgvkpJ2hsrjXdFUDU-cNZ7HpO8B&p=1&fvj=0&vjs=3
Industrial Engineer I,,YRC Worldwide,"Kansas City, MO",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4c154f5e82d72256&fccid=8339402281be00cf&vjs=3
Performance Solutions Engineer,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4307e66ebf5010f5&fccid=8339402281be00cf&vjs=3
Systems Administrator / Cyberinfrastructure Engineer - 28777,,University of Missouri,"Kansas City, MO",,4.1,Examples of the kinds of leading-edge projects this position will work to implement in collaboration with campus researchers would include analyzing the effects…,13 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f22576e5355d6685&fccid=314c3b8d7f6c3a27&vjs=3
Artificial Intelligence Intern,,RMSF Corporation,"Kansas City, MO",,,"Experience in developing software system with machine learning services.
Research and develop machine learning algorithms for pattern detection in real time.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2904df09c3744962&fccid=793b1705d1e3b387&vjs=3
Senior Data Engineer,,Cerner Corporation,"Kansas City, MO",,3.5,"1 year of Big data or cloud technology work experience including data analysis, data ingestion, data modeling and/or machine learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c608471a18d146d&fccid=95fa2b94b684ec6b&vjs=3
Cloud Engineer,,Executive Recruiting,"Kansas City, MO",,,"Will be ready on day one to take the lead on Cloud initiatives and infrastructure.
Youll be the main resource for Google Cloud hosted Kubernnetes deployments…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6db973962884159f&fccid=5ae8e21b6e07c798&vjs=3
Data Scientist,,Kansas City Southern Railway,"Kansas City, MO",,3.2,"Capable of building engineered features to create machine learning models.
Experience with time series, random forests/gradient boosting machines, neural…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7054f96596ca53bd&fccid=c344c1210f98623f&vjs=3
Controls Engineer,,Catalent Pharma Solutions,"Kansas City, MO",,3.2,"Understands advanced machine functionality (e.g. PLCs, servo motors, controls, pneumatic function).
The Controls Engineer supports both clinical and commercial…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9412e2297062345a&fccid=fe0933928b3bb3ad&vjs=3
Full Stack Web Developer,,Sellozo,"Kansas City, MO",,,Advanced analytics and reporting along with machine learning and automation make Sellozo indispensable for both individual sellers as well as Agencies and…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5ef31e73f54874cb&fccid=7678abe5bca8f599&vjs=3
End User Engineer I,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fec41ee4cf223ed6&fccid=8339402281be00cf&vjs=3
Manager-Engineering,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88f6b09ca0d146cc&fccid=8339402281be00cf&vjs=3
Data Engineer,,Pollen Inc,"Leawood, KS",,,"Familiarity with data science and machine learning concepts or methodologies.
They also work closely with talented scientists, engineers, and data experts to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8288c3601492b43e&fccid=4e789cb202eb6ae4&vjs=3
Network Engineer II,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffa469f80b8bc4de&fccid=8339402281be00cf&vjs=3
Data Engineer,,Pollen Inc,"Leawood, KS",,,"Familiarity with data science and machine learning concepts or methodologies.
They also work closely with talented scientists, engineers, and data experts to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8288c3601492b43e&fccid=4e789cb202eb6ae4&vjs=3
Network Engineer II,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffa469f80b8bc4de&fccid=8339402281be00cf&vjs=3
Storage Engineer II,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a65ab91d3c407614&fccid=8339402281be00cf&vjs=3
Industrial Territory Sales Engineer,,Schneider Electric,"Lenexa, KS",,3.9,"From the simplest of switches to complex operational systems, our technology, software and services improve the way our customers manage and automate their…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1d1c0c9a37f45c01&fccid=8dc4399ddb463d4a&vjs=3
Data Scientist,,TEOCO,"Kansas City, MO",,3.6,We also want to see a passion for creating a roadmap for robotic process automation/machine learning/artificial intelligence and innovation.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=14793c6eed68788f&fccid=337c4b5e07c43198&vjs=3
Full Stack Software Developer,,Giant Media,"Kansas City, MO",,,"Giant Media’s team of account managers, engineers, data scientists, operations and marketing specialists are experts at creating unique and innovative video…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=54f39d6e33d3c260&fccid=199ba9e8be1ae275&vjs=3
Technical Project Manager,,Fishtech Group LLC,"Kansas City, MO",,,"Experience working with developers/engineers.
Fishtech CYDERES is a Security-as-a-Service offering that can normalize and correlate multiple types of telemetry,…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=492dc37968c6c525&fccid=646e30c542e9c230&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Lenexa, KS",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=abba0e476b7f2bbd&fccid=87f38351bd29de24&vjs=3
Senior Software Engineer,,CommunityAmerica Credit Union,"Lenexa, KS",,4.0,"As a key member of the Enterprise Integration Platform team, you will participate in designing and developing complete cloud based microservices and integration…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7c71012839d77695&fccid=3fd83b861f9f1532&vjs=3
"Engineer/Regional Production Manager - Kansas City, MO",,Midwest Industrial Rubber Inc,"Kansas City, MO",,,Currently have 5 product lines that need engineering support as virtually every product made on various machines around the company require a CAD drawing.,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=13c8839bed28da7e&fccid=e4d5bd35a6603452&vjs=3
.NET Software Engineer (Map Import Team),,Garmin,"Olathe, KS",,3.8,"Experience with Python, machine learning and large datasets.
Demonstrated ability to serve as a lead software engineer for a complex software project.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=21ae0aefa2fdfd55&fccid=70a994275a3b9062&vjs=3
Senior Big Data Engineer,,Ascend Learning,"Leawood, KS",,3.4,"Knowledge of machine learning/distributed systems is preferred.
Build and maintain data infrastructure and pipelines to support data and analytics, including…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=35b2ffc62cddf6f7&fccid=42617d9556ba22c4&vjs=3
Senior Information Security Engineer,,YRC Worldwide,"Overland Park, KS",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b9250326fa55a38d&fccid=8339402281be00cf&vjs=3
Eaton Electrical Services Systems Early Talent Program – Switchgear Modernization Internship,,Eaton,"Lenexa, KS",,3.8,"The intern will consult with engineers, manufacturing, marketing and supply chain when required to solve problems.
Travel: Yes, 25 % of the Time.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0baf6dd2bd4adab&fccid=87f38351bd29de24&vjs=3
Data Science Consultant,,Accenture,"Overland Park, KS",,4.0,"A minimum 2 years of leading in the “new”; for example, working with machine learning methods, clustering, regression, optimization, and neural networks.",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27c655d3b7773272&fccid=a4e4e2eaf26690c9&vjs=3
Technical Project Manager,,Fishtech Group LLC,"Kansas City, MO",,,"Experience working with developers/engineers.
Fishtech CYDERES is a Security-as-a-Service offering that can normalize and correlate multiple types of telemetry,…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=492dc37968c6c525&fccid=646e30c542e9c230&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Lenexa, KS",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=abba0e476b7f2bbd&fccid=87f38351bd29de24&vjs=3
