job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAwXXdZxAaO69tNs2Cfj-N_AqqShSHqWT2s2dhoC-pXX4dxSktokczG4qBD-1QU91VVXHR6HBmb6Ai1qRE8XYqlq8C9jfI3qkCM_jhXIeC1FnQAv1W85kxv--3-7sPweh4aFmKUGkv1WGZG9jlE2yT0VfWS-4WIphIN_KCXKzQeC_ChjhnNhnOXFwCwICUPn2s82unqwRIO-2mSA4-G5jGqB08ODmnKvtV_NFrC64EyhqRGsr5FsdD9gJdaaYVqBJ0g7fxmvs5W_ZTyg4zW0ak_qmj-4BeOo6XGeKaL-xOr8k=&p=0&fvj=1&vjs=3
QA Engineer - IT,,Wynn Las Vegas,"Las Vegas, NV",,3.9,"5 + years of Experience Quality assurance engineer.
Strong understanding of technical concepts related to hardware, software, physical machines, virtual…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5cbdec592d217f1c&fccid=af76d73f5727d91e&vjs=3
Artificial Intelligence or Big Data Engineer,,KTI - Kari Technologies International,"Las Vegas, NV",,,"Familiar with common machine learning and computer vision open source libraries;
Have a solid foundation in mathematics and machine learning algorithms,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=768025aa47a16e54&fccid=ceaf990fd1949a6b&vjs=3
"Maki Postdoctoral Fellowships, Hydrologic Sciences",,Desert Research Institute,"Las Vegas, NV",,4.1,We are seeking recent PhD’s (<=2 years) with demonstrated skills in applying quantitative and innovative approaches to addressing research problems driven by…,18 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=706efc95b4c8e587&fccid=27c1483653c5f79b&vjs=3
Data Scientist II,,Ryder System,"Las Vegas, NV",,3.4,"On this team, a Data Scientist will get the chance to be the machine learning expert, collaborating with Data Engineers and Analysts, using all their skills in…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D31HecsZnCCw9qqvpsD9_vh33AQqJiqawrUhKlWEySOdwz1WY-5wyqnRxnI7w6s3zzco-fBKhWyC6aXpETslVmuj81nD5Iu0GMwkU-O0rbIBW84dQE1AkzgPfzaTT0TBejWO7JJeBfOQ2YlNxpXsL8NbDzgC4cg7RtYARxx2-js5mXJ2g8NxjTBSz-ZjlGvC-teDrINAyKcX4g8sPMKveEg-15nwgXlZcEUUxwlGeXxRedqxQT8BDBSrc9iohPGQFuzm2wvACqkg8JfumZ4wd0R3a7mX3LyMwQGD2PV2WLdlqRJZr5F0-u8q8IA0mgVIXdAHr-EWtnF9DQhP57yKOo0ivrz_gH9gJ1OzrjrR1R_IzlFf60ydU_hX2OXQ98jx0XhrfHk5ily3Pons1_2nJO6Y2_PGg0tAwwtaq3LotO7ydEFQnaPjSF8lsU7TAKhYHigRH92rCRJ6-AzhhN5KWkXQNl3PG9ruxvjI0updW8eQW7qQlO_L5hvg6bSpmVcGg=&p=4&fvj=0&vjs=3
Maintenance Personnel,,Candlewood Suites,"Las Vegas, NV",,3.3,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d761284a016e0f28&fccid=d2ad83a994532c79&vjs=3
Maintenance Personnel,,Holiday Inn Express,"Las Vegas, NV",,3.6,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2055397833d836d0&fccid=565f08a4e36612d6&vjs=3
Maintenance Personnel,,Hilton Garden Inn,"Las Vegas, NV",,3.6,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1392fb243b75c7d5&fccid=2a97eb4c5740c897&vjs=3
Software Engineer,,William Hill US,"Las Vegas, NV",,3.2,"Design, build and maintain a scalable, redundant and modular platform that handles TBs of data and utilizes machine learning algorithms.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=90753b9c1f7eb7e8&fccid=b44c7339866c4605&vjs=3
Maintenance Personnel,$12 an hour,Tharaldson Hospitality Management,"Las Vegas, NV",,2.8,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b415fc13bfc1df79&fccid=9bd288ca5f6a8e44&vjs=3
Lead Data Engineer (remote),,ThoughtWorks,"Las Vegas, NV",Remote,4.2,"That’s why we’re such vehement supporters of open source and have made significant contributions to open source tools for testing, continuous delivery (GoCD),…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d106b0500f32fa73&fccid=3c650abdba68c61a&vjs=3
