job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssB3K1DzBgFWI8JdrzZe42VNctNJOIJY6S6nAwKJL-1aHw0qOhfMAkyjOV3Wy0u2npTtPzDk9pdDW1BAjAjTZUxgZX4BHwBmCGSj0nbP5p1tD63krr7Om7P_5wpukD8WnUI7J6sZ00W4aEMaToFOxd688ghXabkCxg25QdwFl5keAlOlIzaij7s7yx7-Wl7j7rPPtOQeMX8TiAfBY7RbUluSWE2OJz6FySg8rr1iaGRJn5h8dZakZmQN_NCbw3j0VSF61O9YQHgxnOWWr0Srx9Xe0IRbzG0KfTYXSMc3s8OMBM=&p=0&fvj=1&vjs=3
Maintenance Manager,,WestRock,"Louisville, KY",,3.2,"Previous management/supervisory experience of maintenance engineers.
To provide professional hands-on management of the Engineering function, across Limerick…",4 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=64e197ccbefe2c90&fccid=1f4fef55263d4309&vjs=3
Edison Engineering Development Program (EEDP) - Software - 2021,,GE Appliances,"Louisville, KY",,3.6,"GE Appliances provides learning opportunities, challenges, and support for software engineers.
EEDPs receive targeted training from seasoned engineers and…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d018b67f0a7336c2&fccid=6a7f2fa034a3fd36&vjs=3
Research Scientist,"$79,000 - $84,000 a year",InfoBeyond Technology,"Louisville, KY",,,"Experience must include research experience in networks, communications, machine learning, and theoretical background in probability and stochastic processes.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=5228c0b493c99c98&fccid=727aea4ba850d3dd&vjs=3
Sr. Metrology Engineer - Gage Design,,GE Appliances,"Louisville, KY",,3.6,"Promote a culture of innovation and learning through external collaborations and benchmarking.
As the Sr. Metrology Engineer - Gage Design, you'll support the…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=649a95928e075000&fccid=6a7f2fa034a3fd36&vjs=3
Data Analyst,,PharmaCord,"Louisville, KY",,3.1,"Build and maintain predictive modeling/forecasts, machine learning algorithms and data workflow automations.
They will also be responsible for implementing and…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=acb1663c07c98f75&fccid=47669b3bafe96dd2&vjs=3
Data Engineer,"$65,000 a year",Untitled LLC,"Louisville, KY",,5.0,Our goal is that the data engineer can assist and guide our engineers and data scientists on efficient and automated paths to success.,30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=1ec4d9a9e9ffed7d&fccid=15ee19a249c7785d&vjs=3
Senior Automation Engineer,,Humana,"Louisville, KY",,3.7,We are looking for a highly motivated automation engineer with an entrepreneurial spirit that will own planning and delivering of key platform functionality…,30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=ffd9f408dc41bac4&fccid=5f1f0e6dcc6cbc83&vjs=3
Senior Software Engineer (C++),,Material Handling Systems Inc,"Louisville, KY",,4.0,"Experience with machine learning, TensorFlow, Keras or Torch.
Implement, support and improve various machine automation strategies.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=e27acf8a1b11dd88&fccid=4808eedb5e0d7c80&vjs=3
Senior Data Engineer,"$90,000 - $105,000 a year",Criterion Executive Search,"Louisville, KY",,3.4,"Permanent salaried job with corporate benefits.
Develop strategies for effective data analysis and reporting.
Define metrics and identify relevant data sources.",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLCu02SH04VgykAXfl9WR8HAxJRvMz5XYbe4P92pTP-_e_aOMe3CfsBxvzwZhdzkxW1aAq8Mr4qaMQGbnac_7ZMnnaKBMtIfgjsegwnlgw4aIGdL08LjIx0WQGUezQ7tn9NuEDLJFX2o_dnLUFrLUzL4L7ivI2scHWByTRhfsnsSYl8phz3ZET3UatKSPU7p0I68N7KB39uGg3NNdwtc97S9D2LH87Ge5JHJ_pqmJFYDrgSvxjMP3yjzWIecw6yfsFMnKlXdNH40G7t8dpxGSShyqxpQVqAtFvY3adtfMjA0alNjUS3cqzBzCcoYndcrpwA8Jyz2Be9eNK3xSMtW0aicb51J35jDOIOW3G-nv-g2Mdph-XZyqQr2qaQB3qcwx3KsKtnf2wcuuo8Lkk1Nu-vuTOa0GEnezApku59m6uKXqWYKPMLWE9fsssNG0OtUQ6JEunM1z0KALKSINOenCxxEXIj3g5ZB8=&p=9&fvj=0&vjs=3
Manager - BI Delivery,,Thermo Fisher Scientific,"Louisville, KY",,3.5,"The AIG BI Delivery Manager will work with business analysts, operations engineers, BI developers, vendor consulting resources and the extended BI team to…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=845ff33a4a916bc2&fccid=126e3afd205caa95&vjs=3
Senior Software Engineer,,Material Handling Systems Inc (E),"Louisville, KY",,,"Experience with machine learning, TensorFlow, Keras or Torch.
Implement, support and improve various machine automation strategies.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a5cff988563e838d&fccid=d24f296938b7bdd4&vjs=3
Software Engineering Co-op,,GE Appliances,"Louisville, KY",,3.6,"GE Appliances provides learning opportunities, challenges, and support for software engineers.
Co-ops receive targeted training from seasoned engineers and…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=5796916c96b27aa3&fccid=6a7f2fa034a3fd36&vjs=3
Senior Data Architect - Cyber Analytics (virtual remote home office eligible),,Humana,"Louisville, KY",Remote,3.7,"5+ years of experience as a senior software engineer and architect for large IT projects.
The Senior Data Architect is responsible for developing blueprints for…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=c4ae4f4704db267b&fccid=5f1f0e6dcc6cbc83&vjs=3
IBM-Watson Assistant Developer 2 (Remote US),,Humana,"Louisville, KY",Remote,3.7,"In this role, you will understand how to develop conversation service that can create virtual agents and chat bots that combine machine learning, natural…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=057c503deb67966d&fccid=5f1f0e6dcc6cbc83&vjs=3
Data Visualization Engineer,,TA Digital,"Louisville, KY",Temporarily remote,,"Over the past 20 years, TA Digital has positioned clients to achieve digital maturity by focusing on data, customer-centricity and exponential return on…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4f8a926a9da1350c&fccid=6c147332127a18be&vjs=3
CRM Developer,,Churchill Downs Racetrack LLC,"Louisville, KY",,4.3,"Create dashboards that using machine learning techniques provide valuable insights for the company.
Write code to connect through our API and exchange data…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=2bab04d9c6977af3&fccid=a7308dd13bf91aab&vjs=3
Java Software Developer,,Eagle6 Software,"Jeffersonville, IN",,,"Data ingestion, data science, and machine learning experience a plus.
Contribute to the architecture and design of product features and capabilities.",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=3173847f6c36dd7a&fccid=5899bc96cb893e64&vjs=3
