job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Full Stack Web Engineer,,Baker Tilly Vantagen,"Madison, WI",,3.9,"You will be a member of a smart, fun, and motivated team that is producing the latest in analytics and decision-making tools for the risk industry.",23 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Coi8uxzzfTQXXMfOcnhVBF_hL1Rt26Cflc5ebkfi6qFd0qV4koJUPSAIKsjxQbI8m7CxoGqWvzH2Wd31RCAxwgHmWQnPT_VlxM3JSiqdR2g8KernnuXk-zCxbhR9e_XafeXiKYIftJERjj-nXtbWrA_5CH34mNvVUnVfzj8_LojkhWXoiclpqKyJG0yldIOU2hIKn35fh7O2tJ-vddrpbf82kRywYe3mBM0UTLn-62JJstBC9wK3IMrFOy3qBh-RwqnDTsivUkjxkqiVwhUA8zzxAjnHe-uhG8LH7HOX6jDOL8WLaPalff2HyVnpRk_1Xvg837v4nJ2-XwyAMxIH5TnJF5eUPkcD-pgbFaCH5PDUDjtNbhFFJoJXYthf1AloWtIgqR5heBKH-EC1OncI6kdQ9uu1xwOgzsj0iFHsRCAfwlAHfR5NXTTJyUvKqLHAX_0Stav0Gjb_d3jpYQftZ3&p=0&fvj=0&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQlu_Fuir7HwnGU-qmBYvwpEblNl08aeGJUrMxfMYYKTWu9FPLH1_H7wFFb32ZFKlrGpxUASbOheeZOBBXrKOocvUdYq59lAuj-VSfit60MXix8Q-JL3WZwgHQhR3VhZ9D3_YOMVdU_oGI7qsfLjOjXZMSCjuwU-OxO43o0nWMVXPgbBNnK4gC0j17f08n12TxON5KJbw92Ew4xa-KcC9O3xRU31TmkTR53Rsar3fdXp-wUxmXCdasYATul4k-p-IaTEQRxN4xINqrV_4-LuVQvcaqIO94LGqp4MrAEAqTEHm_l816Fih6ZhuApgo7SqW1ez22EOKxg6p&p=1&fvj=1&vjs=3
Application Engineer,,SmartUQ,"Madison, WI",Temporarily remote,,"Machine learning or related topics is a plus.
SmartUQ (SmartUQ.com) develops predictive analytics, machine learning, and uncertainty.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=34979ef0031a5526&fccid=ea76c75716af82e7&vjs=3
"Chip Hardware Architecture Engineer, University Graduate",,Google,"Madison, WI",,4.3,"Knowledge of machine learning algorithms.
Bachelor's degree or equivalent practical experience.
Experience in a procedural programming language (e.g. C++,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0c04d21f23ef0ea0&fccid=a5b4499d9e91a5c6&vjs=3
Optical Engineer,,PIKE Technologies,"Madison, WI",,3.5,"Be capable of learning analytical chemistry concepts.
Work with mechanical engineers on designs of opto-mechanical systems.
Only full-time employees eligible.",29 days ago,2021-01-15,https://www.indeed.com/company/PIKE-Technologies/jobs/Optical-Engineer-7636bc02bcc1b03e?fccid=33f9d48e73e84d9e&vjs=3
Data Analyst or Data Engineer,"$70,800 - $90,624 a year",State of Wisconsin,"Dane County, WI",,3.5,"Analyze data with statistical techniques like regression and other machine learning algorithms using software like Python or R.
Data Analyst or Data Engineer.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e05ac81c613baad6&fccid=382b064faa12254d&vjs=3
Programmer (Gameplay Engineer),,PUBG Madison,"Madison, WI",,,"An emphasis on gameplay engineering with the breadth to work in other supporting areas such as tools, networking, data analytics, machine learning, etc.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f91ada2cd054c33&fccid=b7d43dd6aac51f45&vjs=3
Mechanical Engineering Designer,"$10,000 - $58,000 a year",Gables Search Group,"Dane, WI",,5.0,"Making the shop drawings so machines can be built.
This full time, permanent Mechanical Engineering Designer opportunity is at a equipment and machine…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZ1lEuAv6jxF-3oHFcpaf0lR-C2BPOLpDOrJR7xrRNgTAxCo7ORrdsEAD6veVqRqJvmCh_kKs72yktPUsO_yYsN2hgLhML4-W-dibYfZtInUS6Yk_Yre8Zm57kvTEsPmSXjL2ScSQBGqMygT_bpgjpe7lMbtb4-qGw6CI7tZn3SA2Tr9TreJBofUEEgLysM0VlgCwYLElF2I9rdFXW_JQ5sSgTR5C76aolUl9CDhDXnl-CK5vAOBTjcHqK6mZ5D82bnS0-qRNB7vlLW_rhWDGo_5rFyba116k3dgIDTdo2F8-L7IFSOIrQUyMTjxFkzGdbP5R5AUiQ0F9tO_JitFI4-aszvFBdUxU36uF6lMTFX1UhJhOfkpGa8EJWDwIPndirXWDcCMwVvei_Vtb5wljaWCAiH5PNVZGVfSXTb44kcNZo2PNqjb4iQiwNLFW-mZjM-a8UBlwP1BillHTyFbnlsodB1oKaunStk6OTRv-AloKwnxfWLwUpSyWecZFlsQUMICc0iOcqEeAeBUfuWymuGeFHiblV6NPnK9mH6tGKLw==&p=7&fvj=0&vjs=3
IoT Data Engineer,,OneEvent Technologies,"Madison, WI",,,"Our solution is a full-featured life safety system, easy to install, and affordable to maintain... for safer families, homes, and businesses.",8 days ago,2021-01-15,https://www.indeed.com/company/OneEvent-Technologies/jobs/Iot-Data-Engineer-192451b3fd19a9e5?fccid=e2acab0536576b26&vjs=3
Mechanical Engineering Designer,"$10,000 - $58,000 a year",NewCareers,"Dane, WI",,,"Making the shop drawings so machines can be built.
This full time, permanent Mechanical Engineering Designer opportunity is at a equipment and machine…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjiyhcpv8gxDD8fdIe3FrBcqNlTJ9ClQKIdpXLARihlvdTWrPsEQj_yOw-2Xl7mg8HlnuZ98fBpxiHfps-GNyHjDcRROG25lmB1ZFrK7QHsiL4FiB-o_Jxy92xtjzXSs3sBzXflH00b5Iv8-WIOfqLFAzrICVo_aLBojHUMLQLEQjFVFpaiPFXWcb9Bgg0A47cg9Mf2qvkDBsgSnkBebm2_O4xsGUMF3V9-M7Ax1IQfkotB_lkt02qRtLT2cRhgOsyypDcKRNIxhGu1Qvtcfs4StihzxCvcLq2py2GhcZFjstiBTQyVSqs72K0A1ufslAxe_Pb0RiBFlpRwdVZBblKL5B-VgpRQeyqugUNvzH9oJaFq8bcbT7ZLNJgmZreS3W02Ck5uCcohV11O1A7qDMJ1yDsREIex-gbSOe40Mnqvx2-vME51Q7EeYhYo9rl-MZ1mwmyYncu4dAJ4B7ApnvUrVyzE_t9E6lRoE9BbsPzcbe4EkNQRG8oPqLD8AsFERxnJQcnrxHTjsMKHYvbgQ1385xp9oRM4IJNMcpPYE-YxHlYY9nirJuj47aykNicr-h_0GC24VRLMDvIRH8pJ1C_nGmjMv33eHgzw3eUFazFPpext7Nllaijb2vPqPEa3dA1Eck1cejoxDJJQU7a0HRPWMK9YTEwAmkSJkZ6zpyBgTvBrPPlukNL5IWCwsId-it5FKcC-pWDEPqasFSQRRo5mcQd4WqcVmI=&p=9&fvj=0&vjs=3
