job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBNXzVm775fZWiwc3nQQU8BoNgBZefOOodXo84HbfEOwXdg-o0xMjRv8ATUMuZd05WVHrv_MiYgxiw1OS6G_LpqskcnmRJZMBdYrDl3tCqJMhk31hrA7r6LBy97PDS8aJPMb279MEkK-RyjXdbBUty8u-RDXak1Vrp26nCvZeMUBiJ9x7axHhvvjOm1i9tDZmi0bTSfz0-wEsnfc_bmj2r1gGIl7gT80lALQT4njwJmbURIH9mW4GA2-qD0nfNJn_BQnjm9jS2Arul_kCOKNgaB2O6UtRWJmfRFijBMVedzSY=&p=0&fvj=1&vjs=3
"Senior Engineer, Industrial",,Brother USA,"Bartlett, TN",,3.8,"The Senior Engineer, Industrial finds ways to prevent waste and inefficiency in the manufacturing processes by designing efficient systems that will integrate…",30+ days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMypHoWtkZMkknx6lLKMEUcknNibRKjosWnkhaKPSEbt-FGIUwP5Ojrviwb0wBcqF9sJ1znv7lWVejslFc6HZBbVcKi2ZhsgamRBLEQ0MZFmilQIa0vtalidXFJBOD3k_1j2zauk578xmZmG1bGEiv600OKo70wDVLC7N6jenhm0RaW66TKndeUJi_qEFdWQhtO2WcOWQHxtpzrXOggJK4Xlr4Qk6RxRWXJcGBBKxA5OYwb0KNP3T9nVyyvfmh_xmFpm_lTCe94xdKe5wx04Bu7_Yp4WLjlH4U8VQ24syE-dtanaozM5iQY5fRyHTbcuPe3ZjlCd9EUgtu5lrK6b6hadAfKW8u8qw1xxjz2PhiXq3teOOHYFxDkvoBxyZyRNJ_fBfXTwEx8eiBsGmDtvWlRHF_XP7ZDnIADyKbsAZduADxZALKN6X2kL0_RE0iz9bMWA6ov0apDurgZRDfAgkPZFZQWtW9hywAUpzIh98sTtTrgxxWSaBiqrbR2Gq-l94ZNXuaNKBP8FYQp_-OxicAWb831jYf4pDTVRMADpTRUqqqhTHOjxNQlLHAqaE3X80H11wRcSLfELtoTRazwQQOMxw12EYYma-fEQDDUv7R5hXR1zGVUjfQ7GiW7yPY1IlwINjPnk7JwkkfKEgGLCiZ6hsx-twJkPSJ2oMe_r_-U__oq-1KGbM6Wz3_2ULgAB78mCpFB3uSrBaYXtFlQXNaPkRoJn_eCUnPjLErqRVGKyQ2NGgNDL9GoALfEGcGpM9iM5yqUIAuFpT0GSYwsgPnnGQGn4dK_3FxsIRYjdowolfQ3tWCZpQ5KbkjIrzhdgVl-Zkr97v7SW3Q4nP2Nu9bd-TxHQZrjdGEitqR-PPEpCd6vsz2TYOSHI6KpQkyW-ldlun9JZo0CyF1UZUpczVqIYAH1slRT2ELdFjxnFRFgfnuMjrgpTsWhA9JppBVF6-qbKfsZOGLE-9KwbHehqpfxZ40gH9onVrLVux2aMD0qQ==&p=1&fvj=0&vjs=3
Process Engineer (TAD Asset Engineer),,Kruger Products,"Memphis, TN",,3.4,"Establish good run settings and machine center-lining initiatives.
Experience on a TAD paper machine and equipment start-up would be an asset.",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=14ae10b752090da3&fccid=e690624f1780cada&vjs=3
Data Analyst - All Levels,,FedEx Services,"Collierville, TN",Remote,3.9,"Develops new products and solutions through the use of descriptive, predictive, prescriptive modeling, machine learning, and complex mathematical modeling/tool…",10 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=8f68ecd505b848d0&fccid=2ae04b97d8829e58&vjs=3
Data Scientist - All Levels,,FedEx Services,"Collierville, TN",Remote,3.9,"Under minimal supervision, leads modeling and development to support operations initiatives, strategic programs, and new products and solutions through the use…",10 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=fd5ac94335d067c8&fccid=2ae04b97d8829e58&vjs=3
Data Engineer,,Frontdoor,"Memphis, TN",,,"As an experienced level Data Engineer, you will use various methods to transform raw data into useful data systems.
Identify opportunities for data acquisition.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=31eb5f2239f39bd2&fccid=e064eb2c7274ff10&vjs=3
Vice President IT – Enterprise Data & Analytics,,FedEx Services,"Collierville, TN",,3.9,"Must be able to lead a team with a diverse set of skill sets including software engineers, data engineers, data scientists, machine learning engineers and…",3 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=eb1f945dece48f64&fccid=2ae04b97d8829e58&vjs=3
Technical Solutions Architect - Collaboration,,Cisco Systems,"Memphis, TN",,4.1,"Synch with post-sales engineer and provide adequate documentation for clear handoff to post-sales organization.
Provide trial and demonstration support.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=f497a4e01b624a1e&fccid=dfc44f3b8c44a6db&vjs=3
Maintenance Mechanic,,The Chemours Company,"Memphis, TN",,3.7,"Troubleshoot and dismantle defective machines/equipment and installs new or repaired equipment or parts.
The Memphis Plant Maintenance Mechanic accomplishes,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d6be2f135b772030&fccid=437fb825bf2dab94&vjs=3
Data Scientist,,Buckman,"Memphis, TN",,4.2,"In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=27142ba82cf0391e&fccid=cc8e6e4f1597a7a8&vjs=3
Senior Software Engineer- SRE,,Frontdoor,"Memphis, TN",,,"Familiarity with a self-service oriented environment to enable software engineers.
As a SRE, you will be working with Software and Security engineers to build…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=e5139f09fdafe806&fccid=e064eb2c7274ff10&vjs=3
Senior Maintenance Engineer,,The Chemours Company,"Memphis, TN",,3.7,"This allows the engineer to fill a role of reliability engineer for the site and/or business.
A maintenance engineer can obtain certifications and become…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4cdd598958aeef3a&fccid=437fb825bf2dab94&vjs=3
Senior DevOps Engineer,,Frontdoor,"Memphis, TN",,,"Responsible for using technology to improve, streamline, and automate processes through planning, implementing, and monitoring of technology, and delivering…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=ff6cb41db4eb5bec&fccid=e064eb2c7274ff10&vjs=3
Software Engineer,,Frontdoor,"Memphis, TN",,,"As a Software Engineer L4, you will work on a specific product and understand all layers of the software stack, as well as be responsible for documentation,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4ea57c68beb89123&fccid=e064eb2c7274ff10&vjs=3
Senior Software Engineer,,Frontdoor,"Memphis, TN",,,"As a Software Engineer L4, you will work on a specific product and understand all layers of the software stack, as well as be responsible for documentation,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=392260fce724982f&fccid=e064eb2c7274ff10&vjs=3
System Administrator – Microsoft and Linux,,Christian Brothers University,"Memphis, TN",,4.0,"Computer Operations (performs and manages monitoring, logging, alerting, responding, backups, virtual machine environment, visual inspection for failed…",4 days ago,2021-01-16,https://www.indeed.com/company/Christian-Brothers-University/jobs/System-Administrator-Microsoft-Linux-9c9a74155db89b2c?fccid=2069c4e9c774ee6d&vjs=3
Senior Android Engineer,,Frontdoor,"Memphis, TN",,,"Experience leading projects or teams of engineers.
This Android Engineer will work with our team of talented engineers to design and build the next generation…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=6672d516add39484&fccid=e064eb2c7274ff10&vjs=3
Principal Software Engineer,,Frontdoor,"Memphis, TN",,,"Strong leadership and communication skills with capability to lead and mentor a team of 30+ engineers technically.
You enjoy making decisions based on data.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=50d7ef8186aecac1&fccid=e064eb2c7274ff10&vjs=3
Cloud Solution Architect (AWS),,Deloitte,"Memphis, TN",,4.0,"As an AWS Solution Architect, you will be responsible for partnering with architects and DevOps engineers throughout the organization, providing solution…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=8b441f7a95e9062a&fccid=9e215d88a6b33622&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Memphis, TN",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=8ed613a599028362&fccid=9e215d88a6b33622&vjs=3
