job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQqULtcuEoRoCO5Lx0GAZn0f5hf_4aFlmhuOaJgKN_1SBoR1Vr2nhFn-HIE2R2zx0ZFK-eSCyJwj2m2S7ezoWvG3unNpYJ1rCvm4dAWXhIr2kQYE6Dgylcxxq98mEzVJIRbe2oWeV9Ds7XAsFRSFHKgY7biIUoV_BDYRjh6q2ezgHCzvmzpwt22k-AT0wU36Wes8Y4JzY0SIAuDwk5N1kOMWfKwE9WOVQXL252CsrHYRAsy8qZzWiJJ1gqClb7zkQgp1ve0RqjWO5wKDW8MVZ1BrpbYKKASMuzHcZtUtQx1SFhVdFsh25M_CJr3K1xwLlUU_TjLKCHn3-&p=0&fvj=1&vjs=3
"Machine Learning Engineer opening in Menomonee Falls, WI",,iknowvate technologies,"Menomonee Falls, WI",,,"Machine Learning/Data Scientist, Python, SQL, Jupyter Notebook.
Project: Demand Forecasting- The objective is to be able to better forecast inventory needs…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=29a5081a7f3fb3f2&fccid=9ace5aa4e4fa6ce2&vjs=3
Senior NPD Machine Learning Engineer,,Milwaukee Tool,"Brookfield, WI",,3.7,"Create and translate machine learning algorithms into production-level code.
Create metrics to continuously evaluate the performance of machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=38c1cfd7d5f2775f&fccid=1fbfd3eaafc27ad2&vjs=3
Sr. GraphQL Engineer,,GalaxE.Solutions,"Milwaukee, WI",,2.5,"Extract and reverse engineer existing code.
Design, code and debug software.
Perform software analysis, risk analysis, reliability analysis.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e1f9819c75f4c171&fccid=5b75a1df86adb527&vjs=3
Mechatronics & Robotics Apprentice,,JLL,"Oak Creek, WI",,3.8,"Communicates with machine operators, and operate equipment to detect equipment problems, analyze malfunctions, and verify system problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=896b787f18627ee2&fccid=9917de3c28f569f6&vjs=3
AI Engineer,,Foxconn Industrial Internet - FII,"Sturtevant, WI",,,"Excellent knowledge and good practical skills in major machine learning algorithms.
Experience in real-time machine learning and data mining algorithms in large…",7 days ago,2021-01-15,https://www.indeed.com/company/Foxconn-Industrial-Internet---FII/jobs/Ai-Engineer-9bee0e2330d7308a?fccid=c977037a28af21c2&vjs=3
Assembler,,Hayes Performance Systems,"Mequon, WI",,2.5,"And operate a number of machines or testers simultaneously throughout the day.
This includes mopping, sweeping, emptying mop and water buckets, and cleaning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d646744c8617a5e2&fccid=ff22224f1c03c315&vjs=3
EDU Software Engineer- Remote,,Splunk,"Milwaukee, WI",Remote,4.1,"Understanding of machine and application logs.
Tasks include working on technologies that deploy lab servers, mock machine data, integrate multiple API services…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7b1b0307bf941d5&fccid=aef928e89977f7f0&vjs=3
Engineering Summer Intern,,Leonardo DRS,"Milwaukee, WI",,3.7,"Assists manufacturing engineer to update work instruction documentation.
Establishes learning and development goals with mentor or supervisor approval.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0c7b696763901adf&fccid=4730d395dbdb7f3d&vjs=3
Production Lead,,Carlisle Companies,"Franklin, WI",,3.2,"Interfaces with engineers as required.
Assist with ensuring effective and efficient daily execution of production work along with helping to drive Continuous…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e33f95d9989d0c16&fccid=e626bcdfc45e51ce&vjs=3
Security Engineer,,GalaxE.Solutions,"Franklin, WI",,2.5,"2+ years in a cyber security engineer role.
Provide technical support for end-user hardware and software issues.
Create and verify backups of data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d4afa4f91401f5fa&fccid=5b75a1df86adb527&vjs=3
AI Engineer- IoT,,Foxconn,"Mount Pleasant, WI",,4.0,"Excellent knowledge and good practical skills in major machine learning algorithms.
Experience in real-time machine learning and data mining algorithms in large…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d6387feda84511a&fccid=2c4b4bbb6840a346&vjs=3
Lead Test Engineer,,GalaxE.Solutions,"Milwaukee, WI",,2.5,"Understand the Solution/System Architecture and business needs.
Build frameworks for QA test and processes, including identifying environment needs.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a641a41f3c983b0b&fccid=5b75a1df86adb527&vjs=3
Staff Design Engineer - Parts & Accessories,,Harley-Davidson,"Wauwatosa, WI",,3.7,This staff level design engineer will demonstrate strong overall understanding of specific rider vehicle interface components and vehicle system level…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=567dfb44d5ef95a6&fccid=d606abf5c6b70531&vjs=3
Software Analyst Apprentice,From $20 an hour,Apprenti,"Milwaukee, WI",,,"(e.g., embedded systems, cloud services, machine learning), or as a stepping stone to a project or program management career path.",8 days ago,2021-01-15,https://www.indeed.com/company/Apprenti/jobs/Software-Analyst-Apprentice-732e2ad1110d84ae?fccid=b9d8ca634c60990b&vjs=3
Technician-Engineering,,"HUSCO International, Inc.","Waukesha, WI",,3.5,"On and offsite customer machine evaluations.
Engineering Technicians work closely with our Husco Engineering Design team to support innovative new designs and…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dd9bb54c1af9557b&fccid=a40175c3de7443ed&vjs=3
Global Power Electronics Technology Manager,,Eaton,"Menomonee Falls, WI",,3.8,The Global Technology Manager will be responsible for managing a team of scientists & engineers specializing in various technology areas that are part of the…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=105e831f0fb38d15&fccid=87f38351bd29de24&vjs=3
Aftermarket Technician,,Xylem,"Pewaukee, WI",,3.4,"Operation of basic office equipment and machinery: such as fax machines, copiers, and printers.
This position will be responsible for providing specific…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2517a16857167fad&fccid=68ec8a8ee6cf5ac6&vjs=3
Project Tooling Engineer,,"MGS Mfg. Group, Inc","Germantown, WI",,3.2,"Coordinates all aspects of a customer’s program including tool builds, qualification, and production.
Lead program team/s and facilitate the communication and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ac6080f95df58cbc&fccid=18f2bc81f3be9972&vjs=3
Detailing Checker I,,"Wildeck, Inc.","Waukesha, WI",,,"Measure machines and parts during production to ensure compliance with design specifications.
Assist engineer to analyze projects as to manufacturing and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5d2e7c09c7e34f4f&fccid=a3998a0422ac2c11&vjs=3
Technical Writer,"$55,000 - $65,000 a year",PFlow Industries,"Milwaukee, WI",,3.4,"Requires at least 5 years work experience in a Technical Publications role, preferably in a heavy equipment, machine manufacturing or material handling industry…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ac81b3458aac4f27&fccid=b7571b11a4cabdc2&vjs=3
Senior Engineer - Software,,Regal Beloit,"Grafton, WI",,3.5,"Familiarity with machine learning, digital twins.
15+ years of experience in software development with a focus on machine design.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a40df7f5d2f72106&fccid=534e38e0b005ebd7&vjs=3
Principal Data Engineer,,Medical College of Wisconsin,"Milwaukee, WI",,3.8,"Knowledge of advanced analytical methods, including machine learning preferred.
Lead, mentor, develop and directly oversee the work of a team of 4-6 data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e512cb3fb67701d&fccid=495c822d6af912f0&vjs=3
Business Analyst - HealthIO,,Milliman,"Brookfield, WI",,3.6,You will collaborate with UX designers and engineers to refine requirements and workflows throughout the software build cycles and collaborate with test…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f647df1a186ce7a5&fccid=3d93143c99ff89a3&vjs=3
