job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Electrical Engineering Intern,$18 - $25 an hour,"Motion Tech Automation, LLC","Saint Paul, MN",,3.8,"Markets served include semiconductor equipment, machine tool, packaging, and research institutions.
These hazards are controlled through means of engineering…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzjWIA5L6hv-yjPWjouxju-FuW7829Uzo_jADCgof7Azl7SX9y5GL-3EJwuJad2kyzh9thev9SbkjlOXb8zLbRKfrmjXGydWCXaj0Kwur60WyfbpnItZOs5Ak9LSVj2taJkcdCjQiSP9Xc1jkJ4jhSN9qB-7PCV1eBGrBqMwMezuK--7oia1qkWS3KSvqcKhqaql0A11TEd_CLRliOSktewj_oZDmISP96PdhptC7oumV35_3MiMNx4KSyLLMgpxwR2Foe2t1OS3UkbEw0GMgNwabBDazUbahWh2fA9zPGA6uuG5P5XDwAboOC9KiXDqlKQGHJ22tm8T5KlmbFW7Z0D8eVum2XhpIwHTxA73PERIy7KGRNntaz4rc8__k7T4J-owgZKYtlB-fWnSI3r6YT6byzqgMKjX_4hJ6K_VVyMTfNaTh5GD-qcX9Af_2Y6IvquI29tZFCfcxhnvHJOKY45gS88Ya5X3y6zStcRBO2sHQR3xG58GAc&p=0&fvj=1&vjs=3
Machine Learning Engineer/AI Engineer,,iknowvate technologies,"Minneapolis, MN",,,"Responsible for developing, implementing and maintaining knowledge-based or artificial intelligence application systems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fbbbaa61021d112&fccid=9ace5aa4e4fa6ce2&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKldyl-qHKLgMY7kuh_6aqOXQgRQZLxIZt6xxhnAid-MZfr6Brp30L_DXLNq4E7VLx7qOpW7GHRv5IY9OCZBAL2NZJBmymrxzqyykVQ5B9cBvBHuBJ1ZkE_H5Jvqd5cTMCe8Ndt-F2Bt1P9-_gse5K36nUDD2SBNiYZKOuG728DKauwt9VVfp0C3uZr2cAdzr_C_hw8dGSnSs28xm78l99efeZWcIG3C2UdS0skT38PlB1hdctZVvQBcMuGU2xDdovNgx4KZn6Nn21pAb1yn3vlO72MmkICz2TpWvuc7rwv5C5wdYlO4KdsTednfh54a5yZDiHSKa8YKN0KLWKg7mqDw==&p=2&fvj=1&vjs=3
Machine Learning Signal Processing Research Intern,,Starkey Hearing Technologies,"Eden Prairie, MN",,,"Develop and train machine learning models for signal processing applications.
This position will contribute to the machine learning and signal processing…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88619154329bd745&fccid=808197e27482200d&vjs=3
Data Scientist,,TARGET,"Minneapolis, MN",,3.6,"This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning…",5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6e7eb25d227e413&fccid=15f43d82dc901ff2&vjs=3
Senior Engineer II,,General Mills,"Golden Valley, MN",,3.9,"Strong mechanical and machine aptitude.
Provide machine design competitive advantage through technical leadership, flexible business solutions and proprietary…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ba707fcbdcd22b3a&fccid=3bcf7eb192e678e4&vjs=3
Sr Machine Learning Eng I,,Starkey Hearing Technologies,"Eden Prairie, MN",,,"Knowledge of modern machine learning techniques such as deep learning required.
Propose a set of machine learning and artificial intelligence algorithm…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0413e0cee7e346ab&fccid=808197e27482200d&vjs=3
Principal Data Scientist / Applied Machine Learning Engineer,,CitiusTech,"Minneapolis-Saint Paul, MN",,3.9,"Hands-on experience on writing production-level machine learning code.
5+ years of professional experience in Data Science, 3+ years in Healthcare preferred.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5302cd0873a671dc&fccid=d7ffd11f502090e7&vjs=3
Principal Machine Learning Scientist,,Alldus,"Minneapolis, MN",,,Leverage deep knowledge of machine learning and computer science to contribute to the road-map of our best practice and core machine learning capabilities.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=da09b6d479f705eb&fccid=b4df24bc350094d0&vjs=3
Engineering Co-Op,,Rust-Oleum,"Brooklyn Park, MN",,3.6,"As a future engineer, you will have opportunities to apply your education to drive improvements on the production lines, paint making equipment, processing…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b8af2a79f9df705&fccid=e892717c553c6a36&vjs=3
