job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAWt-9XFd0_tR3yXkrfed1VgRPbI9Aq3GnlrZP9MvpiMuc791hfevYM8kQTBijIHan_wEnfLv4-jFfTRwuBzXGpDBlkyBuOHEL_rDyANw5SN78QhZX4mMbN2yl2XsDXROoAc-aZLcs0NJ1xe4m3OLAovf4_BOne5U6fFEulp6_2EJaMTQTK7I45vN5FSWhLs6rPmLODzjO1GfLUDJaIOFQu-YPkF4TNz3tnaxf5GLmZTbsOQpuTLZGC3MEeyg3Xy-76Q0zwjXjp1jAKUYrd671btM5TGTKwSow_hD8ZNaeghyP8vVwlDre2Q==&p=0&fvj=1&vjs=3
Software Test Engineer,,Brightree,"Brentwood, TN",,3.4,"The primary role of Quality Assurance function is to ensure that management systems are established to enable business compliance, multiple regulatory…",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bou5taZMjN4nln0Q2Tg3pNxizRvF2iqCeNL4npa2PdREIRKzPCUJxJGHXGISV10UVfqieYkzq_gYz0qNvq-VZycL1ZI-pZa4u3YPguWcuuI4h5tx9fkP8GrDFB3uWLZF8mCYoctJbVe9KFJd_z6elo-pQWP31yxM2fFxWBBg9NQ1HFGQz5TBfnMOBk3Lrx8SBDpCGmlO8D6upNRND1V9BSGb60ORPVvAsaNYTeq_W3lS9ctCe3jnZB7vOdXqzNdYeCjbjk58JNqTtClXZ77vbNs4eAdVHqRf60vyingLZ8glWkc_qSLHWmDhJWJluMJtKUd5Cf7ZVxWIAiOLt5VJO-97pjgHOAOILEA5FhyhQ6G51J93o2CMKdBzgFXplHKvPCsMyUN01LROm8DLrDz9M2GndY5GocXleB5DJkFJXQTRHN1XKDz7DblyOMqKNRkaHJkZq1LBgQCIg5OTsT46Ge74x0gy-kLdVbd7bWZSRks3s8k3NIdazAOlYa4YLc9ZMz_Xp2yrcIXMZjniPhFRwaFSdN3CKbAbXMn1aOrx6-WTb7Xgv-5FHH&p=1&fvj=0&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Nashville, TN",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=151109faa47769a2&fccid=9e215d88a6b33622&vjs=3
Manufacturing Engineer,"$80,000 - $90,000 a year",HRU Technical Resources,"Nashville, TN",,,"Develops and implements complex improvements to manufacturing process, equipment, production design, tool or machines and methods to ensure maximum…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJtgjjiuVXxFvvj_5n2MdGVIOerKP3hw4eeVvVwUUGPhbjUbqqZpIxGDi45HBIHDAXvdluSZ0QIy5sHjtujBxB8PMcgWSPUCESjstZ2kZ3sjV-W88XYv6EXe7XIVliW0dKdScUFp09kRzyunalnv2lDHZ16EqYOjTHwRTcoPy5GDmU-52Be7zy2ASjSAxR2NpK8Yhg9X3Ifcl8W-tGWTXftv_PHIilyQFfEsaEbxae0uqG3AITEv-wI3uHNxztj32ZSWspm4VuxWwN7QDs5f10sqRoWxOysr92HrPWFBoTW7VbprB7xK24A995NaAb7tQlwaSvqWMwe6tKGeGNdVy6XdXnGzfqqQxsCUbLQBbOPT7kjd8YjNRDzj_fgmDcShbVL5Uxc96x6lZNNTuvVFxSEWoU_HyKxaFCFNcnzvH1Q1Dld5IMkK6LS88XxhwYB4D6w86XABLnfufD3qMcoJuaGwiqxWxnV5njZx58pd5WZQ==&p=3&fvj=1&vjs=3
TDEC-ENVIRONMENTAL PROTECTION SPECIALIST 2* - 01062021-13548,"$49,092 a year",State of Tennessee,"Nashville, TN",,3.7,Substitution of Professional Registration for the Required Education: Registration as a professional engineer with the State of Tennessee may substitute for the…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cef010f55a40e377&fccid=bdf40812092f8f4f&vjs=3
Industrial Engineer I,,YRC Worldwide,"Nashville, TN",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=906f1e144ecee85f&fccid=8339402281be00cf&vjs=3
DETENTION FACILITIES SPECIALIST 01132021-13881,"$38,472 a year",State of Tennessee,"Brentwood, TN",,3.7,"Basic knowledge of machines, tools and equipment as it relates to correctional facilities.
Develops and utilize team building exercises in all TCI training…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0f935bcd16e66fa5&fccid=bdf40812092f8f4f&vjs=3
Sr Data Quality Engineer,,naviHealth,"Brentwood, TN",,3.2,"Exposure to big data technologies (NoSQL) and machine learning tools, including R and Python is preferred.
The Senior Data Quality Engineer is responsible for…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d0809d91407da0d9&fccid=faf03ebefb594139&vjs=3
Controls Engineer,,JR Automation,"Nashville, TN",,3.3,"Conduct the electrical/hydraulic pneumatic design, peripheral device programming, machine PLC programming, coordinate the machine debug, power-up, and machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=28429d7923a16bc3&fccid=99c74438d5268b24&vjs=3
Manufacturing Engineer,,Gibson Brands Inc.,"Nashville, TN",,2.3,"Develops and implements complex improvements to manufacturing process, equipment, production design, tool or machines and methods to ensure maximum…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2743fed069ee94d5&fccid=87616eaf5b77917f&vjs=3
