job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Intel,"Hillsboro, OR",,4.1,Must have at least one publication and appropriate level of contribution at a Graduate level in machine learning is a must.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=beee71d177fa6cb4&fccid=f1374be6a45f4b8a&vjs=3
"Strategic Student Program: Data Analytics and Machine Learning Intern (SISW, PLM)",,Siemens,"Wilsonville, OR",,4.0,"Communicate insights and machine learning results to Marketing business leaders and stakeholders.
Meet with Marketing Data Analytics Team internal customers to…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=fe42ce2f7a498522&fccid=3b89b9ec324f96c8&vjs=3
Data Analyst/Scientist/Engineer,"$65,000 - $120,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,Familiarity with machine learning techniques and libraries along with the ability to appropriately apply them to various business questions.,30+ days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Scientist-Engineer-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKQnJ-bdj6iJv2jYt4zXQbVju_PeZ03Ga8wZxFBI2wEk_44WsUR8_cUNNRzZOxjNedbxgI5DfxrtXRCDLMn_dV2K2gUyAlG8TjCdOKuAZ5XLrXz4WuN5lGZdDJVaNu8-LoBE6mgNgc781ZvF-5imtfGZs6aq4R4Re31EQXkvSAOvHhu_mWv8RgdAuj27JZrAR3Q_U0SQ5Ajg8XwOY6qhvxK-BQ1f5vjuDJ07C7J44Nj8RjuaCQxI3amVW55wQOEjQ6Xrx3JEglFG04Sj_1YfqwraEcHX57gyo8tRUxZY-qwbLk_dRKbIFYrALNz81MyDx6ZnKSJITGLsQ=&p=3&fvj=1&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Portland, OR",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b64099131fcc75eb&fccid=9e215d88a6b33622&vjs=3
Principal Machine Learning Engineer,,Nike,"Beaverton, OR",,4.2,"Proven ability in interpreting/implementing methods described in research papers and articles in machine learning, deep learning, mathematical modeling and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a5f7680fcf3cc1b3&fccid=2c62e4de04b8f952&vjs=3
Data Engineer L2,,Capgemini,"Beaverton, OR",,3.8,"Up to 3 years of working experience in Databricks, Python, Spark, Scala.
Sound knowledge in Apache Spark and Python programming.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e5a28f5d449cabb&fccid=105ecfd0283f415f&vjs=3
Senior Machine Learning Engineer,,Kinship,"Portland, OR",Remote,4.6,"Contribute to the creation, deployment, and scaling of machine learning and predictive algorithms in a production environment.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1277517a736ddb25&fccid=4384f66deb7fbe3e&vjs=3
Design Engineer - Global Tooling,,Weir ESCO,"Portland, OR",,3.6,"Collaborate with product design engineers, manufacturing facilities, and suppliers to ensure products meet quality and delivery requirements.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb7a5231bd2e4f9f&fccid=9d86bb0ccd5e32be&vjs=3
Sr. Design Engineer - New Product Development,,Weir ESCO,"Portland, OR",,3.6,"We need engineers who will use their creativity to develop our next generation solutions to support ESCO strategies.
CAD modeling proficiency (NX preferred).",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=0b9305e7e124dcce&fccid=9d86bb0ccd5e32be&vjs=3
