job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Technical Sales Engineer / Pulp & Paper,"$85,000 - $100,000 a year","Precision Roll Grinders, Inc.",North Carolina,Remote,,"An interest in machining, machine shops and roll grinding.
The candidate must reside in one of these two states.
Ability to travel 80% of time.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CO1ZpdYgOSopVYc1sP6QQxSvgdlNWjzxnxHM1FKDCHKNGl4GdqPVYPHB7fHOZqbsSzmDNUEGEE3AM1C4pwesQlJ-1PMB9zfS1CZno-2RoemSUQOKMXr4ETdVrz1YDli-S3TSCFo6Gh-pmKa-kAWFlFr-U8-571rarEN9Z4EeE_0T82Unw_kKb-nGxheh32j7SX_3oavVoDVL0EXn99RrJPmhnjUqDuV6L8oz0LRTZ1Zn-BNWNVvaYkG6q-GRbgmEjuaV_fy7dyS5uMkJszF-2XfTHZ33AI0B9Gl8jVypf1hT5F6IZ2T08X3MPeZknjJqWbI_lozOWMhErcy-CIghFNLJmnLqF1FvhEUL5OO8sUtVujf20ChfuajM8AZp55k0hdN8LcSk3mwpu-f6Snih8z0ksWIllf2he5pP4HyqT73Ksney26P_ctLdj1G2h-Y_FYw3TyGwjMiTUoiGLuGquXOPIndcCl0ujJC_YfHHc4WtNN4kyTt25w3v-0rrxGhm4=&p=0&fvj=1&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nASV33a6XJxWYtfctfI377j06D-RfctLGLpmazcp61ibe7-SFBzm-4BtSBgtFGBAib3AcuabO2_HerOnOl5UnFRTplguMl7O12emYKETJqa4nIElQGUY1aSAEoZH9dNnItJgJHc8_ap8rs_g3rYYapXNwJo3PyGRL7ND5eVuU1oQ8J2DwkcmZAWc87tcaTqohzlKuymHikB4sMnbqaqiPapDNTME4A0z4zJsTNHqhgLzkD0wNyLMFo90XuS2MYLAlQhwDkKXoCUBjcp-g8bW-DppJyhALeVl_WiXKzM0OY76c=&p=1&fvj=1&vjs=3
Android Engineer,,WillowTree,"Durham, NC",Remote,4.6,"Work closely with other engineers, designers, and our clients to work through requirements and solve problems to build great software.",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COKj8tbOCk4g4-Fu_qS7WZZVt_8OrIYPCR2TMMYTMsQZ0TqJh5l0m7LCrEztaeIo_DZQOB8JRgEBTdlfqUOZnfIJB55_Baab72cKOGtGrYrO1NxbmHcjs613UE0jOmJDT8j2NJC5cRDnjrK86Zwavm3KnKkz7IBPKjMB8DlfM5g9c3ytQwB5bUW4Z9fbNIk9CHv1Ih-D7qxqKoRX0IirKAZpFv_JGmGW0o1Uo2HX-u5a9TxiDplaGJ6lOBO9i5ucTD70lDVBWWUhDBiDr8JYI0JGbD0NUCPTgM5Q5AxCFCnouqxYwe2mjbhvxUsjGQ_zvr1-AFWRlmFHIbu00DiRWFJ_FocWrLAx4gUD7kwQuo-ksmDvkcIBraR8uUjvC2vbaDwmAO2PEyYwxnlg7zLiJsLNqvba-I8f4rWGAGPL1F8KAga3sCnhYZB09yloLyqXfyTpkW7Jjkz2xswTDH7kH7k5lwNNGmjM1yate1tMewCczaS6X8-BJ8&p=2&fvj=0&vjs=3
Engineering Technician,,Automated Systems of Tacoma,"Raleigh, NC",,4.7,"Basic knowledge of machine control system design and the testing environment with a strong electrical acumen.
Participate in the installation/startup/testing of…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BaMtw_DSOa-2wLkcnQBytOE6LjbHSA7DQyIvQqeoP_0RqMPonlnVZCBQ4d_Y-j4gyGgZpfTTtFstLaqQQoknKi8yvn2UjqLCfe441Hzwws0Ixqfpp2UNjckUD1gBjiHkDU8g11Q07xY1avgcD-80DFVBzwHYRJZ9ELnRSRjA0LPsAh7uv4hrol0p9xgszSFJUBZy6ZkpWhS8i4PxGZNOrkfvRPh22keHxkbUngVSenuctmuxg9qelNtwPjvZAuLppnO_1za_7dfzsn3Uw0iwg0azkPPZ_T_Psqh4E38g8zS56cmI79McPS9OzFhsVhEHT00S34X7c0b76TCRePaIQWI5nv7Lmu6bMaqU2-V_rTerh4onWzmZ3lqVrshyCOSGOvo1rUqPqZS0lvW8lXe5OaBKpEzHVoabDEitwBPlERIh0W7PN4-X72IXiLxIBXT2S2DzjPRnoRzYpUpChnaCz-dyPfH1-VIHn1evwmO2-WxNL-3oqSt6zw-pEbxDNr8q_fDuILJ33d-g==&p=3&fvj=0&vjs=3
Machine Learning Internship,,Cree Inc,"Durham, NC",,3.4,"Enrollment in an accredited computer science electrical, materials science, chemical, mechanical engineering or physics and chemistry college program.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e41bc62197f72cb1&fccid=c1ecaee24c0b08e0&vjs=3
Machine Learning Engineer,,Cree Inc,"Durham, NC",,3.4,"Cree-Wolfspeed Materials R&D is looking for an entry level machine Learning engineer with a STEM background, experience with software development, and image…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=267abce0f82ce560&fccid=c1ecaee24c0b08e0&vjs=3
Signal Processing- Machine Learning- AI Engineer/Scientist,,Vadum,"Raleigh, NC",,,Vadum is seeking a Signal Processing Engineer/Scientist to develop machine learning and complex signal processing algorithms.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cc0d913c7652e0c4&fccid=5abf133a63062c9b&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Raleigh, NC",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=39565c642c75f4f8&fccid=9e215d88a6b33622&vjs=3
Techncial Consulting Engineer (HTE),,Cisco Systems,"Research Triangle Park, NC",Remote,4.1,"You will be providing remote and onsite technical support for some of the common Cisco Routing platforms such as ASR9K and NCS5500, and as well as Catalyst…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=871f1088b2d0309c&fccid=dfc44f3b8c44a6db&vjs=3
Technical Support Engineer 2,,Dell Technologies,"Research Triangle Park, NC",,4.0,"At Dell Technologies, world-class service doesn’t end when a customer purchases our innovative products.
For critical matters, we use our systems to provide…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9826ffebbc570a49&fccid=dd09fe3b43125016&vjs=3
