job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAznT_XlsjXh8ZTVp51-KUBXQauQ9JA7XV8-kZNSUQLC6Qbv-Sqoue6JElqwgjXdTaLzzFCUlBVbG7UFHBcbkOTHcC-_Q2uGPE_U1nzDGdMMSWZXNO81pZNG2Ca5J9lNrgXpu2tLI3Ac0AaKSAD0pSJF2LlYaARFpzFg7ax8RVlAAs00G1SBp4TD3z6yujHapbE3EIMydqDTw8__WqJyqKlSbGk5MO1dmqqxJY8Hx4VMKoOV9_W_sfLpCuXGF4QZ47SieJM8WQmyE9V4sN4sNexIwpBd7eoFTpvlFk8vsZbKg=&p=0&fvj=1&vjs=3
Manufacturing Equipment Engineer (Mechanical Design),,Tesla,"Sparks, NV",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
Become Expert Level Trainer on all machines in assigned area and be responsible for…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a2ec6d2ac52a6cd&fccid=86e9be6ce380173e&vjs=3
Manufacturing Equipment Engineer (Keyence),,Tesla,"Sparks, NV",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
Become Expert Level Trainer on all machines in assigned area and be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e3fec25c271af007&fccid=86e9be6ce380173e&vjs=3
"Associate Manufacturing Equipment Engineer, (Night Shift)",,Tesla,"Sparks, NV",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
Become Expert Level Trainer on all machines in assigned area and be responsible for…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e6a2dd690a0c872&fccid=86e9be6ce380173e&vjs=3
Automation Controls Engineer,,Tesla,"Sparks, NV",,3.5,"Create machine interactions with plant-wide Manufacturing Execution System (MES) to communicate product acceptability, machine status, and process variables.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1d6faff64b136568&fccid=86e9be6ce380173e&vjs=3
"Manufacturing Engineer - Process Development, Power Electronics",,Tesla,"Sparks, NV",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
You will work with the cross-functional teams (Design, Quality, Production,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a648eb09ebe33fb0&fccid=86e9be6ce380173e&vjs=3
Senior Manufacturing Engineer - Material Flow,,Tesla,"Reno, NV",,3.5,"Besides owning the design and technical scope of a project, senior engineers also provide leadership and guidance to other engineers and stakeholders within…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e922c313d51d541c&fccid=86e9be6ce380173e&vjs=3
Process Control Engineer,,Masonite,"Verdi, NV",,3.4,At least two years of engineering experience in high-volume manufacturing environment with semi-automatic machinery such as PLC or CNC machines.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=084fce8754f111a1&fccid=5fd9c97c9854273b&vjs=3
Manufacturing Software Engineer - Power Electronics Test (Gigafactory),,Tesla,"Sparks, NV",,3.5,"3+ years of experience as a hands-on manufacturing test software development engineer.
We seek a highly motivated hands-on engineer for a position in the Power…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=711e85326d4cafa7&fccid=86e9be6ce380173e&vjs=3
Senior Data Engineer (Option for Remote),,Custom Ink,"Reno, NV",Remote,3.4,"Machine learning or Predictive Modeling experience is a plus.
Identify gaps and weaknesses in our data stack and continue to guide learning advancements for the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=293439d013b59977&fccid=7675e528c17ce6a4&vjs=3
Maintenance Personnel,,Hampton by Hilton,"Sparks, NV",,3.8,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04e142f065a34096&fccid=9589dc82fc187358&vjs=3
Data Scientist Supervisor,,Panasonic Energy of North America,"Sparks, NV",,3.1,Leading development of machine learning models and predictive analysis techniques including both repeatable patterns in data and discovering new features that…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0366732d537a0a7&fccid=bc163baea7c61334&vjs=3
Manufacturing Equipment Engineer (Controls / Industrial Automation),,Tesla,"Sparks, NV",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
Become Expert Level Trainer on all machines in assigned area and be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb0557f1e766c871&fccid=86e9be6ce380173e&vjs=3
"Sr. Manufacturing Engineer, Power Electronics (Gigafactory)",,Tesla,"Sparks, NV",,3.5,"Experience with machine vision software (Keyence XG, Cognex InSight).
Minumum 5 years experience as a hands-on mechanical/manufacturing/controls engineer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f74e005d718bd0f9&fccid=86e9be6ce380173e&vjs=3
"Manufacturing Engineering Technician, Power Electronics",,Tesla,"Sparks, NV",,3.5,"Able to converse technically with engineers.
Assist in developing and refining manufacturing process with manufacturing engineers.
Mastery of Word and Excel.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c741aa728970ad3e&fccid=86e9be6ce380173e&vjs=3
Manufacturing Engineering - Battery Cell Conveyance and Storage Systems Engineer,,Tesla,"Sparks, NV",,3.5,"Besides owning the design and technical scope of a project, senior engineers also provide leadership and guidance to other engineers and stakeholders within…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a32ad4070bb32a69&fccid=86e9be6ce380173e&vjs=3
"Technical Training Instructor - Mechatronics, Gigafactory Nevada",,Tesla,"Sparks, NV",,3.5,"Deliver Technical Training courses in classroom and field settings using a variety of presentation formats including Instructor-Led, Facilitative group learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea124cca78e68ab8&fccid=86e9be6ce380173e&vjs=3
Senior Data Engineer,,Koch Ag & Energy Solutions,"Reno, NV",Remote,3.6,"Experience in data mining techniques and methodologies (data prep/modeling, classification, regression, clustering, causal modeling, AI, machine learning,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9b9922790ef7fb81&fccid=735667c8ff2f1a48&vjs=3
