job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAo8If03yoL61w4sboufnh8HvvnhRT0asJjkX9kj27rx4GOFnCsUnWd1Gp7FlmgxB__qdGzoscggwOMeNls7YERC1aJ5d7-PbVmZR9T9FWxgUKba4xM9-nscQXOFkfnufmExFAVZHAtD2jAxyAI91PzSarRqQoNsKqOm2FdLOhkH1w8EZ6eKF-gEr2I7w3tjVA6KbBQxbFXagNBH_ReyrGQlfWAbC8vKVwE4ssDf8rYL4wPxTHgBPsqC6HUJvqJ_at3JErzg_4i-cfpGLzHBV8k7AZQHknqPqH9FpO7udzFXQ=&p=0&fvj=1&vjs=3
Lead Software Developer - Machine Learning (Remote),,CarMax,"Richmond, VA",Remote,3.6,"Experience with data science libraries, machine-learning frameworks, and ML Ops.
3+ years leading the end-to-end design and development of machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrSlxK93t8Z2FmLtCKDOYHa88Yuhs7UvbRi8914g8gXAs6-hlR4As-iFAABhzYhb3Lu_Pf3fLPPSjfPZ0g6pMCOqUuzWmLILhPJZzVr1zck4Q3LgsLci-_-xboTJNPVyaluo88QNeHYB7T9RR7A-Riu5V-cu31VQ1znFuRkTQmzZT0LoQo6hDFjlBvzSx2e6wQ28WD_pxpFuj_GxhV-LQQ3KDc2lZ7CSihfF0-ve_eOJZgnO_M20diO2x1zc3jRcQL91f-ZM4SqblxfbYqWe85gwTp_kwdJOp0TSVUdqk956XIUL9pCJ1b1e6AdQsXd2rRf5Q1LX_1vJXHnhnz8ILax_UegV14Z_7I6dYtsz44K43uIR30GV9YK2mLUkgfdmQfcj-t2-09-sYxNxd5OmR-uDiDwOG21oTHgRutuZBiM5wOkhGOnn6s5J-aHGhwMQowveElXZewEesQH2rg1wiq-fGYz1cg5KJoapmzzvPuuHCAD7d1SW7KxUDplf6H9xw=&p=1&fvj=0&vjs=3
Data Engineer,,"PRA Group, Inc.","Richmond, VA",,,"Create and maintain the high-quality data set to serve as the source of truth for various fundamental data captured, and hence enabling data scientist to be…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AspkseL8WdPmh4zqSLNu536q7tDvG6vF8a-5DHv762_ycfFuilnlR-LY5NLUP8LUoCyaTPcAVor_djNXnGo2xbBa5Ds2_xzxu7-QNhFiL9vUBmlTA_jH1oPv2xXP2LeyB1cBgAxkVw-zawfIf2Zso-7uP0mz1XqsMpo2VhxHiZdeKfyyubRQde363jTnvt5k6iVLg47zYSNqSdl2O36tVRCxSNgtz-Df5KWYHFBmhoiidN4xaX1zDMKOXUkrTE-IFUyNCiDHzTTeBhoE9CZK6QyVWXktDDMROddWhm04dvkFS14iL9CNrCVpc8oziwsuRJ5mvNgsaZr0Ehu41FKbDGQyXCC6EcTdaDkTA2VjuhPW9PpTsqKIgv0rZMO6hu0RHaCAfO9lFCH9Tp4fTNemRJ7c7cNv6eWVnb3-43PKG9BJ-h7CyKWlfNlSpcHoYyf_dNnGmUnbbktgZWM-klmYFm&p=2&fvj=1&vjs=3
Clinical Data Scientist,,Nucleus,"Glen Allen, VA",,,"Powered by AI and machine learning technologies, our smart platform is a precise talent acquisition and optimization solution that maximizes match and improves…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5RwjG4ByhT1_KR25cuXYPCrRWOQQvOuQ5kfFIr9klc-Fy6aAp-6E6KSV9epLNSmQ8YM4fW1VeWU1nbB-DtzpCtlrORazDlWxxnuLEnB_srRqoiw9hDCBj6DI6Lb0c7j31JqvQkiGkwa1sakqFGHUiWD6_UDNgWFU40v1sL8mgdc5JTMC_x0fpehJCOdZynt0KORRUUK5pS7eK45TQjbaX8tZFw9y3Cwz-AebKJu2zliN5uZ0m0M4zKO4UfiOncmuv-a4rmEGfS72ZOJOr45kEcRWD_YzgH8ysiL_o8PT5GfScMspqMMDY6Y=&p=3&fvj=1&vjs=3
ETL Data Engineer,$55 - $65 an hour,NCG,"Richmond, VA",Temporarily remote,,"Experience deploying machine learning models and automating processes in production is a plus.
Strong understanding of Data warehousing (Dimensional Modeling,…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bd344yjp9AwUe5rl4VqAqnerCVvSr97YShB4n1ziAus39WjxyYzRati3H-UoFy3VTW1_GfgpP8OoKUQlmzIBHAaw3fujft5anSUGh-XQfoyYlCnZuB50T7UhL5U0v_-OWr-tmlFpdO-bLzkpUGgyOiDts5MnNiJBSiazybmZtz4wLmxU0CTRQSuWDnMP-Zd89Ou8WceQgQkIZl1ky-eF6QP2l6wq-UDPZrMJ6OOOcrJR6FC_YVvHCqga7HvPdVg50bHmbguR-k7G5aJvrPXCKoQAur1n0e3xmbKGglwZKjxKMidB6R1oqTMqqzGHfRmuQS7ZjDVTcOgn1t-x0UqmmU79rtg82ifdYqYNtr5diW0MZS2ecqzd3S-3bwmHjV50IOz_D74HdWN9sQ79WfUrhxLF9wRGjY6hN2Fwgtj1g1cqn6rqIMIlpg3Fmokpfv418n1wdalRc9zEZecMn2Tu1n&p=4&fvj=1&vjs=3
Lead Data Engineer,,Altria,"Glen Allen, VA",Remote,4.1,"Familiarity with machine learning tools and techniques is a plus.
If you have 6+ years of IT experience, built data pipelines, engineered complex data sets and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXXV5IqJcolfhPMDxvtyjuR04Rhxcf58Oe6pcmt7WPVjwusW2b73i20cNBQI5YGZy0DZBa2G3Y7muzjrtWFM5NOgQ3QmjlAX8QCBX-tU9MkJcesOS-Bkv78eaPQnV9tFX3L7grxSM-0EXGwTMi1Rq3hfcEhzYLu_lhyFejPOoitXvE55Wyhoh1SobTT8ATYGl00FwTXoHy5pnQFX1sLppqR_fT52wcKwy2aoHPszZ0EB8JSW-mh2cBeS6Sjz5tyU1SF5lo9UxOAEHB9aWXAI55_n_LU2gLrFot2K4n8hlNITViUAsiUUc2R7W3qVy_SqdaWs6cU-bYp7MS5ZsLU41GYtiGFEh3JG4xQrfAeBuy-cg3mawRQsZmW_CBPgVrOgoQ4TuqxAKtGvfb57Es4V83cKsiB2HdMm18Fnjqj7Lzd66pw0yF4ouB_02zZ93P-yjkXe5IlBjBIwO1Fpw89wbOuVCnWXd76xw0qJIh0JlEK1thacdpyxLAXGi4HUWNmd7FtOFixGGSHEtQ9OOPN7E2vlM2qrECPF-M699-Jlk-DDd5tb8h_3F6iT5JtHUTAX7qmT1_gmYGU8Gfj8nWjq6Z-Uaf6wsmXw3vgeUsSJdL-fZfrR54QtlnHmlGWxyz0gS-eC_Og_TGpRC7uvQYO1Uv_TgDTLphKuV2xprGTc-uoXiO0q-K8MN2oAq_l-WZM9Q-ZXidKVgbiRmizsfG3teTbIEdK2Gm1R60rsLVmrjv_PRbPBN1X05Dh4YXRw175vFGTZnCgHCk67qwLOOiwox_1dArnOV2zUiivFpsRoRB0OI1yn6Fmi-3hCNnY0cmxSGyWxUrv6aKz0AFzGEdhzYmuS79DSTjGfa_4oTgKUml4h_BwSz1vPYA9wvt14WicqRUfPB-1mCKIrzUQTDJuQz76GDHgDkg6gkFhlS3V_m_rm4legNTDukrqN99BwwwwGkLwNK3tZnbBlyKlPaeokgq_3_o_nptyAeTymO-wmZyPNHwbSfG7dSZqh7GPDbvznUwMIFwc-TuqoyBxRHBQUzrXO-WW4D_chHTVZ62Vrm-mCpA0dgctk7dLPDT4EqDVU8AM4cVmizQoPmo_fFVwlgrCl2s1pTP1fA=&p=5&fvj=0&vjs=3
ETL Developer / Data Engineer,,Astyra Corporation,"Richmond, VA",,4.4,"Experience deploying machine learning models and automating processes in production is a.
Our client is seeking a senior-level Data Engineer.",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aeh7iUiEf82ZmCKb5UtSKPBLJMU3mA-hHuoykp4jTWS4BYQxCvBCQ1LtKQM1BXbfdpoNYY687gziVNVveutUnubLGH3N74zWD1XhOiKqRXCjHS9iuFEdi1tovRtjxzJsg1TObiPesGyIOWJhC-PqQleahATuY2p9wh_a10fiHt6_P3_DbIY-HWupQaLSfDhOPIh5GWsHLUyDcyHiEYu8lt-u-pjjCdKzCYBVM7i_Nb691uG3TyTveh_XAaLCXlM1UoiKZqDcs50igsYI0RtrTh-S3AaGxCtznpQFF89X6jBKN0XaRP5GZpXT-fKatRaKGYXkKJb8S0wuOixb2WbaItOMJ5JFwv4nAbCDgnG9p0BsrkIj6iYRQVYFnREeqH7rQXu3ZxSG9IrhXQ17jr95HGTETCzSFJHFr8ozq2CUS8v3tYGHFmFAT81VfgZKVNt-qPHGrM0esh-kY_brEFPnQuLfhPeJjZCIObiqHUN-dIYA==&p=6&fvj=1&vjs=3
Java Microservices Developer,"$90,000 - $140,000 a year",Vaco,"Richmond, VA",,3.7,Design and build software products that impact the lives of millions of consumers and help improve the development team around you.,2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6t4WlVnKqHX6bxFiAUwJfcvdEoL6cWYQF9XZnmNdDEgjcQ8WSMWKn6GH_-yNW1sYZQafwqjAt9TSAHzXzHB9iuD56pwfCoKaKuGiWnlEpnxHgtbcwZL5i25c-EjtFLuuLGM1z_GljmyAhVRlQYLw355w4ksq1A4EBFACKLyS2dL83S72_fakfBR6gaiEh0aNpsGA-7ebFWrWBchP0Ioa76ElhyEj5o8Z3kapoiRnHeOLR4LZv1V8ga9U-a8W-1ZU2mvFG1zkpRWriUbeLtChi2gw3Wl6wVYQm9Z75NNmMk61pOVMTKVp_GphYc4O5UyUaJ0jJzJIoh1tPuTrirg75j0_yQJpxmSF9nBlBsy2vgMyRhjmIZL4g5tgroTeBClt23DFo7FbfSGzF-m6yU2i3rU-mqiuInJdOLUH1bM0eSOjEhUNpBY0vNyc7SzCNVbcQ0=&p=7&fvj=0&vjs=3
Data Scientist,,Technamo LLC,"Richmond, VA",,,"Data science team will play a pivotal role in planning, executing and delivering machine learning-based projects to improve highway safety, reduce congestion…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c17f394ae73099f&fccid=127ad7b1674e038f&vjs=3
ML/AI Data Scientist,,"Professional Technology Integration, Inc.","Richmond, VA",,,"Data science team will play a pivotal role in planning, executing and delivering machine learning-based projects to improve business processes.",14 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxP5eqahSjqXr0D5ytgzapk24O0aoHOFXOFipKNsq5vdODBmzByVVxgqoPStOx5p1aSFNWeFn-d_C1ROIhAnuA-kOfOHVXD1yWurUK5VepmKVCpReR-GWY4lmXhEUdgbPLUn7IEcxc43PR0nVBRZqtXbK4EdhEnrnLaYl4V5JWSoRnHDq4Ds1HrPN8_WjTqwQSjfe5tupKzWInO-1mvXOdgWCq3py49rW1r1aWjT6fcb9O8-FRIM-m9s9lBYixcObO3m4viwQ3qRrrPiZjED1uHlvaQvTMVPh1E5ZFTkqbTDUhuGJdeJH_I3IdXE28cqnD21gkyxx8pQJYGX9lYMbFP_QPtytTYWm6yz2FiVVW_wrEd0il2hasuDShZ4jZ5WjdkZUXEgq0mPHWH3M7pNy2J5XPbLxcpbBpOjyVQtH5uIvaO-smPiw25SnUJ3N_VW6FKm8UQjy--VtM9QKJ2WXWM3NNCT8Bv1pHB_eeBE56BcxpTg_zeRtFo205MxXvnteLTGYvfLg0rhtsd0aRgpR1hUFpJh1KE4g=&p=9&fvj=0&vjs=3
