job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Computer Vision / Machine learning Engineer,,MyHHub,"Folsom, CA",,,"Experience in machine learning and deep learning SDK.
Strong knowledge of machine learning, deep learning, image processing,.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfDlEmvWNorRYUy7kKEQniVgrSiyyGcOzkcAG5lEOtWYmXhsjLkhXHD3u_1sP4BRoK5uc0ar9X9LK1z4YVR5x83HpoT_9o5h9iOGX-phQ4QnC3CLFAYiRK-ifOsInuU7T5Y1AYPPAXjDgklJUdJNycEZsuHJrG6uRBap2S5vQpOwL70mIyGtiZZwwigXXaIqYkfgKNZuC_HcZ_3roBQedqnX-1pkGgEGrr4eyFPex6jNjY1jEAAFNKeRIzN48przOapFhH_vKPzmtm6DqS8i5EOJT25MGLsfvjL002vuuSRhTrGZmguUiVBD__8pA1AEy-UCfQFDKEwjF49H8_AJzLR5zaNyoOM3Jw7YqwaP7w4Ce0a-gbyqmSvcy2ow7eZ5_Sb-BRRP7fyJAzeuov8WpkhfzRZJ1y7nPpU4VyuXSvrRVVcfXkTTTLXE4tPDbRPCivnQbc4bSYdHYqe-zg-j8O0aH460QEztFTjsFh_s4xZd9D7u2Ww1XYItQT9Yym2xg=&p=0&fvj=1&vjs=3
Machine Learning Engineer,,Cotocus,"Sacramento, CA",,,"We build innovative data products and machine learning solutions for Autodesk's sales teams.
In this critical role, you will work alongside product development,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3571a725836eea2e&fccid=67014df0f8d8ef3d&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQgejxEvYNP6qUa-8d2N7MRv05NP41Vkti3FOmv1vcwzx875ifQgNQHE8eZ4XR1xSUnWwfMo_x8jSDUmxKkBZ7iD3Wprd-W0FwW3Zx2BljoiUFl3xPyinYZa0ULXd0JO4fzIlYqsETIMPTXQeisqBrPzTo3Rn1FUpX-rkTlff0CQ_OeHKs5Ess5--bBOEjGoJpYILi_chjtJBOZgdIWFgTSbgYHlz992aVOB-59ZN1UScjzG75SmbFLx-3erij7TboJF3JMxs1O8tQ4px-sLegbiTEQelgrbIGs1jLsCFeMlvUqFTyp2sd1c_vjkBuzGR-bFcgwNEMowF&p=2&fvj=1&vjs=3
Principle Engineer in Machine Learning,,Cotocus,"Sacramento, CA",,,Experience in delivering machine learning components on edge devices and is familiar with device level optimizations.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bdd6ff564e4eb724&fccid=67014df0f8d8ef3d&vjs=3
Mechanical Engineer I,,Tri Tool Inc,"Rancho Cordova, CA",,3.8,The successful candidate will be self-motivated and have a veracious drive for learning and professional growth.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5b33c62050a8c12d&fccid=d0e7d99dcfb47642&vjs=3
Deep Learning Engineer - Telecommute,,UnitedHealth Group,"Sacramento, CA",Remote,3.7,Emphasize incorporation of machine/deep learning techniques in clinical NLP solutions deployed at scale in production environments.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4810d6701b7657f0&fccid=d3d3520998346837&vjs=3
Machine learning Architect,,Cotocus,"Sacramento, CA",,,"You will be working cross-functionally with the Data Scientists, Data Engineers, Software application developers and business groups and lead the architecture,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=af2b35e2bb8e0b4a&fccid=67014df0f8d8ef3d&vjs=3
Artificial intelligence / Machine Learning Engineer,,Cotocus,"Sacramento, CA",,,We are looking for engineer who is expert in Artificial intelligence / Machine Learning Engineer and exerience between 2-8 years with follwoing skills.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=778ecd19841cb5c5&fccid=67014df0f8d8ef3d&vjs=3
Industrial Engineer II,,Penumbra US,"Roseville, CA",,,"Work with manufacturing, quality and development engineers to identify equipment and process improvement opportunities.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b6763c4b3fdb0f34&fccid=48d4b5e592158b7c&vjs=3
Software Engineer,"$60,000 - $125,000 a year",Stratovan,"Davis, CA",,,"Collaborate cross-functionally with data scientists, business users, project managers and other engineers to achieve elegant solutions.",30+ days ago,2021-01-15,https://www.indeed.com/company/Stratovan/jobs/Software-Engineer-b7825383f0e8f77b?fccid=0c757e14a2918cf7&vjs=3
Maintenance Personnel,,Homewood Suites by Hilton,"Rancho Cordova, CA",,3.7,"Replaces worn or damaged parts such as hoses, wiring,and belts,in machines and equipment.
As a maintenance technician you will work varying days and hours…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5c653ed221595fa3&fccid=01c7d9e62fbd1c66&vjs=3
Plant Genetics Lead,,Sensei Ag,"Sacramento, CA",,,"Experience working with engineers and software developers.
Integrating and deploying the world's best data in seed and plant genetics for optimum taste, texture…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=914dee089e594e04&fccid=adc63cd45a8ab666&vjs=3
Graphics Software Engineer Intern,,Intel,"Folsom, CA",,4.1,"As a Graphics Software Engineer you will be responsible for design, development and delivery of 3D and Compute Compiler for Intel's GPU.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d945b360a798d7a4&fccid=f1374be6a45f4b8a&vjs=3
Senior Bioinformatician,,PIPA LLC,"Davis, CA",Temporarily remote,,"Development of bioinformatics pipelines and machine-learning algorithms to analyze omics data, and their combinations (multi-omics), especially focused on the…",7 days ago,2021-01-15,https://www.indeed.com/company/PIPA-LLC/jobs/Senior-Bioinformatician-e46a0aa0b8f0e93e?fccid=b3792266409f45a8&vjs=3
Artificial Intelligence / Machine Learning Leader,,Cotocus,"Sacramento, CA",,,"Very strong Graduate/Ph.D. level degree in Computer Science/or other engineering discipline from top tier schools.
Scale of 8/9 on 10.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15acaf0a5a87aaa7&fccid=67014df0f8d8ef3d&vjs=3
Artificial Intelligence / Machine Learning Leader,,Cotocus,"Sacramento, CA",,,"Very strong Graduate/Ph.D. level degree in Computer Science/or other engineering discipline from top tier schools.
Scale of 8/9 on 10.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15acaf0a5a87aaa7&fccid=67014df0f8d8ef3d&vjs=3
