job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Unity Software Development Engineer in Test (SDET) for AR/VR Application QA,$25 an hour,ForgeFX Simulations,Utah,Remote,,"Unity ML-Agents machine learning (not required): 1 year (Preferred).
While not required for this position, any familiarity or experience working with the Unity…",15 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjqMEFObqo2sY26gip0woOHhxtv8NZhBhjWA4q1Nt9N_oAbPC28vQhsNatwhGcNs_8TEtGQcrvD0LkrXJypTL_j3r9YR_VawlpoeJ03qMiOaPsLfXteg_yFWX0OR78K2Pj57ozBL0fwJQcy6vtFiLx9sMft63XMxp8gQ5X2pkvdBQYRJcE19qPzV4s588c6JSE4WCPoX7PAXfY76dcV8oTWt4Zd1DJtGBQ-EEtcWbKnMnyM3qBQfB7wib9uqwCI6Da_NIuSK6k0f7DI4GsoNrJuSgpefsmWgusvd9k9GW3Ux8Cm70gkGRNwQNfldIei1gKQX3lEIZREtj6M3FlM3Y9UCMAAc1SwXxQgxbi6vtCh8sSobXoZqDES948X7UVSKSj0bo1kP4Of3jyFbXo0lSi50BIAAPvTXPg-g2tceYM2kWiehI4lzezR_xuxMEV8lz4P4bS_ez0YY7IsjSrH80TDUWn5Nu2_zMPOZQhIhzP5z2bQYs3QsJPDSpNPk5zpjqsM-6axep7Zk1rPQm4fQHHfm3B3xcGhqg=&p=0&fvj=1&vjs=3
Sr. Controls Engineer,,Syscon Automation Group,"Salt Lake City, UT",,,"Leading and mentoring junior engineers.
We need to see people who have experience programming PLC's and HMI's.
Traveling to job sites (local and out of state).",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AeuhrSXu43hVI3afEljAesJt1ZzUSQ9W4LNvrE_7OGa153L8sa1FKKQhyBsO9Dh_1vKQfuuctlPwoGdlHOIq8R9V-yiiWHXwHQO0h8JgK3viNp5BpB8bjR3IL6IYbS0A2Hf9D-Ge-fAcwKyEcIoDJpaCWtsh8dOh28TCL7ejllKsOpA4d8PjR7_1zpeFpOcn9xcOvIGnWs-vTJrrExYrBvOcTtQ29TAsJnLmROurnhd6lSWCeSvvjrLmB1Yhy77Nj0-2JM-4ETXh_tw_A_jJ3AlbTfxqvViyHCtgmsj8F1_rmJ0-lwiKxc5jPnQ7ShjIyBrlksYcsvc5_MqUDphxH1ZNoaPXXCW4KMWuH84_5FchKRplsBM6nIKyN0gFujM-7lXV7cOFxFbgrYoUf3utqP4-s8-8nQZlx5UfSWDZU6ZVi6kNDr9S11aCtw6K7B_sg8IycKBerBLju2hEOzEGi-wlZotkh2ocWRxkyLLhRbxw==&p=1&fvj=1&vjs=3
"Principal Machine Learning Engineer, Personalization",,Castlight Health,"Salt Lake City, UT",Temporarily remote,3.2,"5+ years of experience with machine learning, recommendation systems or deep learning.
Design and implement modules, pipelines and algorithms related to machine…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cd2b5c2ef19e0a08&fccid=aafdb4fe9e36b658&vjs=3
Data Scientist Summer Internship: Computer Vision and Deep Learning,,Codazen,"Salt Lake City, UT",,,"Experience deploying machine learning or deep learning models.
Work with backend engineers to integrate trained AI models into web application APIs.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a0fed40782688ee&fccid=f1162590a1732713&vjs=3
Machine Learning Application Engineer,,Proofpoint,"Draper, UT",,3.9,"You will need a passion for learning new technologies and have the ability to understand new concepts quickly.
Familiarity with the AWS suite of technologies.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0add2fdc053334f1&fccid=69c7d55b78dc7424&vjs=3
Database Engineer,,Children's Miracle Network Hospitals,"Salt Lake City, UT",,4.7,"Deploy, manage, and maintain machine learning models and datasets for key business applications.
This position will work in an Agile environment with a team of…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe085f1a9bfbaf4d&fccid=8fefdd19cc706a7c&vjs=3
Software Engineer (Multiple Openings),,ModelOp,"Salt Lake City, UT",Remote,,"The ideal candidate for this position is a software engineer with a passion for learning and solving problems.
Knowledge and/or experience in Python.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7a8f8d8eb064c569&fccid=6998d69d7b83824f&vjs=3
XtremIO Technical Support Engineer,,Dell Technologies,"Draper, UT",,4.0,"At Dell Technologies, world-class service doesn’t end when a customer purchases our innovative products.
For critical matters, we use our systems to provide…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=204e7066d52baf56&fccid=dd09fe3b43125016&vjs=3
Data Scientist Summer Internship: Applied Artificial Intelligence,,Codazen,"Salt Lake City, UT",,,"Experience/knowledge in data science, specifically machine learning or deep learning.
Work with backend engineers to integrate trained AI models into web…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7c54d3833ee09eaa&fccid=f1162590a1732713&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKem-s4BzU05AdF9KMMRes1Qld0v-2OiX4jKq32_ifeCBoG02_gqI1DTsUfFS8LV2r6IQaVpeIx7cekHb0x8of3iDyzhs76ei8oWoA8-ZYEY5ATB-MUL5y9XIsS7T7Hi6up7LGLyeMfndXVG6b87Ia6kMqs3LLW6KG5ynSTsWxaP9sYXOY1bNYLFuTAgZuiv8AwpXGVWmsBeVNxr4EqbikUlVk2A_QMfT_RZ6suaQ2ZwlbQRnizJb23V1gzMcsHLaR30siiYVKT0PmrMEb8SaB_evgMgxTZZDKz_ydCELfCb-oubua5fYyB5KG7ygqocgQVGz9sF5sZfKODPYpe3pLhA==&p=9&fvj=1&vjs=3
