job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBcLB7cD2qRQjPzeeoICNzI0a7VE2wwvJWVzubZTERgDpzS45vAztyOUMxus12apU1RqHqS1ylOOnoyY_qZnml3GcRAO751ZQRrRWxGr4pD4CsZT4o8ktd-e57b1lavznWHTQMFbBBVPx6iB_M7WKUZs_TmfO8oo9gwQtDXqNBE7SgVoB2PLEFXqQCdRDvddQOll0hu6C4qLQ8v4gBLJlayWpOuYz7iEMQGjGV_p0kN9WxOmGk6I0IU2_MIlwVCY6ht4qRQJqer1czsYIqJIsIMa6IGs3gGYRvHJb_thdU6M-90Stt3WzSeA==&p=0&fvj=1&vjs=3
Manufacturing Engineer,,"Greene, Tweed & Co.","Selma, TX",,,"This engineer will respond to requests and lead initiatives in the value stream to develop, implement, validate success and document solutions to correct or…",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=61629e96d30e9ba5&fccid=fbd0e7074f877c2f&vjs=3
Machine Learning Engineer,,Pinnacle Inc,"San Antonio, TX",Temporarily remote,4.0,"Experience creating and using advanced machine learning algorithms and statistics along with NLP: regression, simulation, scenario analysis, modeling,…",2 days ago,2021-01-16,https://www.indeed.com/company/PINNACLE-INC/jobs/Machine-Learning-Engineer-5c583ca946d28ab1?fccid=8619c9c3e5c7c61f&vjs=3
Senior Machine Learning Engineer (US Remote),,Plum Lending,"San Antonio, TX",Remote,3.0,"2+ years of production-level machine learning model deployment.
Participate heavily in architecture, design and implementation of machine learning pipelines.",15 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=1eb12cdb1afafa68&fccid=8a2cab955e2c8fd5&vjs=3
Computer Vision and Machine Learning Software Engineer,"$70,000 - $100,000 a year",Synthetik Applied Technologies,"San Antonio, TX",Remote,,"OpenCV, JetPack, DeepStream and other machine vision libraries.
Must be a U.S. Citizen or Permanent Resident and reside or be willing to relocate to San Antonio…",24 days ago,2021-01-16,https://www.indeed.com/company/Synthetik-Applied-Technologies/jobs/Computer-Vision-Machine-Learning-Software-Engineer-eca767e58b716241?fccid=0556d6354aa5bee0&vjs=3
Mechanical Engineer,,CACI,"San Antonio, TX",,3.8,You will be part of a fast-paced work environment striving to meet contract deadlines/milestones and work with design engineers to capture design and…,30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=8e2b16aa5ed473e9&fccid=290a4498a64fc044&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"San Antonio, TX",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=de18c1f025cc4be0&fccid=9e215d88a6b33622&vjs=3
COMPUTER SCIENTIST - ENGINEER - RESEARCH ENGINEER - ROBOTICS,,Southwest Research Institute,"San Antonio, TX",,4.0,"Academic experience or interest in industrial robotics, mobile robotics, 2D/3D computer vision, path planning for robotics and robot manipulation, machine…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=77aaddd59306662a&fccid=0d9a7400c0a8fdec&vjs=3
COMPUTER SCIENTIST - ENGINEER - RESEARCH ENGINEER - AUTONOMOUS SOLUTIONS,,Southwest Research Institute,"San Antonio, TX",,4.0,"Desire to learn ROS (Robot Operating System), OpenCV, PCL (Point Cloud Library), industrial robotics, mobile robotics, 2D/3D computer vision, path planning for…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a695c017fc3e7c5e&fccid=0d9a7400c0a8fdec&vjs=3
ENGINEER - RESEARCH ENGINEER - SIGNAL TECHNOLOGIES,,Southwest Research Institute,"San Antonio, TX",,4.0,"Perform research and development of embedded systems in signal processing, telecommunications, machine learning, or RF applications.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=0ffbe64ae3cad67d&fccid=0d9a7400c0a8fdec&vjs=3
Data Science Engineer,,Sekon,"San Antonio, TX",Temporarily remote,4.3,"With over 20 years of experience, SeKON specializes in providing large-scale health IT programs in support of federal government customers including the Centers…",4 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=5e90433be0109cec&fccid=feea025c8fa35a2e&vjs=3
Data Engineer,,Verizon,"San Antonio, TX",,3.9,"Experience with Scala, Julia, R, Python or other machine learning programming language.
Four or more years of experience as a data engineer.",29 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=ce3080e419df243f&fccid=f7029f63fe5c906e&vjs=3
Tool Engineer/ Developer,,Deloitte,"San Antonio, TX",,4.0,"Innovate new machine learning models, tools, and analytics tools.
Interface with client advanced cyber analytics services and will be a part of a broader team…",7 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a8de6753e976794b&fccid=9e215d88a6b33622&vjs=3
ENGINEER - RESEARCH ENGINEER - SIGINT SOLUTIONS,,Southwest Research Institute,"San Antonio, TX",,4.0,"Work with a team of engineers, software development staff and technicians to create innovative solutions that include antenna arrays, RF processing hardware,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=be1e24fe3a93a74d&fccid=0d9a7400c0a8fdec&vjs=3
