job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Machine Learning Engineer - (PyTorch, TensorFlow)",,Kelly,"Seattle, WA",Remote,3.8,"Ability to debug networks in deep learning frameworks.
Continuous work is happening for Accelerated PyTorch and Accelerated TensorFlow, and current engineers…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL2R188vJaRnac37Q3Np7snEdD8Mz3dzSHJk3YHe_2usydau_aqIi2hwYibW1q8g_AvYWBGRjTD8WM-dHc9t2JS59UTR3ErrTNh6LROT5vYyKKA9vQ9LgTFplWQCJYbU76AhQ9Z91bvSuDoR3c53FLXo47Aq7Y17x2tO4Em3Q1yg1efL0l0OuECXIxCkLWsK3eXtOCJNflY66OJFHWc2G2fLB4EJj6qKhq53lHXzoPoFfyiHuna_JyCq8Gu5q1CeaIkAl48F1EMGhTXJ2pLg8DJtSnpgM3RZUdhQGKUIJBjgUrKw1PCVSoZIziMGCVltF6csz9XAfHLy9CEkF55zKC2-U63viX0Wb4X-j_mkNFnulsOj0EPjO0EwZSrpgpiU1S64e6-c5c-yEM8c19Njy0CAVCEFdPyD0bcVt5axAZAjZ6oaHvxq6ezOcbsbt-9h59j1YrKDKj-akiiqSSj1bM8sAR10_p9XyCi1QrS0jMrXZAlCnfAUaWjFJydYRID469yMOd1iaKYgcrnnHlzGC8CItmv8X8_wKc6nL9qhB9AvHVGO9fuq1qoNjRp4_iXRNPQzQBYE0i-jc4uIfYG4daluQckjEmwxlwzk8OHXQkvT126hx_aipFZZs0LOzI2dmUvJfhn0uyVJJXMuYfsUCD3uOIQEPxtQMXeVxz5k1F3qBi13oTJuqYZ_15HV8nxZm5DdbaSucb4HXwkKUdpx_u9ws3s1q3tU4GCRtaB1g1v8UrrMJCh1-YCKYmPUvjtE7IunKN1PWBFUlkDomFg3ABQUQTcZ73qwXClTPO4x_3IBj3OdezpeR9bOxaJaqVkNegTN7JruJqmXA0XMd6n9ys-E27r6d6UoZBC5HfgtfIuDT8uiEp7lHWC5QgWw602Evz_MAqXL-4GKLDsSt7Odnz8BcOibYLwFb5ZwDNIM_K9-mi_Z2EakB4pGJ3Ya8-R_IcoO7cPAC_MR5H1AijVKwnJsNXVXqM1ydfzNJaXZnv2Xu5tl0nFMhY7G1UKFUGaKTy1zTp72XFW1UcmjP7kYkPFoUZ_NUdCoCrFuU8nZ2jsL2E_uain7d1DBQ0S6kkQxCFW-mZXnawqeGnII24lLfmIbyFR8q4V-8-CrBdzvp31drhVBfi1gjpqJywDrjqV1mLHVHhAITUEkvanpIsOAOFdEA==&p=0&fvj=0&vjs=3
"Machine Learning Engineer, Monetization, 3+ Years Experience - Seattle",,Snapchat,"Seattle, WA",,3.5,Our Monetization team builds Snap’s revenue platform and are responsible for providing Snapchat’s solutions for businesses and for maximizing monetization…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=804f07c3cbbc4cf7&fccid=f368300325e8e8bc&vjs=3
Software Development Engineer Machine Learning Intern,,Amazon.com Services LLC,"Seattle, WA",,3.6,"Currently enrolled in a Bachelor’s or Master’s degree program in Computer Science, Computer Engineering, or related technical discipline with a focus on…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=11491e701e73181d&fccid=fe2d21eef233e94a&vjs=3
"AI/ML - Machine Learning Scientist - NLP, Siri Understanding",,Apple,"Seattle, WA",,4.2,"Ability to explain and present analyses and machine learning concepts to a broad technical audience.
The opportunities include developing a cutting edge run…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0c323c9f172dc9ff&fccid=c1099851e9794854&vjs=3
Machine Learning Engineer II,,Amazon.com Services LLC,"Seattle, WA",,3.6,"Basic understanding of machine learning and econometrics.
Experience building large-scale machine-learning models.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=d2222be448734492&fccid=fe2d21eef233e94a&vjs=3
Staff Data Scientist (Machine Learning Engineer),,SoFi,"Seattle, WA",,3.2,"Have a background in machine learning, ideally deep learning techniques, prediction/binary classification.
Responsible for building out a large scale production…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a9ec45ab11c28810&fccid=7c3a1f1f98dde031&vjs=3
Machine Learning Engineer(s),,Logic20/20,"Seattle, WA",,3.5,"Should have worked in data modeling, applying machine learning algorithms based on the business problem.
You have familiarity with popular machine learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f32fde0c7185e29&fccid=e2f8d6934fd95c43&vjs=3
"Machine Learning Engineer, Advertiser Growth Modeling",,Pinterest,"Seattle, WA",,4.2,"Strong industry experience in machine learning or customer growth.
Build and improve the machine learning models for advertiser growth modeling.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=328f74c59a936268&fccid=43014b1412e0a7b6&vjs=3
Machine Learning Engineer - NLP,,PANDA AI,"Seattle, WA",Remote,,"Bonus: Experience with machine learning platform (e.g. SageMaker) and managing models in production environment.
Bonus: PHD in CS, NLP or related field.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=19bacf832601810a&fccid=1c648db27a4e5bf9&vjs=3
Machine Learning Engineer - Home Timeline,,Twitter,"Seattle, WA",,4.1,"You’re a relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=21651f79138d0574&fccid=7a3824693ee1074b&vjs=3
